measure,gender,category,mean,max,min,GBD_mean,GBD_max,GBD_min
incidence,both,all_categories,1896,2216,1473,NA,NA,NA
incidence,both,HIV_neg_female,252,299,192,NA,NA,NA
incidence,both,HIV_neg_male,305,362,233,NA,NA,NA
incidence,both,HIV_pos_female,908,1053,715,NA,NA,NA
incidence,both,HIV_pos_male,430,502,333,NA,NA,NA
prevalence,both,all_categories,2873,3339,2262,NA,NA,NA
prevalence,both,HIV_neg_female,467,548,362,NA,NA,NA
prevalence,both,HIV_neg_male,538,635,412,NA,NA,NA
prevalence,both,HIV_pos_female,1315,1520,1047,NA,NA,NA
prevalence,both,HIV_pos_male,553,636,441,NA,NA,NA
incidence,female,all_categories,2151,2507,1682,NA,NA,NA
incidence,female,HIV_neg_female,468,554,357,576,725,420
incidence,female,HIV_pos_female,1683,1953,1326,686,786,588
prevalence,female,all_categories,3305,3835,2613,NA,NA,NA
prevalence,female,HIV_neg_female,866,1017,671,1055,1338,775
prevalence,female,HIV_pos_female,2439,2818,1943,1135,1302,982
incidence,male,all_categories,1597,1875,1229,NA,NA,NA
incidence,male,HIV_neg_male,663,785,505,414,493,334
incidence,male,HIV_pos_male,934,1089,723,425,488,365
prevalence,male,all_categories,2367,2760,1851,NA,NA,NA
prevalence,male,HIV_neg_male,1167,1379,894,512,621,409
prevalence,male,HIV_pos_male,1200,1380,957,657,755,562
incidence,both,HIV_neg,557,661,425,495,603,382
incidence,both,HIV_pos,1338,1555,1048,555,639,478
prevalence,both,HIV_neg,1005,1183,774,783,968,590
prevalence,both,HIV_pos,1868,2156,1488,895,1029,772
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
