"calibration_group","gender_name","incidence_in_year_per_100K_gender","range_indicator"
"HIV_neg_female","female",356.535090677873,"min"
"HIV_neg_male","male",505.444921574417,"min"
"HIV_pos_female","female",1325.61767248981,"min"
"HIV_pos_male","male",723.208792512137,"min"
"HIV_neg_female","female",553.802254888375,"max"
"HIV_neg_male","male",785.277394176607,"max"
"HIV_pos_female","female",1953.34958553927,"max"
"HIV_pos_male","male",1089.47412404454,"max"
"HIV_neg_female","female",467.565359518399,"mean"
"HIV_neg_male","male",662.81882365618,"mean"
"HIV_pos_female","female",1683.30241918429,"mean"
"HIV_pos_male","male",934.081166407806,"mean"
