"group","gender_name","prevalence_per_100K_gender","range_indicator"
"HIV_neg_female","female",670.627577974234,"min"
"HIV_neg_male","male",893.819294585776,"min"
"HIV_pos_female","female",1942.56542824294,"min"
"HIV_pos_male","male",957.037967023103,"min"
"HIV_neg_female","female",1016.57481710186,"max"
"HIV_neg_male","male",1379.19715227727,"max"
"HIV_pos_female","female",2818.13169291872,"max"
"HIV_pos_male","male",1380.36320779441,"max"
"HIV_neg_female","female",865.758238949772,"mean"
"HIV_neg_male","male",1167.01237819303,"mean"
"HIV_pos_female","female",2439.3404703329,"mean"
"HIV_pos_male","male",1199.61871823302,"mean"
