"metric","gender","category","mean","max","min"
"incidence","both","all_categories","2601","3000","2157"
"incidence","female","all_categories","2923","3368","2436"
"incidence","male","all_categories","2208","2550","1816"
"incidence","both","HIV_neg_female","388","454","321"
"incidence","both","HIV_neg_male","439","512","363"
"incidence","both","HIV_pos_female","1217","1401","1018"
"incidence","both","HIV_pos_male","556","634","456"
"incidence","female","HIV_neg_female","707","824","584"
"incidence","female","HIV_pos_female","2216","2544","1853"
"incidence","male","HIV_neg_male","975","1139","805"
"incidence","male","HIV_pos_male","1233","1411","1012"
"prevalence","both","all_categories","3953","4576","3283"
"prevalence","female","all_categories","4521","5233","3778"
"prevalence","male","all_categories","3261","3771","2680"
"prevalence","both","HIV_neg_female","709","819","588"
"prevalence","both","HIV_neg_male","756","863","620"
"prevalence","both","HIV_pos_female","1775","2063","1488"
"prevalence","both","HIV_pos_male","713","832","588"
"prevalence","female","HIV_neg_female","1291","1487","1070"
"prevalence","female","HIV_pos_female","3230","3746","2708"
"prevalence","male","HIV_neg_male","1679","1920","1375"
"prevalence","male","HIV_pos_male","1582","1851","1305"
