metric,gender,category,mean,max,min,GBD_mean,GBD_max,GBD_min
incidence,both,all_categories,2622,3000,2157,,,
incidence,female,all_categories,2947,3368,2436,,,
incidence,male,all_categories,2226,2550,1816,,,
incidence,both,HIV_neg_female,392,454,321,,,
incidence,both,HIV_neg_male,444,512,363,,,
incidence,both,HIV_pos_female,1227,1401,1018,,,
incidence,both,HIV_pos_male,559,634,456,,,
incidence,female,HIV_neg_female,714,824,584,624,1062,295
incidence,female,HIV_pos_female,2233,2544,1853,886,1141,666
incidence,male,HIV_neg_male,985,1139,805,532,907,274
incidence,male,HIV_pos_male,1241,1411,1012,638,806,481
prevalence,both,all_categories,3992,4576,3283,,,
prevalence,female,all_categories,4564,5233,3778,,,
prevalence,male,all_categories,3293,3771,2680,,,
prevalence,both,HIV_neg_female,717,819,588,,,
prevalence,both,HIV_neg_male,765,863,620,,,
prevalence,both,HIV_pos_female,1791,2063,1488,,,
prevalence,both,HIV_pos_male,719,832,588,,,
prevalence,female,HIV_neg_female,1304,1487,1070,,,
prevalence,female,HIV_pos_female,3260,3746,2708,,,
prevalence,male,HIV_neg_male,1697,1920,1375,,,
prevalence,male,HIV_pos_male,1596,1851,1305,,,
