"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
1,28144.581911311,114942.904116179,1073294.4776654,410850.064005119,120674735.318515,106861396.669064,6,6,8,35,1.2,14,22,40,17,0.00152959309641468,0.994575694938292,4,6271
2,28149.2844564584,114980.198613019,1060091.57159536,405942.765955792,120878311.777137,106122692.277607,6,6,8,35,1.2,14,22,40,20,0.00194360765447886,0.984505375084129,6,6269
3,28742.2587197527,118534.827713091,877634.041395692,336071.004328326,127296058.879086,97858697.4565842,6,6,8,35,1.2,14,22,60,17,0.0149954150597854,0.871847223754255,56,6187
4,28746.7650976707,118571.238692645,866424.119465199,332323.530153595,127489993.80909,97210348.3226113,6,6,8,35,1.2,14,22,60,20,0.0153898215883332,0.863008663659336,60,6171
5,28749.1534518034,118506.188003691,962647.333904182,351166.501638215,128442743.968453,99625933.6095421,6,6,8,35,1.2,14,30,40,17,0.017327434801793,0.895938908498429,75,6212
6,28753.9303254122,118544.641465892,950680.694273471,346961.870097466,128654750.373981,98948598.5761197,6,6,8,35,1.2,14,30,40,20,0.0177585933890177,0.886705200788181,78,6206
7,29338.4250979662,122051.167379455,787134.811415117,288781.857906785,134580535.35014,91873502.1303992,6,6,8,35,1.2,14,30,60,17,0.0298098947266157,0.790254597500314,213,6035
8,29342.9878966015,122088.51394539,776950.556895031,285578.310149048,134780656.124026,91276790.2190468,6,6,8,35,1.2,14,30,60,20,0.0302168814397198,0.782119977106014,218,6017
9,22636.9501312462,88160.5174740246,1098701.59663535,425908.823498769,119922614.071485,107259294.454608,6,6,8,35,1.2,17,22,40,17,0,1,1,6272
10,22640.7061536568,88186.7903860744,1085577.4973224,420979.401189944,120120696.695199,106531279.394079,6,6,8,35,1.2,17,22,40,20,0.000402841715945016,0.990075401469175,2,6270
11,23249.7594986697,91707.8116296321,903769.118977687,350696.769602531,126374523.387071,98419966.0278727,6,6,8,35,1.2,17,22,60,17,0.0131212832861475,0.8794986660664,43,6197
12,23253.4626368582,91734.7947448546,892611.303259307,346911.075854209,126562990.729468,97780417.1053916,6,6,8,35,1.2,17,22,60,20,0.0135045703518557,0.870780074047387,45,6186
13,23277.6055899682,91732.5600347963,990878.904772652,366603.363436423,126696399.224229,101021749.779273,6,6,8,35,1.2,17,30,40,17,0.0137758839377895,0.914967244392132,49,6233
14,23281.6839475168,91762.0374501529,978899.874064551,362341.889545074,126902796.829831,100347493.274391,6,6,8,35,1.2,17,30,40,20,0.0141956358779086,0.905775504439807,51,6222
15,23872.1749344487,95216.2141974181,815049.908303986,303239.486527008,133194619.04847,92366907.6813869,6,6,8,35,1.2,17,30,60,17,0.0269913491588447,0.796980903413378,178,6051
16,23876.1541741151,95245.9644657715,804885.823544641,299988.384025524,133389208.948708,91778380.0645383,6,6,8,35,1.2,17,30,60,20,0.0273870877039415,0.788957854663145,183,6029
17,28142.5516382972,114934.473340472,1073644.11284599,411188.993133767,121376697.038635,104548395.672764,6,6,8,35,1.5,14,22,40,17,0.00295717648843009,0.963043921031021,7,6262
18,28147.2528406998,114971.758746505,1060432.10468828,406268.205915257,121587979.161793,103822277.842383,6,6,8,35,1.5,14,22,40,20,0.00338686209863466,0.953145186316155,8,6256
19,28740.1829285985,118523.781864834,878035.378602843,336385.673874906,128047087.151557,96007920.7014111,6,6,8,35,1.5,14,22,60,17,0.0165227853678576,0.846616679413679,70,6145
