"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
717,4569.13614620757,20462.7667966987,154716.480342133,46531.4947888303,353100056.975744,31889036.1501459,6,11,12,35,1.2,17,30,40,17,0.576440553989809,0.0278450433300237,4017,724,0.0263995543222806,0.0352751801443192,0.00116250732627946,0.115085560641521,0.0444807006086001,319,549,501,4,963
733,4572.40020314883,20475.9204115019,154896.13305349,46288.2436037447,355035066.036932,31552292.8498221,6,11,12,35,1.5,17,30,40,17,0.58089576434397,0.0229428969092857,4063,593,0.0264894631509306,0.0354309009090018,0.000920773464197478,0.115265575339546,0.044526678215919,320,553,503,3,965
841,4286.72131172949,35084.5644555068,138887.220122218,45689.6339391929,335819757.62949,31186239.413709,6,12,12,35,1.2,17,22,40,17,0.536653986518561,0.0176140676796774,3576,417,0.126343844917249,0.0218018079654637,0.000325897735058579,0.0992244056557305,0.0619239890683754,594,1231,337,2,881
857,4291.85735096367,35104.2811602536,139072.500996404,45361.690598583,337672465.146105,30742841.8527447,6,12,12,35,1.5,17,22,40,17,0.540919703861605,0.0111593000143521,3627,182,0.126478614397362,0.0220468367659345,0,0.0994100598569081,0.0619838777550511,597,1232,342,1,884
2598,3968.36785130192,24857.3928252116,39922.8528178641,176983.7935821,230466330.444324,33070192.0027155,8,12,8,45,1.2,14,30,40,20,0.294085778929125,0.0450397400899587,2896,1127,0.0564381166864176,0.00661388533139239,0.130801086450465,6.06326128045025e-05,0.0484784302702698,386,818,70,1431,3
2614,3972.08078663544,24873.7922280308,39862.3421295343,176004.813104578,231898221.65183,32371854.5042274,8,12,8,45,1.5,14,30,40,20,0.297382598908767,0.0348736798732043,2914,895,0.0565502114314821,0.00679102106761155,0.129828212539693,0,0.0482923612596966,383,821,72,1427,1
4426,8762.51065447427,103172.940220804,39961.8232522484,145449.655172706,347890111.362452,31140464.8065894,10,12,12,35,1.2,17,22,40,20,0.564445052724971,0.0169477030445483,3904,388,0.591747933553845,0.235331581358569,0.0994636478992467,9.96815696758357e-05,0.231660711095334,1503,1911,1327,1304,4
4442,8771.46772133819,103204.459645336,39918.161999736,144517.149469485,349778982.677401,30814409.3892041,10,12,12,35,1.5,17,22,40,20,0.568794034447503,0.012201145664609,3944,215,0.591963378097551,0.235758902733919,0.0985369588680143,5.59323430315633e-05,0.231578793010629,1502,1912,1329,1299,2
4903,5447.00653822552,16703.2408235232,59050.323969611,139649.411277101,234668762.116462,34033263.3321241,11,9,8,45,1.2,14,30,60,17,0.303761556409394,0.0590596676307165,2951,1522,0.000702087763779464,0.0771563884679343,0.0936995840678261,0.0192266441767819,0.0476961761190804,373,3,771,1259,227
4904,5439.7425910751,16600.5257493594,56895.9110167748,145337.059488368,235414336.262201,33680226.2368674,11,9,8,45,1.2,14,30,60,20,0.305478183850847,0.0539203240083308,2960,1384,0,0.0768098419997712,0.0993517545507347,0.0170678902442804,0.0483073716986966,385,1,767,1302,188
4919,5449.13998588865,16714.80976185,59103.8704213233,138793.318399782,236098640.036368,33368920.2016972,11,9,8,45,1.5,14,30,60,17,0.307053740948335,0.0493884810151783,2967,1248,0.00078116486229978,0.0772581704244048,0.0928488312237549,0.0192802985205571,0.0475421162577541,371,4,773,1252,230
4920,5441.85575044838,16611.9662354404,56916.3680191535,144448.507009548,236854702.913179,33034618.4463074,11,9,8,45,1.5,14,30,60,20,0.308794517890794,0.0445218774270599,2975,1110,7.81990896132897e-05,0.0769106560478792,0.0984687445777632,0.0170883884659765,0.048136497045308,378,2,768,1298,189
3496,3829.73445601477,28483.3801386339,131547.064604395,381897.094618319,253980145.319372,33767076.3019784,9,12,8,45,1.2,14,30,60,20,0.348224539102589,0.0551846453338492,3098,1420,0.0812228072014069,0,0.334436203927999,0.0918694602779598,0.126882117851841,1099,1003,1,1881,845
3512,3833.9227350727,28502.3367819531,131282.940019556,380233.901058315,255504463.582677,33299955.8110431,9,12,8,45,1.5,14,30,60,20,0.351734165308443,0.0483845307050214,3101,1218,0.0813523814379548,0.00019981330881806,0.332783384836868,0.0916048035019963,0.126485095771409,1098,1005,3,1879,840
5160,3833.45594142832,30721.8567998938,148635.338923717,414067.9123929,255635231.162518,33706331.1433673,11,11,8,45,1.2,14,30,60,20,0.352035247658589,0.054300346636366,3102,1394,0.0965234540263368,0.000177543641174272,0.366406350442389,0.108992166181643,0.143024878572886,1185,1081,2,1907,942
5176,3837.88401366726,30742.2415808816,148350.863512603,412350.29639399,257165585.874628,33250399.7944502,11,11,8,45,1.5,14,30,60,20,0.355558772326089,0.0476631181360604,3107,1201,0.0966627900041903,0.000388796939608187,0.364699448382101,0.108707117574023,0.142614538224981,1184,1082,4,1906,939
1730,4311.00720669739,22211.54396772,84316.5117589279,61432.1612035884,340498960.792934,31111697.9781462,7,12,12,35,1.2,14,22,40,20,0.547427493889221,0.016528929441769,3711,372,0.0383529609994074,0.0229604330150433,0.0159702281551314,0.0445437414295173,0.0304568408997749,4,696,359,304,543
1746,4314.24599571661,22224.6544469204,84421.0450776075,60914.9197854586,342369963.512315,30707991.6555032,7,12,12,35,1.5,14,22,40,20,0.551735334537228,0.0106519676650369,3763,165,0.0384425749835168,0.0231149483043886,0.0154562131233473,0.0446484853749526,0.0304155554465513,3,699,363,290,545
3394,4152.17796576429,23062.6991629873,78165.2198161255,68021.3818954147,341353354.504795,31126056.2945546,9,11,12,35,1.2,14,22,40,20,0.549394670058036,0.016737950881309,3739,379,0.0441708572774327,0.0153830496246434,0.0225183473981486,0.0383800550972348,0.0301130773493649,2,730,232,508,490
3410,4155.61201801502,23076.9466786578,78260.4507524402,67477.8115682715,343226658.960672,30727187.732503,9,11,12,35,1.5,14,22,40,20,0.553707810278265,0.0109314148880888,3787,173,0.0442682432404762,0.0155468804805586,0.0219781676886551,0.0384754779167061,0.030067192331599,1,732,235,485,491
