metric,gender,category,mean,max,min,GBD_mean,GBD_max,GBD_min,,,,
incidence,both,all_categories,2474,2840,2134,,,,,,,
incidence,female,all_categories,2777,3185,2403,,,,,,,
incidence,male,all_categories,2106,2421,1807,,,,,,,
incidence,both,HIV_neg_female,363,427,313,,,,,,,
incidence,both,HIV_neg_male,411,483,354,,,,,,,
incidence,both,HIV_pos_female,1163,1322,1006,,,,,,,
incidence,both,HIV_pos_male,538,609,461,,,,,,,
incidence,female,HIV_neg_female,660,778,570,295,1062,624,,,,
incidence,female,HIV_pos_female,2116,2407,1833,666,1141,886,,,,
incidence,male,HIV_neg_male,911,1071,785,274,907,532,,,,
incidence,male,HIV_pos_male,1194,1350,1022,481,806,638,,,,
prevalence,both,all_categories,3739,4271,3201,,,,,,,
prevalence,female,all_categories,4277,4881,3683,,,,,,,
prevalence,male,all_categories,3084,3529,2616,,,,,,,
prevalence,both,HIV_neg_female,664,777,573,,,,,,,
prevalence,both,HIV_neg_male,707,832,605,,,,,,,
prevalence,both,HIV_pos_female,1687,1903,1448,,,,,,,
prevalence,both,HIV_pos_male,683,759,575,,,,,,,
prevalence,female,HIV_neg_female,1208,1415,1045,434,1787,1011,,,,
prevalence,female,HIV_pos_female,3069,3466,2638,981,1671,1303,,,,
prevalence,male,HIV_neg_male,1569,1846,1340,261,1014,558,,,,
prevalence,male,HIV_pos_male,1515,1684,1276,623,1105,859,,,,
