"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
1,23829.4684461935,97087.4504543536,937630.24442851,359349.203073442,103382739.680962,98299178.0532036,6,6,8,35,1.2,14,22,40,17,0.00188104131902654,0.994500280325466,3,149
2,23833.8490261524,97122.2065587766,925457.572987435,354837.418590935,103572272.793516,97578673.7099769,6,6,8,35,1.2,14,22,40,20,0.00243361052057021,0.983794374171307,5,147
3,24353.755614894,100245.483588081,768878.290606861,294196.052677331,109164393.086829,89968276.5870042,6,6,8,35,1.2,14,22,60,17,0.0187370068177716,0.870712200329657,20,130
4,24357.9600965523,100279.490446399,758540.130371944,290763.216982353,109345504.891392,89335171.9166755,6,6,8,35,1.2,14,22,60,20,0.0192650243440436,0.861304957680786,22,126
5,24357.6290332306,100200.283491177,841346.474061976,307189.176553839,110203255.879468,91581218.2785236,6,6,8,35,1.2,14,30,40,17,0.0217657313298431,0.894678748961694,27,134
6,24362.0859800267,100236.194486422,830318.109563643,303329.877114648,110401234.227068,90920076.0302933,6,6,8,35,1.2,14,30,40,20,0.0223429219641442,0.884854898584325,28,133
7,24874.6061810045,103319.766024349,690068.428358498,252823.056240202,115607264.636532,84419665.5662656,6,6,8,35,1.2,14,30,60,17,0.0375207029218014,0.788265911931269,46,111
8,24878.8697699939,103354.712650364,680679.779423553,249894.671147924,115794633.66064,83836536.2287637,6,6,8,35,1.2,14,30,60,20,0.0380669628900476,0.779601248044479,48,108
9,19167.3520770163,74412.4752945376,959649.154276316,372471.316476789,102737536.120861,98669307.5737665,6,6,8,35,1.2,17,22,40,17,0,1,1,150
10,19170.7998336876,74436.4395197252,947547.989866388,367937.360508761,102921883.622836,97959242.1307816,6,6,8,35,1.2,17,22,40,20,0.000537450953030388,0.989449204481039,2,148
11,19703.4131499798,77516.9915148189,791531.721197602,306956.29268275,108371754.483233,90489604.6023098,6,6,8,35,1.2,17,22,60,17,0.0164261299773092,0.878458564192503,15,132
12,19706.8237899038,77541.7505253284,781239.596828306,303485.849707819,108547709.613944,89865110.8542992,6,6,8,35,1.2,17,22,60,20,0.0169391136178704,0.869179270427085,16,129
13,19725.8218199869,77520.1144660031,865840.356075109,320657.041737504,108669575.574835,92900580.4168,6,6,8,35,1.2,17,30,40,17,0.0172944044469894,0.914283026671499,17,138
