"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
1,23829.4684461935,97087.4504543536,937630.24442851,359349.203073442,103382739.680962,98299178.0532036,6,6,8,35,1.2,14,22,40,17,0.00188104131902654,0.994500280325466,3,149,0.864393523106519,0.893958133857483,0.56173764596086,0.709419161524198,0.757377116112265,113,88,100,67,101
2,23833.8490261524,97122.2065587766,925457.572987435,354837.418590935,103572272.793516,97578673.7099769,6,6,8,35,1.2,14,22,40,20,0.00243361052057021,0.983794374171307,5,147,0.86507049657433,0.894400790887824,0.549373778783799,0.690315522090659,0.749790147084153,107,90,102,63,95
3,24353.755614894,100245.483588081,768878.290606861,294196.052677331,109164393.086829,89968276.5870042,6,6,8,35,1.2,14,22,60,17,0.0187370068177716,0.870712200329657,20,130,0.925905153293329,0.946937283495136,0.383195230916945,0.444581940284845,0.675154901997564,89,108,128,33,35
4,24357.9600965523,100279.490446399,758540.130371944,290763.216982353,109345504.891392,89335171.9166755,6,6,8,35,1.2,14,22,60,20,0.0192650243440436,0.861304957680786,22,126,0.92656753307342,0.947362145815301,0.373788060707922,0.428357359962436,0.66901877488977,87,110,132,31,30
5,24357.6290332306,100200.283491177,841346.474061976,307189.176553839,110203255.879468,91581218.2785236,6,6,8,35,1.2,14,30,40,17,0.0217657313298431,0.894678748961694,27,134,0.925024753523133,0.947328691910056,0.418800933815004,0.558312607692704,0.712366746735224,95,104,131,40,59
6,24362.0859800267,100236.194486422,830318.109563643,303329.877114648,110401234.227068,90920076.0302933,6,6,8,35,1.2,14,30,40,20,0.0223429219641442,0.884854898584325,28,133,0.925724221757199,0.947779065799282,0.408225103819652,0.541004829368311,0.705683305186111,91,107,134,35,55
7,24874.6061810045,103319.766024349,690068.428358498,252823.056240202,115607264.636532,84419665.5662656,6,6,8,35,1.2,14,30,60,17,0.0375207029218014,0.788265911931269,46,111,0.985785501694322,0.999569164891791,0.269818753239679,0.320898720912037,0.644018035184457,81,136,148,23,19
8,24878.8697699939,103354.712650364,680679.779423553,249894.671147924,115794633.66064,83836536.2287637,6,6,8,35,1.2,14,30,60,20,0.0380669628900476,0.779601248044479,48,108,0.986466186109165,1,0.261793954079925,0.30616429183544,0.638606108006133,79,138,150,19,17
9,19167.3520770163,74412.4752945376,959649.154276316,372471.316476789,102737536.120861,98669307.5737665,6,6,8,35,1.2,17,22,40,17,0,1,1,150,0.422734228392496,0.422851886182132,0.597696825267921,0.743975365270294,0.546814576278211,48,14,22,80,113
10,19170.7998336876,74436.4395197252,947547.989866388,367937.360508761,102921883.622836,97959242.1307816,6,6,8,35,1.2,17,22,40,20,0.000537450953030388,0.989449204481039,2,148,0.423200999479129,0.423200281541589,0.585272200467539,0.724983948083664,0.53916435739298,43,16,24,75,107
11,19703.4131499798,77516.9915148189,791531.721197602,306956.29268275,108371754.483233,90489604.6023098,6,6,8,35,1.2,17,22,60,17,0.0164261299773092,0.878458564192503,15,132,0.483203465276493,0.477020787301431,0.418162750572656,0.480133953007205,0.464630239039446,29,40,54,39,47
12,19706.8237899038,77541.7505253284,781239.596828306,303485.849707819,108547709.613944,89865110.8542992,6,6,8,35,1.2,17,22,60,20,0.0169391136178704,0.869179270427085,16,129,0.483685717055928,0.47736543201845,0.408652523265927,0.463981620800758,0.458421323285266,27,43,56,36,41
13,19725.8218199869,77520.1144660031,865840.356075109,320657.041737504,108669575.574835,92900580.4168,6,6,8,35,1.2,17,30,40,17,0.0172944044469894,0.914283026671499,17,138,0.483264293586457,0.479285180466783,0.455707593903708,0.596753002027803,0.503752517496188,34,41,59,49,74
14,19729.5771721391,77547.1544295836,854803.395384845,316744.899106454,108862187.055859,92242628.5230843,6,6,8,35,1.2,17,30,40,20,0.0178559483948687,0.904506581471287,18,136,0.483790973380366,0.479664658309251,0.444986955084287,0.579431732946516,0.496968579930105,32,44,60,47,66
15,20245.4984269264,80569.985088013,714188.36363429,265429.689149673,114360507.973931,84871291.6464756,6,6,8,35,1.2,17,30,60,17,0.0338858798331652,0.794976581307452,39,112,0.54266915283733,0.531798433443166,0.304365335738678,0.358752247880177,0.434396292474838,25,72,79,29,23
16,20249.1726935251,80597.4011885613,704820.500933649,262456.438278597,114542586.499261,84296241.8989594,6,6,8,35,1.2,17,30,60,20,0.0344167157594259,0.786431971287047,40,110,0.543203158962878,0.532169717601092,0.296217588656214,0.344050440461628,0.428910226420453,23,74,83,27,21
17,23827.5942014608,97079.6749404348,937958.314831975,359667.735667302,104039184.677485,96039316.9748632,6,6,8,35,1.5,14,22,40,17,0.00379485618070429,0.960921217473744,7,145,0.864242072973974,0.893768741673043,0.562610536653515,0.709934031142338,0.757638845610717,114,87,99,68,102
18,23831.9733916165,97114.4217428057,925777.136789586,355143.149451919,104236226.021064,95331078.0282369,6,6,8,35,1.5,14,22,40,20,0.00436931505190309,0.950397561692094,8,143,0.864918865258003,0.894211258263955,0.550211588251827,0.690817041554308,0.750039688332023,108,89,101,64,96
19,24351.8217379144,100235.097876565,769251.360181679,294487.755920409,109868261.917738,88164170.8599442,6,6,8,35,1.5,14,22,60,17,0.0207890822184533,0.843905163303916,25,123,0.925702862177638,0.946741865479977,0.383994599806685,0.445167431043831,0.675401689627033,90,106,127,34,36
20,24356.0216098635,100269.050825977,758905.470690788,291044.728379124,110055645.801677,87540843.6561267,6,6,8,35,1.5,14,22,60,20,0.0213353855093909,0.834643203108757,26,121,0.926364191929267,0.947166261989628,0.374559500374865,0.428930720523059,0.669255168704205,88,109,130,32,31
21,24355.7120825272,100192.15939499,841648.510176483,307465.097704648,110930229.381257,89414407.1557691,6,6,8,35,1.5,14,30,40,17,0.0238851666201378,0.862482306633381,29,127,0.924866513764685,0.947134984292889,0.419557054253195,0.558786619420973,0.712586292932936,96,103,129,42,60
22,24360.1677208593,100228.061840968,830612.085038168,303593.946744165,111135262.560175,88764997.7345491,6,6,8,35,1.5,14,30,40,20,0.0244829250721469,0.852832793227158,30,125,0.925565815477579,0.947585225961996,0.408948746945228,0.541466190828267,0.705891494803267,93,105,133,37,56
23,24872.7866463494,103311.627650768,690443.536239541,253099.995000214,116383731.118479,82363365.428796,6,6,8,35,1.5,14,30,60,17,0.0397844311863406,0.757711541921583,49,103,0.985626983843235,0.999385301153522,0.270577662282927,0.321487410563509,0.644269339460798,82,135,147,24,20
24,24877.0490300625,103346.566037646,681045.245526224,250159.18977841,116577448.081488,81791004.9232417,6,6,8,35,1.5,14,30,60,20,0.0403491980818604,0.749206891094124,50,101,0.986307507777584,0.999816014468718,0.262518827625164,0.306737849799637,0.638845049917776,80,137,149,21,18
25,19165.7406295189,74406.130359937,959975.854247224,372793.816828238,103387911.436469,96403762.1698919,6,6,8,35,1.5,17,22,40,17,0.00189611917414435,0.966336474290709,4,146,0.422610642839658,0.422689049623856,0.59858058900383,0.744488084148593,0.547092091403984,50,13,21,82,114
26,19169.1841368259,74430.0689835542,947866.46565911,368247.381234705,103579653.698842,95705774.0076959,6,6,8,35,1.5,17,22,40,20,0.00245512898194904,0.955965133949138,6,144,0.423076915263274,0.423037015585612,0.586121765665648,0.725483760038822,0.539429864138339,44,15,23,76,109
27,19701.894580455,77510.5689157288,791940.989549468,307288.626904311,109074338.993029,88344582.4943586,6,6,8,35,1.5,17,22,60,17,0.0184744610386398,0.846585882782314,19,124,0.483078366987989,0.476867336050114,0.41907346255141,0.480776253677477,0.464948854816747,30,39,53,41,48
28,19705.3014415409,77535.3048471297,781638.922319624,303805.130125474,109256937.201729,87731142.7966403,6,6,8,35,1.5,17,22,60,20,0.0190068120617653,0.837470840108739,21,122,0.483560169236487,0.477211598916033,0.409527463257283,0.464608317269129,0.458726887169733,28,42,55,38,42
29,19714.579638952,77478.6682763079,865442.983245268,320715.610820327,109493633.92245,90264854.8768675,6,6,8,35,1.5,17,30,40,17,0.0196968831328005,0.875119029196804,23,131,0.482457011779958,0.478149159547607,0.455868093671263,0.596129370042111,0.503150908760235,33,37,57,50,73
30,19718.3272919699,77505.6665412943,854416.170013906,316798.995640572,109693474.117199,89621477.3969405,6,6,8,35,1.5,17,30,40,20,0.0202795018391606,0.865559143837959,24,128,0.48298287937577,0.478527859393565,0.445135198504419,0.578824026256843,0.496367490882649,31,38,58,48,65
31,20243.8652043396,80562.9620798737,714572.181878159,265719.04713433,115132301.655683,82804294.2102892,6,6,8,35,1.5,17,30,60,17,0.0361359849083956,0.764263261143973,43,104,0.542532359883878,0.531633396514964,0.305158277800248,0.359354607466926,0.434669660416504,26,71,77,30,24
32,20247.5360609682,80590.3575130844,705194.792759944,262733.613032023,115320631.772163,82239839.4342746,6,6,8,35,1.5,17,30,60,20,0.0366850468674775,0.755876080806911,44,102,0.543065963454551,0.532004336095861,0.296977144403939,0.34463784940691,0.429171323340315,24,73,81,28,22
33,23735.0369712567,97934.4327057154,1027393.43803101,423915.2360506,173893999.880194,47280478.9337404,6,6,8,45,1.2,14,22,40,17,0.207451193273339,0.236418236802815,57,63,0.880890898787648,0.884415845699667,0.738671153971777,0.850292403136441,0.838567575398883,133,96,92,113,135
34,23739.3702067619,97969.2770636093,1015155.89819064,419070.143005857,174192492.401993,46866946.342325,6,6,8,45,1.2,14,22,40,20,0.208321425246078,0.230273594987677,58,61,0.881569591241496,0.884853718579177,0.725393904781805,0.831086960042409,0.830726043661222,131,98,94,111,127
35,24193.7604394206,100668.542479274,869835.217171953,361350.543239541,180073366.285575,44341672.9524744,6,6,8,45,1.2,14,22,60,17,0.225466660410734,0.192750795604873,65,55,0.934145422144325,0.930769791996694,0.567222017850896,0.603022487436212,0.758789929857032,115,120,110,71,75
36,24197.9274082525,100702.522145285,859232.161206626,357494.694147823,180351299.71299,43982383.3301862,6,6,8,45,1.2,14,22,60,20,0.226276953926203,0.18741214495753,66,51,0.934807272277324,0.931190863650669,0.55665564301415,0.586382183043231,0.752258990496343,109,122,114,65,67
37,24251.709192802,100965.916176651,923443.99488894,365003.902748912,183201807.517404,44207035.4719952,6,6,8,45,1.2,14,30,40,17,0.234587390030232,0.190750229967214,75,54,0.939937616249247,0.936625505925991,0.577233500424816,0.687155437621844,0.785238015055475,121,124,116,73,93
38,24256.1354474638,101001.955233455,912374.766469495,360840.57876068,183499787.988739,43842959.1657253,6,6,8,45,1.2,14,30,40,20,0.235456129159254,0.185340454433562,76,49,0.940639578844491,0.937072778379063,0.565824536852834,0.669783527966992,0.778330105510845,119,126,118,69,89
39,24713.7394605114,103750.139951687,783198.593586227,313022.904163338,188658008.239629,42180458.8019544,6,6,8,45,1.2,14,30,60,17,0.250494523279471,0.160637518159678,83,39,0.994168251570418,0.983313603883401,0.434787387421251,0.467056045991314,0.719831322216596,101,144,140,45,43
40,24717.9553426985,103784.923628777,773572.903234943,309704.105194991,188934070.206582,41860152.3458835,6,6,8,45,1.2,14,30,60,20,0.251299360696007,0.155878114706384,84,37,0.994845762093922,0.983739618225503,0.425692717719917,0.451949607058827,0.714056926274542,99,146,142,43,39
41,19061.2703428254,75229.5255292474,1048813.65790976,437286.466426271,173141086.251054,47365822.8428773,6,6,8,45,1.2,17,22,40,17,0.205256131538327,0.23768635390806,55,64,0.43864859336377,0.412132340854606,0.775313000895013,0.883909030277957,0.627500741347836,69,22,14,117,141
42,19064.7153559626,75254.4416652853,1036676.86057625,432438.930371934,173432788.130049,46958167.4450607,6,6,8,45,1.2,17,22,40,20,0.206106565914638,0.231629040758891,56,62,0.439133905607418,0.412480458980315,0.762029057004473,0.864861691223442,0.619626278203912,67,24,16,115,137
