"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
685,4513.83676542261,20327.6773307567,158953.210943697,49113.0033130098,212514137.064476,35829671.1974561,6,11,8,45,1.2,17,30,40,17,0.252752226838833,0.0852109062114232,2533,2037,0.0244424812927281,0.0327506259685311,5.82584551290871e-05,0.122589096888037,0.0482328280552015,342,579,621,2,1292
701,4523.30428070254,20383.3191032322,159110.042578549,49054.4088739473,213749045.599337,34811374.9037428,6,11,8,45,1.5,17,30,40,17,0.255595509281954,0.0703870402973059,2563,1779,0.0248073773676861,0.0332038725772918,0,0.122743681588051,0.048425354465411,347,590,625,1,1294
1577,4151.41753021167,28018.2986584181,187893.131580143,50518.8420313644,195299504.297827,38352468.9999996,7,11,8,45,1.2,17,22,40,17,0.213116851644277,0.121936578870957,1999,2544,0.0748772070680463,0.0154002141178988,0.00145603601222061,0.151114393804471,0.0638266131821965,639,1096,291,4,1397
1593,4162.11922580337,28112.4668701559,188090.00905558,50334.7259696535,196485748.215152,37554414.5096306,7,11,8,45,1.5,17,22,40,17,0.215848087527886,0.110318886819611,2038,2408,0.075494757683712,0.01591254571616,0.00127297568275358,0.15130845060627,0.0640558885666814,642,1102,306,3,1399
1669,4472.80265355149,21679.2379739404,34632.5579869242,187517.286567434,148922020.350622,58415291.4793459,7,12,8,35,1.2,14,30,40,17,0.106336242278724,0.414001464237501,1219,4201,0.0333059511612162,0.0307861641747896,0.137668923471387,4.95922713282458e-05,0.0541339777900158,475,693,599,1461,2
1670,4461.3301611127,21514.9033116008,34777.6017372089,197056.016551954,149634763.128107,57366330.6838306,7,12,8,35,1.2,14,30,40,20,0.107977278006047,0.39873119930785,1232,4046,0.0322282523281371,0.0302369315474146,0.147152957821446,0.000192557972399856,0.0566966915132641,521,684,592,1509,4
1685,4476.15066209989,21695.5741933293,34582.2448771036,186420.167004759,150003525.669748,56932788.4661775,7,12,8,35,1.5,14,30,40,17,0.108826325551456,0.392419900973292,1241,4005,0.0334130833043792,0.030946446305401,0.136578094856318,0,0.0538453343788514,470,694,603,1455,1
1686,4464.65087389163,21531.0649650994,34688.9057587117,195920.249082908,150730806.486056,55908169.9613352,7,12,8,35,1.5,14,30,40,20,0.110500834001153,0.37750399936128,1253,3871,0.0323342396765644,0.0303959069238689,0.146023702909357,0.000105132745713484,0.0563846800166077,514,685,596,1499,3
4903,5447.00653822552,16703.2408235232,59050.323969611,139649.411277101,234668762.116462,34033263.3321241,11,9,8,45,1.2,14,30,60,17,0.303761556409394,0.0590596676307165,2951,1522,0.000673600529492837,0.0774250756435539,0.0900755253717838,0.0241175236745324,0.0498776499485042,380,3,1000,1184,423
4904,5439.7425910751,16600.5257493594,56895.9110167748,145337.059488368,235414336.262201,33680226.2368674,11,9,8,45,1.2,14,30,60,20,0.305478183850847,0.0539203240083308,2960,1384,0,0.0770773223719932,0.0957305602762471,0.0219939771060297,0.0507328256890817,407,1,996,1209,384
4919,5449.13998588865,16714.80976185,59103.8704213233,138793.318399782,236098640.036368,33368920.2016972,11,9,8,45,1.5,14,30,60,17,0.307053740948335,0.0493884810151783,2967,1248,0.000749469072119616,0.0775272120425658,0.089224341380989,0.0241703029634981,0.0496737295262832,374,4,1002,1177,426
4920,5441.85575044838,16611.9662354404,56916.3680191535,144448.507009548,236854702.913179,33034618.4463074,11,9,8,45,1.5,14,30,60,20,0.308794517890794,0.0445218774270599,2975,1110,7.50261589602574e-05,0.0771784874920265,0.094847102809201,0.0220141410198912,0.050509075878925,403,2,997,1208,385
3496,3829.73445601477,28483.3801386339,131547.064604395,381897.094618319,253980145.319372,33767076.3019784,9,12,8,45,1.2,14,30,60,20,0.348224539102589,0.0551846453338492,3098,1420,0.0779271891070131,0,0.330934146357902,0.0955755998061095,0.143538361670606,1348,1114,1,2112,1169
3512,3833.9227350727,28502.3367819531,131282.940019556,380233.901058315,255504463.582677,33299955.8110431,9,12,8,45,1.5,14,30,60,20,0.351734165308443,0.0483845307050214,3101,1218,0.0780515058646183,0.000200509132905521,0.329280489646844,0.0953152593476781,0.143029127697861,1343,1116,3,2109,1165
5160,3833.45594142832,30721.8567998938,148635.338923717,414067.9123929,255635231.162518,33706331.1433673,11,11,8,45,1.2,14,30,60,20,0.352035247658589,0.054300346636366,3102,1394,0.092607011679869,0.000178161914015233,0.36292049478571,0.112419049547097,0.161158898018619,1449,1215,2,2151,1261
5176,3837.88401366726,30742.2415808816,148350.863512603,412350.29639399,257165585.874628,33250399.7944502,11,11,8,45,1.5,14,30,60,20,0.355558772326089,0.0476631181360604,3107,1201,0.0927406940958027,0.000390150874825571,0.361212727697187,0.112138649829717,0.160631582252197,1444,1216,4,2149,1256
688,4650.3376828987,18753.4308235605,82675.8971868457,75481.4889614063,225635489.451837,34308762.9215122,6,11,8,45,1.2,17,30,60,20,0.282963137055903,0.0630702576698797,2821,1622,0.0141186482094862,0.0392854533344707,0.0262755456678172,0.0474046120984675,0.0327848676386768,4,343,701,493,807
704,4653.41554829908,18768.0292086677,82800.5493766945,74897.8149873771,227039984.742573,33587012.5853048,6,11,8,45,1.5,17,30,60,20,0.286196880032699,0.0525633646629418,2842,1339,0.0142143837187872,0.0394328026667608,0.0256952185144213,0.0475274783900302,0.0326962463484451,2,345,703,476,810
2352,4473.64179740342,18979.6960690944,78722.1863901792,83452.1960524721,226587285.282882,34161976.8301334,8,10,8,45,1.2,17,30,60,20,0.285154574153833,0.0609334166049649,2835,1568,0.0156024848365662,0.030826337239623,0.0342005482592114,0.0435075463181767,0.0325981927884543,1,380,600,639,760
2368,4482.34440659618,19030.9595771925,78926.3757146932,83239.9138179687,227890676.712097,33325992.8468197,8,10,8,45,1.5,17,30,60,20,0.288155533222933,0.0487635653038272,2855,1232,0.0159386684637474,0.0312429648327518,0.0339894832634305,0.0437088102118168,0.0327458147018741,3,386,606,636,763
