"","year","gender_name","gender_id","on_art","ipt_init_perc","POLICY_ID"
"1","1990","male","1","yes","0","1"
"2","1991","male","1","yes","0","1"
"3","1992","male","1","yes","0","1"
"4","1993","male","1","yes","0","1"
"5","1994","male","1","yes","0","1"
"6","1995","male","1","yes","0","1"
"7","1996","male","1","yes","0","1"
"8","1997","male","1","yes","0","1"
"9","1998","male","1","yes","0","1"
"10","1999","male","1","yes","0","1"
"11","2000","male","1","yes","0","1"
"12","2001","male","1","yes","0","1"
"13","2002","male","1","yes","0","1"
"14","2003","male","1","yes","0","1"
"15","2004","male","1","yes","0","1"
"16","2005","male","1","yes","0.0223076923076923","1"
"17","2006","male","1","yes","0.0446153846153846","1"
"18","2007","male","1","yes","0.0669230769230769","1"
"19","2008","male","1","yes","0.0892307692307692","1"
"20","2009","male","1","yes","0.111538461538462","1"
"21","2010","male","1","yes","0.133846153846154","1"
"22","2011","male","1","yes","0.156153846153846","1"
"23","2012","male","1","yes","0.178461538461538","1"
"24","2013","male","1","yes","0.200769230769231","1"
"25","2014","male","1","yes","0.223076923076923","1"
"26","2015","male","1","yes","0.245384615384615","1"
"27","2016","male","1","yes","0.267692307692308","1"
"28","2017","male","1","yes","0.29","1"
"29","1990","male","1","no","0","1"
"30","1991","male","1","no","0","1"
"31","1992","male","1","no","0","1"
"32","1993","male","1","no","0","1"
"33","1994","male","1","no","0","1"
"34","1995","male","1","no","0","1"
"35","1996","male","1","no","0","1"
"36","1997","male","1","no","0","1"
"37","1998","male","1","no","0","1"
"38","1999","male","1","no","0","1"
"39","2000","male","1","no","0","1"
"40","2001","male","1","no","0","1"
"41","2002","male","1","no","0","1"
"42","2003","male","1","no","0","1"
"43","2004","male","1","no","0","1"
"44","2005","male","1","no","0","1"
"45","2006","male","1","no","0","1"
"46","2007","male","1","no","0","1"
"47","2008","male","1","no","0","1"
"48","2009","male","1","no","0","1"
"49","2010","male","1","no","0","1"
"50","2011","male","1","no","0","1"
"51","2012","male","1","no","0","1"
"52","2013","male","1","no","0","1"
"53","2014","male","1","no","0","1"
"54","2015","male","1","no","0","1"
"55","2016","male","1","no","0","1"
"56","2017","male","1","no","0","1"
"57","1990","female","2","yes","0","1"
"58","1991","female","2","yes","0","1"
"59","1992","female","2","yes","0","1"
"60","1993","female","2","yes","0","1"
"61","1994","female","2","yes","0","1"
"62","1995","female","2","yes","0","1"
"63","1996","female","2","yes","0","1"
"64","1997","female","2","yes","0","1"
"65","1998","female","2","yes","0","1"
"66","1999","female","2","yes","0","1"
"67","2000","female","2","yes","0","1"
"68","2001","female","2","yes","0","1"
"69","2002","female","2","yes","0","1"
"70","2003","female","2","yes","0","1"
"71","2004","female","2","yes","0","1"
"72","2005","female","2","yes","0.0207692307692308","1"
"73","2006","female","2","yes","0.0415384615384615","1"
"74","2007","female","2","yes","0.0623076923076923","1"
"75","2008","female","2","yes","0.0830769230769231","1"
"76","2009","female","2","yes","0.103846153846154","1"
"77","2010","female","2","yes","0.124615384615385","1"
"78","2011","female","2","yes","0.145384615384615","1"
"79","2012","female","2","yes","0.166153846153846","1"
"80","2013","female","2","yes","0.186923076923077","1"
"81","2014","female","2","yes","0.207692307692308","1"
"82","2015","female","2","yes","0.228461538461538","1"
"83","2016","female","2","yes","0.249230769230769","1"
"84","2017","female","2","yes","0.27","1"
"85","1990","female","2","no","0","1"
"86","1991","female","2","no","0","1"
"87","1992","female","2","no","0","1"
"88","1993","female","2","no","0","1"
"89","1994","female","2","no","0","1"
"90","1995","female","2","no","0","1"
"91","1996","female","2","no","0","1"
"92","1997","female","2","no","0","1"
"93","1998","female","2","no","0","1"
"94","1999","female","2","no","0","1"
"95","2000","female","2","no","0","1"
"96","2001","female","2","no","0","1"
"97","2002","female","2","no","0","1"
"98","2003","female","2","no","0","1"
"99","2004","female","2","no","0","1"
"100","2005","female","2","no","0","1"
"101","2006","female","2","no","0","1"
"102","2007","female","2","no","0","1"
"103","2008","female","2","no","0","1"
"104","2009","female","2","no","0","1"
"105","2010","female","2","no","0","1"
"106","2011","female","2","no","0","1"
"107","2012","female","2","no","0","1"
"108","2013","female","2","no","0","1"
"109","2014","female","2","no","0","1"
"110","2015","female","2","no","0","1"
"111","2016","female","2","no","0","1"
"112","2017","female","2","no","0","1"
"113","2018","male","1","yes","0.29","1"
"114","2018","female","2","yes","0.27","1"
"115","2018","male","1","no","0","1"
"116","2018","female","2","no","0","1"
"117","2018","male","1","yes","0.17","2"
"118","2018","female","2","yes","0.22","2"
"119","2018","male","1","no","0","2"
"120","2018","female","2","no","0","2"
"121","2018","male","1","yes","0.7","3"
"122","2018","female","2","yes","0.75","3"
"123","2018","male","1","no","0.7","3"
"124","2018","female","2","no","0.7","3"
