,sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
1,1,14496.48225,67646.95482,524498.2777,210667.3937,817309.1085,168789343.5,30680551.94,199469895.5,0.035214249,0.022130566,6,6,8,35,1.2,14,22,40,17,1382,1404,1420,1192,1470
2,2,14214.25653,66179.7973,486826.4341,201364.6629,768585.1508,169534983.1,30092210.22,199627193.3,0.035264455,0.02188623,6,6,8,35,1.2,14,22,40,20,1367,1397,1409,1173,1451
3,3,14489.20905,67720.07085,382379.6438,159357.9808,623946.9044,175981223.5,27297856.2,203279079.7,0.035916009,0.020934737,6,6,8,35,1.2,14,22,60,17,1287,1406,1417,1079,1379
4,4,14491.52743,67740.80222,378102.5985,157542.8029,617877.731,176197808,27085194.05,203283002,0.035920711,0.020797476,6,6,8,35,1.2,14,22,60,20,1281,1408,1419,1074,1372
5,5,14511.41194,67810.56174,426269.5084,171560.7064,680152.1885,176061626.6,27760889.41,203822516.1,0.035873835,0.021054297,6,6,8,35,1.2,14,30,40,17,1323,1410,1423,1120,1417
6,6,14513.88126,67832.39522,421616.5065,169565.9371,673528.72,176289130.2,27538854.12,203827984.3,0.035879047,0.020914171,6,6,8,35,1.2,14,30,40,20,1317,1412,1425,1111,1413
7,7,14792.76971,69379.70515,329384.2614,133976.4594,547533.1956,181748302.2,25379035.66,207127337.9,0.036373694,0.020059549,6,6,8,35,1.2,14,30,60,17,1231,1430,1435,1016,1317
8,8,14795.1737,69400.81586,325573.5324,132385.6654,542155.1874,181963361.4,25184185.86,207147547.2,0.036378342,0.01992686,6,6,8,35,1.2,14,30,60,20,1222,1432,1437,1012,1315
9,9,10744.83979,50044.37165,505530.5718,211015.3852,777335.1685,168674541.2,30411898.83,199086440,0.035212063,0.022089167,6,6,8,35,1.2,17,22,40,17,1372,1282,1271,1193,1461
10,10,10746.43303,50062.60293,500316.9876,208733.7658,769859.7894,168898857,30170897.42,199069754.4,0.035217366,0.021946687,6,6,8,35,1.2,17,22,40,20,1369,1284,1273,1184,1458
11,11,11013.94937,51574.57178,396291.2476,166627.892,625507.6608,175205657.6,27411575.46,202617233,0.035857251,0.021015334,6,6,8,35,1.2,17,22,60,17,1290,1296,1298,1101,1393
12,12,11015.56066,51592.48139,392002.4446,164798.0947,619408.5813,175417318.5,27201819.26,202619137.7,0.035861854,0.02088052,6,6,8,35,1.2,17,22,60,20,1284,1298,1300,1097,1383
13,13,11027.43055,51635.17948,439812.4726,178763.7757,681238.8583,175078432.8,27943917.78,203022350.6,0.035777138,0.021197515,6,6,8,35,1.2,17,30,40,17,1325,1300,1303,1134,1433
14,14,11029.17145,51654.11369,435165.8515,176762.3173,674611.4538,175300114.1,27724887.96,203025002.1,0.035782305,0.021060391,6,6,8,35,1.2,17,30,40,20,1319,1302,1305,1129,1426
15,15,11288.75798,53153.26859,342529.4803,140838.6639,547810.1708,181383836.1,25170315.52,206554151.6,0.036333725,0.02006263,6,6,8,35,1.2,17,30,60,17,1233,1322,1316,1041,1334
16,16,11290.51516,53171.86048,338721.2109,139239.2038,542422.7903,181593472.3,24980533.83,206574006.1,0.036338277,0.019932863,6,6,8,35,1.2,17,30,60,20,1225,1325,1318,1034,1331
17,17,14209.83293,66149.69902,492191.5875,203788.9684,776340.0879,170788729.2,28915124.51,199703853.7,0.035285542,0.021140252,6,6,8,35,1.5,14,22,40,17,1371,1395,1407,1176,1455
18,18,14212.22295,66171.21894,486966.5635,201511.3251,768861.3304,171022225.6,28679551.39,199701777,0.035290955,0.020995584,6,6,8,35,1.5,14,22,40,20,1368,1396,1408,1174,1452
19,19,14487.1243,67711.20988,382524.7264,159502.9816,624226.0422,177493206,25991648.4,203484854.4,0.035941537,0.020050714,6,6,8,35,1.5,14,22,60,17,1288,1405,1416,1081,1380
20,20,14489.43788,67731.91468,378247.2465,157686.9901,618155.5891,177713475.2,25787534.68,203501009.9,0.035946234,0.019913835,6,6,8,35,1.5,14,22,60,20,1282,1407,1418,1075,1374
21,21,14509.30811,67801.72496,426395.0992,171695.9531,680402.0854,177594069.5,26424639.22,204018708.7,0.035900165,0.020164,6,6,8,35,1.5,14,30,40,17,1324,1409,1422,1121,1418
22,22,14511.77256,67823.53177,421742.5918,169701.0226,673778.9187,177825403,26211478,204036881,0.035905372,0.020024268,6,6,8,35,1.5,14,30,40,20,1318,1411,1424,1112,1414
23,23,14790.65831,69370.80283,329520.5775,134111.992,547794.0307,183316319.7,24136581.2,207452900.9,0.036399955,0.019630516,6,6,8,35,1.5,14,30,60,17,1232,1429,1434,1018,1318
24,24,14793.05761,69391.88699,325708.9543,132520.0867,542413.9856,183534891.1,23950010.1,207484901.2,0.036404599,0.019630516,6,6,8,35,1.5,14,30,60,20,1224,1431,1436,1013,1316
25,25,10743.33108,50036.78267,505670.0079,211162.6408,777612.7625,170154046.6,28984772.15,199138818.8,0.035238583,0.021197821,6,6,8,35,1.5,17,22,40,17,1373,1281,1269,1195,1462
26,26,10744.91802,50054.9816,500457.4688,208881.3076,770138.676,170382272.3,28752804.34,199135076.6,0.035243881,0.021055739,6,6,8,35,1.5,17,22,40,20,1370,1283,1272,1186,1459
27,27,11012.34614,51566.56754,396437.285,166774.5734,625790.7721,176713083.6,26097986.74,202811070.3,0.035882796,0.020130945,6,6,8,35,1.5,17,22,60,17,1291,1294,1297,1102,1394
28,28,11013.95137,51584.44531,392148.2571,164944.1428,619690.7966,176928296.4,25896596.95,202824893.4,0.035887394,0.019996508,6,6,8,35,1.5,17,22,60,20,1285,1297,1299,1098,1384
29,29,11025.85844,51627.43886,439944.1993,178902.7608,681500.2574,176606458.9,26596595.15,203203054,0.03580382,0.02030691,6,6,8,35,1.5,17,30,40,17,1326,1299,1302,1136,1434
30,30,11027.59296,51646.34332,435298.0464,176901.2226,674873.2053,176831910.6,26386269.6,203218180.2,0.035808982,0.020170172,6,6,8,35,1.5,17,30,40,20,1320,1301,1304,1130,1428
31,31,11287.02798,53144.86519,342661.7591,140973.5559,548067.2081,182943124.1,23936917.71,206880041.8,0.036360094,0.019537725,6,6,8,35,1.5,17,30,60,17,1234,1321,1315,1042,1335
32,32,11288.77898,53163.42665,338852.9755,139373.2732,542678.4544,183156165.9,23755200.39,206911366.3,0.036364641,0.019537725,6,6,8,35,1.5,17,30,60,20,1226,1323,1317,1037,1332
33,33,14128.54895,66604.04663,547063.9142,238526.1631,866322.6729,283364821.3,22988005.85,306352827.1,0.043961826,0.020470808,6,6,8,45,1.2,14,22,40,17,1403,1401,1403,1236,1480
34,34,14130.69843,66623.6654,541999.7567,236278.5155,859032.636,283656348.6,22959755.56,306616104.2,0.043966324,0.020470808,6,6,8,45,1.2,14,22,40,20,1399,1402,1404,1235,1476
35,41,10657.66152,50460.51189,560295.841,245859.2642,867273.2787,282675860.9,22829423.34,305505284.2,0.043924015,0.02038021,6,6,8,45,1.2,17,22,40,17,1404,1285,1263,1248,1484
36,42,10659.08855,50477.3272,555255.8229,243616.2028,860008.4414,282961112,22801069.64,305762181.7,0.043928417,0.02038021,6,6,8,45,1.2,17,22,40,20,1400,1286,1264,1243,1483
