"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,14488.766120137,63558.5451819617,237235.967634168,97989.110895896,413272.389832162,46521248.4724603,582210312.265091,628731560.737552,0.0192378262509754,0.0771623759230801,6,6,10,50,1.5,15,30,70,25,0.1996209116634,0.18933311745959,0.38895402912299,2866,4249,4149,2104,3146,1830,2818,1847,1731
"2",2,14489.9428162636,63529.8198275415,243388.327451228,99394.0373948402,420802.127489873,46400172.5946876,584515797.121865,630915969.716553,0.0192376131739596,0.0774652842265889,6,6,10,50,1.5,15,30,70,20,0.203488761617968,0.192696214181861,0.396184975799829,2896,4243,4150,2122,3176,1902,2793,1914,1760
"3",3,14485.4085038792,63490.8931328011,250058.054493411,100941.771053593,428976.127183684,46284107.8426886,586477727.551684,632761835.394373,0.01923739632843,0.0777389567155474,6,6,10,50,1.5,15,30,70,15,0.206751949302045,0.196313179527845,0.40306512882989,2923,4237,4147,2145,3217,1954,2784,1951,1793
"4",4,14232.9403848863,62134.4378474229,312073.341871131,122153.528811566,510594.248915007,44811689.3430964,595474232.804701,640285922.147797,0.0189468346674137,0.0779038631110339,6,6,10,50,1.5,15,30,50,25,0.220004313552333,0.23069194388277,0.450696257435102,3174,4199,4117,2369,3487,2151,2572,2149,1962
"5",5,14231.172138618,62098.8459785229,319953.902259118,124109.916606988,520393.836983248,44656482.1349604,598762903.916342,643419386.051302,0.018946602121538,0.0784883338763872,6,6,10,50,1.5,15,30,50,20,0.225500385036787,0.234628744463907,0.460129129500693,3204,4197,4114,2391,3516,2214,2560,2209,1985
"6",6,14229.2599537521,62059.5632846099,328342.988442252,126187.916148405,530819.727829019,44579745.162628,600341770.10587,644921515.268498,0.0189463654970957,0.0786230562645469,6,6,10,50,1.5,15,30,50,15,0.228130362285736,0.238776666168948,0.466907028454685,3232,4195,4111,2411,3541,2237,2548,2231,2006
"7",7,14173.7104725506,61841.1907976817,283272.188680717,123554.515991241,482841.60594219,43573124.8685801,595432913.730929,639006038.599509,0.018738291752264,0.0779015033047814,6,6,10,50,1.5,15,22,70,25,0.217755540143128,0.219333094865587,0.437088635008715,3088,4193,4089,2386,3365,2119,2444,2147,1911
"8",8,14175.0662933401,61813.6304178228,290465.556921513,125334.25778569,491788.511418366,43458003.0911996,597832273.508461,641290276.59966,0.018738070937508,0.0782145659381533,6,6,10,50,1.5,15,22,70,20,0.221767405034847,0.223029801820339,0.444797206855186,3108,4191,4090,2401,3398,2171,2435,2194,1937
"9",9,14170.685087059,61775.6316667694,298288.830002982,127299.97730433,501535.12406114,43347398.0532595,599898104.698656,643245502.751915,0.0187378462187012,0.0784998822535406,6,6,10,50,1.5,15,22,70,15,0.22519574626909,0.227018866360354,0.452214612629444,3138,4189,4087,2417,3431,2212,2423,2225,1964
"10",10,13915.7592717986,60407.6676844062,369642.236655579,153860.72806759,597826.391679374,41838083.3123738,609574480.79918,651412564.111554,0.018430810142785,0.0786921139086878,6,6,10,50,1.5,15,22,50,25,0.239460046120782,0.264515461181238,0.50397550730202,3372,4121,4061,2631,3656,2316,2361,2320,2091
"11",11,13911.4613888814,60370.2802944231,378522.059482221,156227.265594943,609031.066760469,41730902.8512094,611706169.074762,653437071.925972,0.0184305691386673,0.0789815031306166,6,6,10,50,1.5,15,22,50,20,0.242982127411546,0.268675845700323,0.51165797311187,3390,4119,4057,2646,3686,2330,2358,2334,2106
