"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
534,4234.36651801554,14486.5457529194,26759.5121971858,28609.8550083207,74090.2794764415,404656762.058102,82338929.0656199,486995691.123722,0.0516909259050565,0.0360791718367351,6,10,10,35,1.5,15,30,50,15,0.0620663526190497,0.00181956932936553,0.0638859219484153,5,966,1098,163,59,1340,1246,3515,69
558,4230.5388866345,14481.9331755026,26798.4798716566,28711.8992711523,74222.851204946,401956431.234908,85160173.0329244,487116604.267832,0.0516515195086832,0.0370214187624104,6,10,10,35,1.2,15,30,50,15,0.0625717623177037,0.00204632599419664,0.0646180883119003,8,964,1094,173,60,1349,1150,3667,73
1212,3789.48772311365,13661.2714510989,27288.4559800767,28291.556172633,73030.7713269222,389710086.68205,90793078.0364795,480503164.71853,0.0508520480324059,0.0372805449336184,6.8,10,10,35,1.5,15,22,50,15,0.0348352323474286,0,0.0348352323474286,1,778,724,142,69,657,704,3974,1
1236,3783.75798496872,13653.5659493004,27330.0254642407,28405.0901423683,73172.4395408781,387077127.09013,93719846.6001345,480796973.690265,0.0508128725541442,0.0382190109261487,6.8,10,10,35,1.2,15,22,50,15,0.0360714932223984,0.00024405792475748,0.0363155511471558,2,775,718,151,70,687,608,4125,3
2460,3596.88990179495,13269.932616325,25397.3117147886,32653.2242910377,74917.3585239463,391179302.351712,90064650.2752305,481243952.626942,0.0509278558455515,0.0370976444109801,8.4,9.2,10,35,1.5,15,22,50,15,0.0379515235923823,0.00323094727215476,0.0411824708645371,9,670,458,626,17,737,759,3936,9
2484,3590.55075103919,13260.7885299383,25444.5599808124,32777.5738042836,75073.4730660735,388544301.344597,92979191.613069,481523492.957666,0.0508885409181838,0.0380342927398886,8.4,9.2,10,35,1.2,15,22,50,15,0.0391268496095085,0.00349647505045533,0.0426233246599638,10,668,444,638,21,772,659,4092,10
3036,3603.58462654991,12560.3316255914,30254.5452294936,27656.0428776339,74074.5043592687,388505625.894225,91919498.3517498,480425124.245975,0.0507785630561522,0.0374546950378608,9.2,8.4,10,35,1.5,15,22,50,15,0.0345067976963959,0.00179257335555098,0.0362993710519469,4,472,470,89,125,641,656,4033,2
3060,3598.14927438867,12552.3113314957,30288.6898462947,27753.5910755712,74192.7415277503,385874695.65232,94874822.3861814,480749518.038502,0.0507391113406999,0.0383945807187133,9.2,8.4,10,35,1.2,15,22,50,15,0.0358718395201821,0.0019948428294215,0.0378666823496036,7,465,463,99,126,681,563,4186,4
4284,3393.67826448206,12053.699955821,27160.9177912888,31386.1590854016,73994.4550969935,390232662.686475,90854189.3226934,481086852.009168,0.0508736909239542,0.0372762555491486,10.8,7.6,10,35,1.5,15,22,50,15,0.0372908449474546,0.00165554064848334,0.0389463855959379,3,296,174,470,65,717,725,3978,5
4308,3387.66526157948,12044.3321306288,27199.4164198888,31494.0787871507,74125.4925992478,387599762.291922,93788456.99124,481388219.283162,0.0508343348288479,0.038214515130004,10.8,7.6,10,35,1.2,15,22,50,15,0.0385581346885561,0.00187981921596062,0.0404379539045167,6,291,170,484,66,756,626,4131,7
