"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
636,3576.14320101055,11900.6199212848,26561.7178504502,26943.0446210944,68981.5255938399,334446582.318484,13110038.5139937,347556620.832478,0.0478581019454302,0.0123344064977195,6,10.8,10,35,1.5,15,22,50,15,0.0791753684568112,0,0.0791753684568112,1,721,705,337,321,757,784,124,3
659,3546.16933208701,11770.5052178826,26209.8999086784,29422.6417429575,70949.2162016055,333832130.548385,13326018.8396313,347158149.388017,0.0478712339273159,0.0124205384530381,6,10.8,10,35,1.2,15,22,50,20,0.0781322628131979,0.00393815817956349,0.0820704209927614,8,685,684,632,287,738,752,222,6
660,3569.21197593384,11889.2139135645,26569.1559761292,27014.7917422257,69042.3736078532,332029845.596653,13652758.1372152,345682603.733868,0.0478187054992361,0.0130808490599845,6,10.8,10,35,1.2,15,22,50,15,0.074264404788004,0.000122617215285791,0.0743870220032898,2,719,701,344,322,680,679,439,1
1212,3544.54944900814,11612.676239369,37532.9196460099,22583.7973515543,75273.9426859413,331908704.079986,12967940.3219639,344876644.40195,0.0477131246666343,0.0124408060967775,6.8,10,10,35,1.5,15,22,50,15,0.0721482517678028,0.0124061463820758,0.0845543981498786,39,655,681,23,1018,645,675,80,10
1235,3521.20005751899,11515.9879486042,36134.0755194809,24431.7306913527,75602.9942169568,330526751.435706,13267009.2113673,343793760.647074,0.0476984272842808,0.0129043036253261,6.8,10,10,35,1.2,15,22,50,20,0.0693011001030876,0.0130403590625152,0.0823414591656027,49,630,642,110,948,603,616,196,7
1236,3538.53325553681,11602.8469701531,37534.0512992153,22638.641306634,75314.0728315392,329496606.837006,13538347.2936476,343034954.130654,0.0476736585030005,0.013394772878817,6.8,10,10,35,1.2,15,22,50,15,0.0673033496604761,0.0124835671920287,0.0797869168525048,42,653,673,26,1019,567,577,357,4
1908,3488.77200248233,11697.1565540236,21934.7642037872,33227.0397089673,70347.7324692604,333729056.796125,13690935.0798079,347419991.875933,0.0479274010208284,0.0128272954543492,7.6,10,10,35,1.2,15,22,50,15,0.0788177729954744,0.00274020276642763,0.081557975761902,4,674,577,1051,83,748,747,471,5
2460,3375.47146624004,10998.3985645414,30868.428312501,26608.8426322267,71851.140975509,333777530.512342,13152217.4726057,346929747.984947,0.0478049504373332,0.0122765422531768,8.4,9.2,10,35,1.5,15,22,50,15,0.0775340910933264,0.00572501605749195,0.0832591071508183,11,491,422,300,615,727,750,142,8
2483,3347.32511976342,10879.8269475281,29878.0907820686,28776.6411185999,72881.8839679599,333139129.704765,13374851.5630769,346513981.267842,0.0478171918814297,0.0125706470554489,8.4,9.2,10,35,1.2,15,22,50,20,0.0764447134291761,0.00775340624538973,0.0841981196745658,18,445,374,544,546,708,728,254,9
2484,3368.77742974368,10986.9908457615,30872.8010830182,26671.8786041337,71900.4479626571,331361117.379644,13708943.5772301,345070060.956874,0.0477653889550829,0.0132231472122235,8.4,9.2,10,35,1.2,15,22,50,15,0.0726563178635398,0.00582237689967888,0.0784786947632187,12,489,411,309,617,652,647,482,2
