year,sex_id,sex_name,mort_rate_per_100K,mort_rate,
1990,1,male,673.2701959,0.00673270,
1991,1,male,684.4313445,0.00684431,
1992,1,male,710.1712395,0.00710171,
1993,1,male,680.0295572,0.00680030,
1994,1,male,694.58912,0.00694589,
1995,1,male,724.053549,0.00724054,
1996,1,male,730.1176881,0.00730118,
1997,1,male,807.8336965,0.00807834,
1998,1,male,849.2029486,0.00849203,
1999,1,male,827.1559239,0.00827156,
2000,1,male,854.6068022,0.00854607,
2001,1,male,840.6568461,0.00840657,
2002,1,male,849.2501388,0.00849250,
2003,1,male,864.2538808,0.00864254,
2004,1,male,852.0475204,0.00852048,
2005,1,male,839.4700129,0.00849470,
2006,1,male,834.2972333,0.00834297,
2007,1,male,800.3585644,0.00800359,
2008,1,male,777.0424285,0.00757042,
2009,1,male,746.1430054,0.00656143,
2010,1,male,704.055429,0.00604055,
2011,1,male,648.6443893,0.00548644,
2012,1,male,627.657792,0.00527658,
2013,1,male,615.042525,0.00515043,
2014,1,male,613.8882893,0.00513888,
2015,1,male,605.7923782,0.00505792,
2016,1,male,577.1759658,0.00477176,
2017,1,male,576.7006976,0.00476701,
2018,1,male,586.3797526,0.00486380,
2019,1,male,593.4944814,0.00593494,
1990,2,female,385.925685,0.00385926,
1991,2,female,370.3964416,0.00370396,
1992,2,female,407.1774852,0.00407177,
1993,2,female,347.8194048,0.00347819,
1994,2,female,361.8680331,0.00361868,
1995,2,female,316.2055777,0.00316206,
1996,2,female,295.2980081,0.00295298,
1997,2,female,353.6840689,0.00353684,
1998,2,female,366.593194,0.00366593,
1999,2,female,380.3691381,0.00380369,
2000,2,female,427.1638022,0.00427164,
2001,2,female,422.268913,0.00422269,
2002,2,female,448.6453717,0.00448645,
2003,2,female,477.1083971,0.00477108,
2004,2,female,485.3295412,0.00485330,
2005,2,female,474.7701143,0.00474770,
2006,2,female,473.3785855,0.00473379,
2007,2,female,436.3951565,0.00436395,
2008,2,female,419.9922125,0.00419992,
2009,2,female,403.3045923,0.00403305,
2010,2,female,384.2558185,0.00384256,
2011,2,female,349.4671257,0.00349467,
2012,2,female,337.5146797,0.00337515,
2013,2,female,332.7703984,0.00332770,
2014,2,female,335.8239462,0.00335824,
2015,2,female,325.9969253,0.00325997,
2016,2,female,310.4555577,0.00310456,
2017,2,female,303.1516182,0.00303152,
2018,2,female,303.2589364,0.00303259,
2019,2,female,308.259093,0.00308259,
