"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
635,3563.49603974192,11892.6961713312,24647.7718691116,31669.9430493713,71773.9071295559,309640949.341707,12074676.9265305,321715626.268238,0.0462672475989808,0.0142688623000922,6,10.8,10,35,1.5,15,22,50,20,0.0801089543419122,0.00577398673352706,0.0858829410754393,5,624,609,894,200,798,850,55,15
636,3586.69175276569,12013.2599573514,24592.609276382,29020.9714011759,69213.5323876749,307909643.628287,12578244.1556643,320487887.783951,0.0462146198909593,0.0149281872358996,6,10.8,10,35,1.5,15,22,50,15,0.0765147006056512,0,0.0765147006056512,1,652,622,588,194,740,777,263,3
659,3556.56682685124,11881.077466362,24670.5487193861,31772.5259029853,71880.7189155846,307333196.571126,12827883.859471,320161080.430597,0.0462278932074684,0.0152161990323482,6,10.8,10,35,1.2,15,22,50,20,0.0755567992841098,0.00601260514623674,0.0815694044303465,7,620,602,910,201,727,749,462,9
660,3579.69338456399,12001.5509369972,24601.5651140453,29097.2346227027,69280.0440583092,305607051.22542,13382279.7180697,318989330.94349,0.0461751602761687,0.0158793499468743,6,10.8,10,35,1.2,15,22,50,15,0.0721182724165744,0.000151330897268798,0.0722696033138432,2,650,619,603,195,671,674,955,1
1884,3507.18336074432,11844.6720132905,20591.5918304309,35914.6237842748,71858.0709887405,309539046.652679,12494639.9246847,322033686.577363,0.0463237033870675,0.0146767276073793,7.6,10,10,35,1.5,15,22,50,15,0.0810389696662127,0.00596202430872845,0.0870009939749411,6,609,519,1242,41,816,844,214,19
1908,3499.45801126443,11831.2821184349,20603.8119291911,35999.6310106165,71934.1830695069,307233726.547935,13276506.1048304,320510232.652765,0.0462841735009167,0.0156261875465416,7.6,10,10,35,1.2,15,22,50,15,0.0765801775547565,0.00613197792801178,0.0827121554827682,8,604,499,1251,43,744,745,858,11
2460,3386.70145564712,11090.72898928,28190.8816340868,28294.9286038582,70963.2406828721,307546859.391793,12593755.9192114,320140615.311004,0.0461822712784762,0.0149923465417415,8.4,9.2,10,35,1.5,15,22,50,15,0.0754967979419835,0.00395713287625838,0.0794539308182419,3,411,371,494,436,726,756,275,5
2484,3379.95171351178,11079.0508322467,28196.7083627144,28362.0832189015,71017.7941273743,305247342.248826,13403028.3496156,318650370.598442,0.0461426707634533,0.0159439438809048,8.4,9.2,10,35,1.2,15,22,50,15,0.0711224079479656,0.00407972189531809,0.0752021298432837,4,402,361,503,440,658,654,981,2
3708,3292.89305883298,10851.3748629918,23764.0946058977,34167.0569083974,72075.4194361199,309665902.362936,13050534.9845585,322716437.347494,0.0462860933058142,0.0148168888758092,10,8.4,10,35,1.5,15,22,50,15,0.0830337980837953,0.0064471120399593,0.0894809101237546,9,310,211,1133,153,851,853,646,22
3732,3285.42945378678,10838.0195147881,23772.7813105348,34242.3240005781,72138.5542796879,307362375.2892,13840482.2409836,321202857.530184,0.0462466984983189,0.015767620945417,10,8.4,10,35,1.2,15,22,50,15,0.0786086387512878,0.00658788200430701,0.0851965207555949,10,307,197,1140,155,776,751,1378,13
