"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,13449.3431356984,67516.0768364199,429790.436657709,195749.771133261,706505.627763089,499453041.938999,85262222.9259987,584715264.864998,0.0579491516060194,0.0304326985388639,6,6,10,50,1.5,15,30,70,17,0.736380045355944,0.758639660732849,1.49501970608879,3986,3629,3515,3860,3994,2467,2449,2499,4029
"2",2,13447.7173527994,67516.4422797131,425945.395906132,194607.556069965,701517.111608609,500223575.064468,85617129.7276408,585840704.792109,0.0579514720761703,0.0304374243722742,6,6,10,50,1.5,15,30,70,20,0.738776257631988,0.754862665885177,1.49363892351717,3974,3630,3513,3851,3988,2498,2480,2528,4028
"3",3,13448.1730427794,67504.3503338208,432345.419387228,196517.532565735,709815.475329563,499259804.029035,85158724.2702852,584418528.29932,0.0579475774206937,0.0304295119391126,6,6,10,50,1.5,15,30,70,15,0.735747869398769,0.761138317420753,1.49688618681952,3996,3627,3514,3867,3998,2460,2444,2492,4032
"4",4,13239.7189589683,66315.9451724315,502639.562409138,225600.49240359,807795.718944128,493504332.268066,81069376.8833582,574573709.151424,0.0576564773865225,0.0298102403610275,6,6,10,50,1.5,15,30,50,17,0.714682435546796,0.83263140498264,1.54731384052944,4064,3579,3471,3964,4074,2222,2232,2196,4070
"5",5,13241.4980909198,66334.0113083415,498388.528300773,224289.495043935,802253.53274397,493806680.243047,81224874.863792,575031555.106839,0.0576590724867502,0.0298154019627316,6,6,10,50,1.5,15,30,50,20,0.715666093325883,0.828707293495486,1.54437338682137,4058,3583,3472,3960,4072,2230,2241,2202,4068
"6",6,13241.8392385269,66320.6759282451,505686.677656486,226536.611409961,811785.804233219,492814909.192723,80774793.8929937,573589703.085716,0.0576547171163475,0.0298067606307967,6,6,10,50,1.5,15,30,50,15,0.712567023487033,0.835448232560675,1.54801525604771,4070,3580,3474,3968,4078,2199,2211,2174,4071
"7",7,13160.1890154504,65915.2281420283,486882.498966153,224094.650413244,790052.566536875,490145478.016932,80879057.4714047,571024535.488336,0.0574465955810654,0.0297701259863778,6,6,10,50,1.5,15,22,70,17,0.707043891037123,0.82002042404744,1.52706431508456,4042,3575,3466,3958,4060,2146,2133,2179,4058
"8",8,13168.8305653049,65939.8006320336,483065.216469928,222894.002970461,785067.850637727,490132195.16192,80724809.2891302,570857004.45105,0.0574490149214332,0.0297750194310208,6,6,10,50,1.5,15,22,70,20,0.706682744242364,0.816452108628837,1.5231348528712,4036,3577,3469,3954,4056,2145,2131,2170,4055
"9",9,13159.0534409526,65903.4838134325,489724.686018785,224956.476568378,793743.699841548,489945773.07491,80777669.6185154,570723442.693426,0.0574449543222646,0.0297668263408391,6,6,10,50,1.5,15,22,70,15,0.706394787085009,0.822655478108928,1.52905026519394,4046,3573,3465,3962,4066,2141,2126,2175,4060
"10",10,12955.9700297396,64734.6479606332,569246.678202673,258771.037589545,905708.333782592,482177027.560419,75771570.5593851,557948598.119805,0.0570828798043614,0.0290740793580547,6,6,10,50,1.5,15,22,50,17,0.678694918508679,0.899859795925706,1.57855471443439,4086,3528,3412,4020,4098,2046,2047,2046,4086
