"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
634,3586.55022255658,9098.76844997807,26195.9977759675,24613.9241353192,63495.2405838213,308880591.637634,13468218.4758154,322348810.11345,0.0474751839497672,0.0127348960665461,6,10.8,10,35,1.5,15,22,50,25,0.077295180144369,0.00112778768992134,0.0784229678342903,5,606,671,161,324,792,840,20,7
635,3578.03834140723,9068.92607429417,26415.5793510504,25343.3443770052,64405.888143757,309361726.127845,13338309.63074,322700035.758585,0.0474796915509884,0.0125116528165376,6,10.8,10,35,1.5,15,22,50,20,0.0782658424755963,0.00308328809658598,0.0813491305721823,7,596,656,229,339,806,863,5,10
636,3601.08461361113,9154.06849750198,26612.9644814888,23604.8769768371,62972.994569439,307758890.665249,13680682.0811439,321439572.746393,0.0474677282023704,0.0131706512814242,6,10.8,10,35,1.5,15,22,50,15,0.074779913343331,0,0.074779913343331,1,620,683,95,353,747,781,67,3
658,3579.58340351832,9091.69190904637,26210.9695509134,24679.5824888824,63561.8273523605,306842253.252822,14055848.6178688,320898101.870691,0.0474577964541728,0.013682675105181,6,10.8,10,35,1.2,15,22,50,25,0.0732803262790374,0.00127124760134622,0.0745515738803836,6,602,661,171,326,721,746,173,2
659,3571.08226070848,9061.84369245386,26437.0012525069,25416.8233365817,64486.7505422509,307320226.382672,13910736.7668861,321230963.149558,0.0474623042218485,0.0134583811359214,6,10.8,10,35,1.2,15,22,50,20,0.0742023251100556,0.00325625961662222,0.0774585847266778,8,592,640,234,342,737,763,125,5
660,3594.0608278835,9146.92949828964,26621.0551839629,23659.1054979977,63021.1510081338,305723482.147889,14302896.5807133,320026378.728603,0.0474502954271151,0.0141211583726238,6,10.8,10,35,1.2,15,22,50,15,0.0708634551803164,0.000104188840792109,0.0709676440211085,2,616,677,104,354,688,694,331,1
1884,3536.90477645682,8571.23224920022,22136.3287527752,28992.8442000638,63237.3099784961,309397326.872114,13706747.0971377,323104073.969252,0.0475491082726156,0.012912296586571,7.6,10,10,35,1.5,15,22,50,15,0.0793818067729224,0.000571369866009996,0.0799531766389324,3,457,598,625,94,827,865,73,8
1908,3529.10486781498,8562.77535018375,22147.8567987294,29055.148515896,63294.8855326241,307358253.824194,14306719.4072332,321664973.231427,0.0475316027264724,0.0138610825295957,7.6,10,10,35,1.2,15,22,50,15,0.075403780762434,0.000695672300573979,0.076099453063008,4,453,577,636,96,759,767,334,4
2482,3396.98493465026,8550.67594676884,30138.392640206,25059.7594947584,67145.8130163835,306248805.718471,14117938.0741455,320366743.792617,0.0474163110387081,0.0138182428013565,8.4,9.2,10,35,1.2,15,22,50,25,0.0718075158494981,0.00888499777536246,0.0806925136248606,22,448,371,202,613,700,723,205,9
2484,3410.78892461489,8601.5438829294,30904.5832467701,24191.5772951474,67108.4933494618,305143388.162276,14370410.1597274,319513798.322003,0.047409067082008,0.0142527600120429,8.4,9.2,10,35,1.2,15,22,50,15,0.0694407780109966,0.00880677816116621,0.0782475561721628,21,465,405,125,670,665,664,388,6
