"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
527,3505.41418912099,9887.26098742579,21203.8318743213,34975.217376497,69571.7244273651,198936339.693953,28518883.3876697,227455223.081623,0.0392034376210047,0.0230828039312955,6,10,8,35,1.2,17,30,60,17,8,254,153,388,29
543,3511.94408184527,9893.92039280269,21185.4594621349,34896.913550688,69488.2374874708,200538764.565636,26962274.5213172,227501039.086953,0.0392222788368847,0.0221104918413226,6,10,8,35,1.5,17,30,60,17,7,255,156,386,28
641,3829.23651655163,10511.7232137531,30448.2031395741,24576.3855504974,69365.5484203762,179984480.235912,35885251.9700142,215869732.205927,0.0376073891508599,0.0258186950759761,6,11,8,35,1.2,14,22,40,17,6,318,342,183,245
657,3836.1718598324,10519.4420687143,30429.0334016995,24492.9415778632,69277.5889081095,181459871.990608,34049123.6193075,215508995.609915,0.0376261713321998,0.0248456328238952,6,11,8,35,1.5,14,22,40,17,5,323,345,181,244
1421,3823.81149731785,9640.54797184359,26849.3813657051,28199.7804107715,68513.5212456381,190947577.982985,31867908.7913842,222815486.77437,0.0385657268101971,0.0244772769113052,7,10,8,35,1.2,17,30,40,17,4,221,338,286,188
1437,3833.54671927221,9652.31988354402,26830.1102093721,28122.0641437567,68438.040955945,192500705.931101,30168239.2909393,222668945.22204,0.0385844423889916,0.0234998928280266,7,10,8,35,1.5,17,30,40,17,3,222,344,283,187
2187,3500.76554096606,8936.24836717648,26477.6796761253,29483.5928893684,68398.2864736362,189209943.534223,31554069.4021319,220764012.936355,0.0383969741154613,0.0242480102538723,8,9,8,35,1.2,17,22,60,17,2,119,149,310,176
2203,3509.08273207915,8946.12893344652,26462.5267934861,29409.3877650787,68327.1262240904,190736137.767948,29885320.8102011,220621458.578149,0.03841514158349,0.0232799114842692,8,9,8,35,1.5,17,22,60,17,1,122,155,309,175
2204,3496.46342922561,8898.51949159216,27014.7096199207,30776.682020062,70186.3745608005,191212153.018535,29352197.7091172,220564350.727652,0.038422560921735,0.0229758627293636,8,9,8,35,1.5,17,22,60,20,9,115,148,331,193
2321,3682.15828002098,9561.32993701463,24243.4918405981,32712.2328848527,70199.2129424864,183015570.187489,33263349.5139787,216278919.701468,0.0377672708871147,0.0245822441874222,8,10,8,35,1.5,14,22,40,17,10,212,252,355,123
