"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
1,14356.3583728519,69027.279418437,521930.925158308,208444.356125859,813758.919075456,158596958.138572,49125928.0971335,207722886.235706,0.0358362537942885,0.0302768676265105,6,6,8,35,1.2,14,22,40,17,0.00323675020463935,0.47801530731528,0.481252057519919,5809,5858,5668,5204,6032,8,3,3483,2351
2,14358.8058647083,69050.4685956945,516056.732548984,206563.496544957,806029.503554344,158807070.921135,48734950.9552451,207542021.87638,0.0358403891328851,0.0301169270155943,6,6,8,35,1.2,14,22,40,20,0.00285017148902554,0.474893818822293,0.477743990311319,5793,5860,5670,5181,6025,7,4,3462,2330
9,10876.0533078181,52688.487472423,535433.467553628,215713.807247139,814711.815581008,158058586.339098,49309876.0230575,207368462.362156,0.0357934446408278,0.0303410999754044,6,6,8,35,1.2,17,22,40,17,0.00247904771030952,0.478399101832535,0.480878149542844,5813,5448,5150,5266,6063,6,1,3494,2343
10,10877.7419512276,52709.5830849739,529591.479592778,213834.810079245,807013.614708225,158263663.989753,48925883.928797,207189547.91855,0.0357974876300875,0.0301843102797455,6,6,8,35,1.2,17,22,40,20,0.00209631083472947,0.475292076519708,0.477388387354438,5795,5451,5151,5243,6053,5,2,3475,2329
17,14353.8365570747,69017.2763699352,521966.977521446,208497.961882719,813836.052331175,159933827.585177,46804899.4566761,206738727.041853,0.0358554614553311,0.0292665535936678,6,6,8,35,1.5,14,22,40,17,0.00113117356339193,0.478046382340216,0.479177555903608,5810,5857,5665,5206,6033,4,7,3296,2337
18,14356.2774461441,69040.4188007209,516102.736498321,206623.448446994,806122.88119218,160147031.087258,46426988.1162246,206574019.203483,0.0358595923233496,0.0291075202419735,6,6,8,35,1.5,14,22,40,20,0.000778297315233823,0.474931618041682,0.475709915356916,5794,5859,5667,5183,6026,3,8,3254,2322
25,10874.1793514765,52679.0980934536,535469.616773553,215767.71322574,814790.607444223,159391645.180854,46982397.9597904,206374043.140644,0.035812643392398,0.029330437951451,6,6,8,35,1.5,17,22,40,17,0.000349671957470292,0.478430826483875,0.478780498441346,5814,5447,5148,5269,6064,2,5,3314,2336
26,10875.8597090366,52700.1448234318,529637.608656959,213895.130403663,807108.743593091,159599761.052409,46611213.6272499,206210974.679659,0.0358166820144609,0.029174538010948,6,6,8,35,1.5,17,22,40,20,0,0.47533056113698,0.47533056113698,5796,5450,5149,5245,6054,1,6,3279,2320
1818,7301.75538721027,33249.8759353909,375299.477062403,134362.593857892,550213.702242896,163732557.749715,44376900.9302503,208109458.679966,0.0361224804997807,0.0282939763622298,8,6,8,35,1.5,17,22,40,20,0.00406244463884826,0.361481751097417,0.365544195736265,5154,4517,4111,4384,5578,10,32,3154,1815
2714,5749.74995961392,24577.2107124254,298910.054027085,98058.0310624746,427295.045761599,165445629.253731,42474815.8426982,207920445.09643,0.0363117474580603,0.0277818749149672,9,6,8,35,1.5,17,22,40,20,0.00365881941061329,0.297454625706995,0.301113445117608,4640,3743,3293,3729,5162,9,56,3021,1345
