"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",1,14332.2572543588,68081.2971277983,411399.646964566,149592.148105114,643405.349451837,50771105.7727611,105904012.004583,156675117.777344,0.0204173344970724,0.0336473367968574,6,6,6,30,1.2,14,22,40,17,4918,5748,5538,4002,5259
"2",2,14334.8828301865,68101.5722415664,408150.271611771,148437.352912472,639024.079595996,50822778.235987,105690568.193221,156513346.429208,0.020415867706918,0.0336136904926305,6,6,6,30,1.2,14,22,40,20,4906,5750,5541,3993,5246
"3",3,14649.6645125839,69904.7070662516,293532.5588646,102941.88386145,481028.814304885,55075396.6697489,96548227.434831,151623624.10458,0.0211504361195559,0.0323229532863008,6,6,6,30,1.2,14,22,60,17,4381,5792,5588,3380,4703
"4",4,14648.8019583196,69898.4055132741,290965.1096125,102065.165012505,477577.482096599,55183977.0389666,96078508.9511816,151262485.990148,0.0211482704095924,0.0321658718251951,6,6,6,30,1.2,14,22,60,20,4362,5790,5587,3360,4691
"5",5,14638.4943419528,69788.7014731298,351718.465490704,121735.684664839,557881.345970625,54691024.7644529,99240636.6417044,153931661.406157,0.0210776821563345,0.032727883459195,6,6,6,30,1.2,14,30,40,17,4678,5787,5584,3651,5012
"6",6,14637.5226032718,69792.2437821158,348710.210976498,120682.766574757,553822.743936643,54790841.5334816,98829558.6201187,153620400.1536,0.0210757358628691,0.0325770819757068,6,6,6,30,1.2,14,30,40,20,4668,5788,5583,3633,4992
"7",7,14941.2586374269,71558.0102119765,247788.883256711,83007.7297876391,417295.881893754,59004715.9173449,90331809.6697105,149336525.587055,0.0218413432370798,0.0313523748921515,6,6,6,30,1.2,14,30,60,17,4125,5830,5622,3001,4394
"8",8,14944.0640537339,71579.4431593432,245809.184751193,82384.9059710313,414717.597935302,59058880.9616805,90116617.5536323,149175498.515313,0.0218390076499846,0.0312400746315396,6,6,6,30,1.2,14,30,60,20,4111,5832,5624,2988,4381
"9",9,10894.963612662,51796.6821793742,424659.535204898,156459.068963728,643810.249960663,50159893.9050284,107043878.085115,157203771.990144,0.0203439660191816,0.0337366000598789,6,6,6,30,1.2,17,22,40,17,4923,5300,4970,4083,5322
"10",10,10896.9264128007,51816.1766977288,421400.74941362,155293.455454506,639407.307978655,50210385.2799966,106777604.024487,156987989.304484,0.020342059642019,0.0336123874121227,6,6,6,30,1.2,17,22,40,20,4908,5302,4972,4066,5309
"11",11,11199.5296222094,53597.8701429158,306761.756664396,109284.518267361,480843.674696882,54349898.4161407,97827711.0870984,152177609.503239,0.0210620369404526,0.0324399355279709,6,6,6,30,1.2,17,22,60,17,4378,5386,5055,3464,4783
"12",12,11201.603670537,53617.2926442579,304373.294724529,108495.291187353,477687.482226677,54400461.0565732,97597475.6523597,151997936.708933,0.0210597849925975,0.0323248071412186,6,6,6,30,1.2,17,22,60,20,4364,5388,5057,3458,4765
"13",13,11184.3630150615,53486.1904195264,365240.312491533,128482.583696635,558393.449622756,54095140.4731107,100049562.188331,154144702.661442,0.0210047231719259,0.0328207878379847,6,6,6,30,1.2,17,30,40,17,4681,5382,5047,3757,5077
"14",14,11186.4848871409,53506.2184346889,362439.914019059,127505.668866664,554638.286207553,54148186.305909,99805593.2674541,153953779.573363,0.0210026836158045,0.0327022694333265,6,6,6,30,1.2,17,30,40,20,4672,5384,5051,3734,5056
"15",15,11482.6137419417,55250.8117802478,260866.527472112,88979.9359089265,416579.888903228,58258733.2324909,91643580.7552364,149902313.987727,0.0217396748109169,0.0314919272939542,6,6,6,30,1.2,17,30,60,17,4116,5463,5123,3122,4489
"16",16,11484.0191722443,55262.7090586103,258739.777675441,88282.3204255739,413768.82633187,58220450.7347387,91481842.874992,149702293.609731,0.021737256480766,0.0313780917566591,6,6,6,30,1.2,17,30,60,20,4107,5466,5125,3114,4466
"17",17,14331.2291247961,68076.5048670956,411477.865732869,149667.631328823,643553.231053584,51153129.7339326,104142792.23294,155295921.966873,0.0204338525063237,0.0329095277367444,6,6,6,30,1.5,14,22,40,17,4919,5747,5537,4005,5260
"18",18,14333.8092571212,68096.5358254535,408224.393536503,148510.447228675,639165.185847752,51207308.493979,103929765.451122,155137073.945101,0.0204325549551611,0.0328747703470683,6,6,6,30,1.5,14,22,40,20,4907,5749,5539,3994,5247
"19",19,14648.5178266097,69899.4345626248,293604.968143585,103005.202679833,481158.123212652,55496601.2713305,94882363.4972408,150378964.768571,0.0211671834301767,0.0315897919457006,6,6,6,30,1.5,14,22,60,17,4382,5791,5586,3382,4706
"20",20,14647.6522280337,69893.1166077778,291035.58032142,102126.893461813,477703.242619044,55609486.5682534,94421469.9796696,150030956.547923,0.0211650570018288,0.0314327120364761,6,6,6,30,1.5,14,22,60,20,4365,5789,5585,3361,4693
"21",21,14637.3542323634,69783.4977203843,351784.345658641,121801.354621154,558006.552232542,55109840.4342497,97539015.5283942,152648855.962644,0.0210945963108295,0.0319917030776204,6,6,6,30,1.5,14,30,40,17,4679,5785,5582,3653,5014
"22",22,14636.380131337,69787.0294365717,348774.83043993,120747.133115232,553945.37312307,55212279.9474592,97135788.3008587,152348068.248318,0.0210926899521693,0.0318410383885111,6,6,6,30,1.5,14,30,40,20,4669,5786,5581,3634,4993
"23",23,14940.0540714314,71552.5785514093,247850.755737697,83061.3366618879,417404.725022426,59457238.3284947,88725253.370902,148182491.699397,0.0218577880389919,0.0306190649145471,6,6,6,30,1.5,14,30,60,17,4126,5829,5621,3003,4395
"24",24,14942.8542501451,71573.9902761485,245869.121550474,82436.922871825,414822.888948592,59514127.3429022,88513071.4289042,148027198.771806,0.0218554913707887,0.0305064101694454,6,6,6,30,1.5,14,30,60,20,4112,5831,5623,2989,4384
"25",25,10894.3867702739,51792.2292497522,424735.302562214,156534.514620234,643956.433202474,50538324.9836753,105275671.897977,155813996.881653,0.0203606050456349,0.0329986323235462,6,6,6,30,1.5,17,22,40,17,4924,5299,4969,4084,5323
"26",26,10896.3431044457,51811.7008947334,421475.677296268,155367.871423663,639551.59271911,50591787.0900226,105012847.645127,155604634.73515,0.02035873812347,0.0328740767714369,6,6,6,30,1.5,17,22,40,20,4910,5301,4971,4068,5310
"27",27,11198.8336257089,53593.0777199633,306835.665005446,109350.22764721,480977.803998329,54766538.3752819,96154335.3182171,150920873.693499,0.0210787775059588,0.0317066327387033,6,6,6,30,1.5,17,22,60,17,4380,5385,5053,3466,4785
"28",28,11200.9014414699,53612.4770940579,304445.517326718,108559.534967317,477818.430829563,54819868.4128122,95927187.1095591,150747055.522371,0.0210765649947067,0.0315911545244149,6,6,6,30,1.5,17,22,60,20,4366,5387,5056,3460,4766
"29",29,11183.6778425993,53481.4701050958,365307.160097402,128549.868938535,558522.176983632,54509467.5751712,98342599.8149432,152852067.390114,0.0210216232483713,0.0320845693197668,6,6,6,30,1.5,17,30,40,17,4682,5381,5046,3760,5080
"30",30,11185.7933724526,53501.4751543525,362505.76774688,127571.876027505,554764.91230119,54565381.2019877,98101872.9215289,152667254.123517,0.0210196236816269,0.0319657006516258,6,6,6,30,1.5,17,30,40,20,4673,5383,5048,3736,5057
"31",31,11481.823074706,55245.7801047954,260930.295179069,89036.4101838118,416694.308542382,58708520.7291582,90027001.6445281,148735522.373686,0.0217561129926527,0.0307576683467648,6,6,6,30,1.5,17,30,60,17,4117,5462,5122,3124,4491
"32",32,11483.2232343658,55257.6588018529,258801.665182038,88337.1887567413,413879.735974998,58670491.8176642,89869468.9658118,148539960.783476,0.0217537337627091,0.0306442605813446,6,6,6,30,1.5,17,30,60,20,4108,5464,5124,3115,4468
"33",33,14224.8605030554,68547.4449468389,478646.348718131,193106.303591408,754524.957759433,141048231.804644,19622412.9190153,160670644.723659,0.0318056505323973,0.017926785534915,6,6,6,40,1.2,14,22,40,17,5140,5766,5522,4385,5467
"34",34,14227.0832677552,68565.843088541,475300.473497125,191858.632052989,749952.03190641,141173810.672567,19519116.260371,160692926.932938,0.0318064620418377,0.017926785534915,6,6,6,40,1.2,14,22,40,20,5123,5768,5524,4377,5457
"35",35,14498.3854210336,70117.7180289312,366274.100572334,147122.040655214,598012.244677513,146679983.204063,17447308.8662115,164127292.070274,0.0323544235276945,0.01795319610326,6,6,6,40,1.2,14,22,60,17,4797,5798,5556,3979,5088
"36",36,14500.7151253682,70136.2305200206,363664.524167623,146189.771620649,594491.241433661,146797626.386397,17361100.8451931,164158727.23159,0.0323542887274465,0.01795319610326,6,6,6,40,1.2,14,22,60,20,4786,5800,5560,3967,5064
"37",37,14529.3616187532,70245.4532770067,412772.402867547,160416.499444356,657963.717207664,147597173.14155,17749588.0626111,165346761.204161,0.0324708918796729,0.0179422957406223,6,6,6,40,1.2,14,30,40,17,4957,5806,5571,4128,5264
"38",38,14531.7230131197,70264.3305014947,409877.168481605,159356.701851488,654029.923847708,147719973.619319,17659426.3812207,165379400.00054,0.0324712399378504,0.0179422957406223,6,6,6,40,1.2,14,30,40,20,4947,5808,5573,4118,5253
"39",39,14794.7253776556,71786.0018671214,313466.719292223,121700.890773266,521748.337310266,153135579.73405,15938638.0308784,169074217.764928,0.0330279085547242,0.0179685220186064,6,6,6,40,1.2,14,30,60,17,4541,5838,5606,3649,4817
"40",40,14797.3507109979,71805.8200819333,311233.38124318,120919.907028478,518756.45906459,153248826.644747,15864299.140825,169113125.785572,0.0330267233692952,0.0179685220186064,6,6,6,40,1.2,14,30,60,20,4529,5840,5610,3640,4803
"41",41,10784.437164202,52274.0729327002,492720.993926624,200464.76511047,756244.269133996,140318682.187115,19805561.1363511,160124243.323466,0.0317133590131079,0.0178651240308288,6,6,6,40,1.2,17,22,40,17,5146,5332,4956,4448,5512
"42",42,10776.1222199822,52265.3277363905,488980.575481131,199120.846864653,751142.872302157,140631701.577664,19591776.3972507,160223477.974914,0.0317586535361586,0.0178651240308288,6,6,6,40,1.2,17,22,40,20,5129,5330,4953,4430,5505
"43",43,11040.7980123175,53831.7488512237,380720.673283932,154365.170450978,599958.390598451,145770824.638025,17691575.4662219,163462400.104247,0.0322955466500523,0.0178909624927294,6,6,6,40,1.2,17,22,60,17,4801,5404,5024,4051,5144
"44",44,11039.4148304156,53824.2669548185,377724.276613462,153272.338147362,595860.296546058,146127623.049118,17462042.3671263,163589665.416245,0.0322945059512082,0.0178909624927294,6,6,6,40,1.2,17,22,60,20,4792,5402,5020,4043,5130
"45",45,11072.6546688878,53916.7706204511,426384.934176477,167481.160117735,658855.519583551,146703285.910471,17989745.7876547,164693031.698126,0.0324013829962575,0.0178764462552549,6,6,6,40,1.2,17,30,40,17,4964,5410,5034,4179,5327
"46",46,11074.4625421388,53932.3179230415,423409.500025169,166367.742814375,654784.023304724,146653851.354854,17937738.5685489,164591589.923402,0.0324008290358981,0.0178764462552549,6,6,6,40,1.2,17,30,40,20,4949,5412,5036,4166,5315
"47",47,11338.8098081128,55476.6092162584,327452.047516995,128460.703236856,522728.169778223,151749188.679343,16286371.881854,168035560.561197,0.0329030251670061,0.0179021063641605,6,6,6,40,1.2,17,30,60,17,4549,5484,5096,3755,4884
"48",48,11331.1527607831,55470.9412020908,324778.605244856,127576.714632327,519157.413840057,152056516.844544,16136622.2368523,168193139.081396,0.032945950126591,0.0179021063641605,6,6,6,40,1.2,17,30,60,20,4533,5482,5091,3737,4871
"49",49,14223.938609041,68543.1466639343,478718.089049116,193178.827257729,754664.001579821,141863292.075347,18980432.6058348,160843724.681182,0.0318316931272163,0.017926785534915,6,6,6,40,1.5,14,22,40,17,5141,5765,5520,4386,5468
"50",50,14226.1561905619,68561.5240805962,475372.009090281,191930.689430656,750090.378792094,141991351.61373,18880916.0988443,160872267.712574,0.0318325431675877,0.017926785534915,6,6,6,40,1.5,14,22,40,20,5124,5767,5523,4378,5458
"51",51,14497.4100682173,70113.2289163062,366347.49587218,147191.506851826,598149.641708529,147515292.824525,16872878.6421228,164388171.466648,0.0323802676357189,0.01795319610326,6,6,6,40,1.5,14,22,60,17,4798,5797,5554,3981,5089
"52",52,14499.6937859479,70131.5034137396,363734.08061628,146257.287812674,594622.565628642,147635656.463012,16789749.2525664,164425405.715579,0.0323803192775626,0.01795319610326,6,6,6,40,1.5,14,22,60,20,4787,5799,5558,3969,5065
"53",53,14528.3800422162,70240.9942177029,412836.887195331,160483.115129277,658089.376584527,148438854.826668,17161920.5571277,165600775.383795,0.0324970226915067,0.0179422957406223,6,6,6,40,1.5,14,30,40,17,4959,5805,5570,4130,5265
"54",54,14530.6947983185,70259.6259172775,409938.435161918,159421.532673996,654150.288551509,148564275.144514,17074856.1355246,165639131.280039,0.0324975598413149,0.0179422957406223,6,6,6,40,1.5,14,30,40,20,4948,5807,5572,4119,5255
