sim_calib_id,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort
1,6,6,6,30,1.2,14,22,40,17
2,6,6,6,30,1.2,14,22,40,20
3,6,6,6,30,1.2,14,22,60,17
4,6,6,6,30,1.2,14,22,60,20
5,6,6,6,30,1.2,14,30,40,17
6,6,6,6,30,1.2,14,30,40,20
7,6,6,6,30,1.2,14,30,60,17
8,6,6,6,30,1.2,14,30,60,20
9,6,6,6,30,1.2,17,22,40,17
10,6,6,6,30,1.2,17,22,40,20
11,6,6,6,30,1.2,17,22,60,17
12,6,6,6,30,1.2,17,22,60,20
13,6,6,6,30,1.2,17,30,40,17
14,6,6,6,30,1.2,17,30,40,20
15,6,6,6,30,1.2,17,30,60,17
16,6,6,6,30,1.2,17,30,60,20
17,6,6,6,30,1.5,14,22,40,17
18,6,6,6,30,1.5,14,22,40,20
19,6,6,6,30,1.5,14,22,60,17
20,6,6,6,30,1.5,14,22,60,20
21,6,6,6,30,1.5,14,30,40,17
22,6,6,6,30,1.5,14,30,40,20
23,6,6,6,30,1.5,14,30,60,17
24,6,6,6,30,1.5,14,30,60,20
25,6,6,6,30,1.5,17,22,40,17
26,6,6,6,30,1.5,17,22,40,20
27,6,6,6,30,1.5,17,22,60,17
28,6,6,6,30,1.5,17,22,60,20
29,6,6,6,30,1.5,17,30,40,17
30,6,6,6,30,1.5,17,30,40,20
31,6,6,6,30,1.5,17,30,60,17
32,6,6,6,30,1.5,17,30,60,20
33,6,6,6,40,1.2,14,22,40,17
34,6,6,6,40,1.2,14,22,40,20
35,6,6,6,40,1.2,14,22,60,17
36,6,6,6,40,1.2,14,22,60,20
37,6,6,6,40,1.2,14,30,40,17
38,6,6,6,40,1.2,14,30,40,20
39,6,6,6,40,1.2,14,30,60,17
40,6,6,6,40,1.2,14,30,60,20
41,6,6,6,40,1.2,17,22,40,17
42,6,6,6,40,1.2,17,22,40,20
43,6,6,6,40,1.2,17,22,60,17
44,6,6,6,40,1.2,17,22,60,20
45,6,6,6,40,1.2,17,30,40,17
46,6,6,6,40,1.2,17,30,40,20
47,6,6,6,40,1.2,17,30,60,17
48,6,6,6,40,1.2,17,30,60,20
49,6,6,6,40,1.5,14,22,40,17
50,6,6,6,40,1.5,14,22,40,20
51,6,6,6,40,1.5,14,22,60,17
52,6,6,6,40,1.5,14,22,60,20
53,6,6,6,40,1.5,14,30,40,17
54,6,6,6,40,1.5,14,30,40,20
55,6,6,6,40,1.5,14,30,60,17
56,6,6,6,40,1.5,14,30,60,20
57,6,6,6,40,1.5,17,22,40,17
58,6,6,6,40,1.5,17,22,40,20
59,6,6,6,40,1.5,17,22,60,17
60,6,6,6,40,1.5,17,22,60,20
61,6,6,6,40,1.5,17,30,40,17
62,6,6,6,40,1.5,17,30,40,20
63,6,6,6,40,1.5,17,30,60,17
