"","year","gender","year-gender","hiv_incidence","hiv_pop_no_art_CD4_more","hiv_pop_no_art_CD4_less","art_coverage","hiv_prevalence","n1_prop","n2_prop","n3_prop","n4_prop","eta_24","eta_34"
"1",1990,"Males","1990-Males",0.021856305771581,0.914814378777224,0.0851856212227762,0,0.0586815186653847,0.941318481334615,0.053682697043578,0.00499882162180673,0,0,0
"2",1991,"Males","1991-Males",0.0252377447615585,0.907506975420667,0.0924930245793327,0,0.0740613135442967,0.925938686455703,0.0672111586502664,0.0068501548940303,0,0,0
"3",1992,"Males","1992-Males",0.028432070602161,0.898977413711724,0.101022586288276,0,0.0906398068305627,0.909360193169437,0.0814831391238695,0.00915666770669319,0,0,0
"4",1993,"Males","1993-Males",0.0313938608952974,0.889622849580439,0.110377150419561,0,0.107946763865782,0.892053236134218,0.0960319076732637,0.0119148561925183,0,0,0
"5",1994,"Males","1994-Males",0.0340980638738387,0.879789749883891,0.12021025011611,0,0.125531973527755,0.874468026472245,0.110441743592415,0.0150902299353403,0,0,0
"6",1995,"Males","1995-Males",0.0356864720837027,0.869763858048396,0.130236141951604,0,0.14299324336348,0.85700675663652,0.124370355022674,0.0186228883408064,0,0,0
"7",1996,"Males","1996-Males",0.0355378653506804,0.858923102216256,0.141076897783743,0,0.159006581634909,0.840993418365091,0.136574426370658,0.0224321552642504,0,0,0
"8",1997,"Males","1997-Males",0.0349064713125083,0.846941562492819,0.15305843750718,0,0.172507804959143,0.827492195040857,0.146104029874303,0.0264037750848398,0,0,0
"9",1998,"Males","1998-Males",0.0338769894085682,0.834310486114437,0.165689513885563,0,0.183366976498427,0.816633023501573,0.152984991299737,0.0303819851986898,0,0,0
"10",1999,"Males","1999-Males",0.0324992827572704,0.821459064880737,0.178540935119263,0,0.191557847585066,0.808442152414934,0.157356930347795,0.0342009172372709,0,0,0
"11",2000,"Males","2000-Males",0.0321074919768548,0.808731059350817,0.191268940649183,0,0.197168982724872,0.802831017275128,0.159456680270209,0.0377123024546633,0,0,0
"12",2001,"Males","2001-Males",0.0325301481913425,0.797487916138284,0.202512083861716,0,0.201500848914049,0.798499151085951,0.16069449210056,0.0408063568134889,0,0,0
"13",2002,"Males","2002-Males",0.0328395367920907,0.788305266382015,0.211694733617985,0,0.20517458802758,0.79482541197242,0.161740208269902,0.0434343797576784,0,0,0
"14",2003,"Males","2003-Males",0.0330482903887312,0.780991870079443,0.219008129920557,0,0.208274372565996,0.791725627434004,0.16266059171994,0.0456137808460561,0,0,0
"15",2004,"Males","2004-Males",0.0330711502045901,0.775039378743899,0.222566071639888,0.00239454961621355,0.210909405153026,0.789090594846974,0.163071673851227,0.0468288745581295,0.000505033035165006,0,0
"16",2005,"Males","2005-Males",0.0327898429925483,0.769259584776378,0.219617014643477,0.0111234005801452,0.213219193230328,0.786780806769672,0.162196437786949,0.0463056920674329,0.00237172249767632,0,0.0800717835698987
"17",2006,"Males","2006-Males",0.0321731050679464,0.762056245250686,0.209711035566331,0.0282327191829834,0.215335328189658,0.784664671810342,0.159464709316502,0.0438832560397779,0.00607950185095418,0,0.127610870506839
"18",2007,"Males","2007-Males",0.0312766400741547,0.752078087792271,0.194185370096516,0.0537365421112128,0.217347114198248,0.782652885801752,0.154678119277536,0.0399376452063814,0.0116794823548647,0,0.165573251012705
"19",2008,"Males","2008-Males",0.0302715614428195,0.738766286769016,0.177811830326721,0.0834218829042623,0.219272059951822,0.780727940048178,0.14847722751291,0.0357366166523002,0.0182920881094773,0,0.17900982962984
"20",2009,"Males","2009-Males",0.0292536950082244,0.722837681744949,0.165452190805904,0.111710127449146,0.221012134993685,0.778987865006315,0.14190954742519,0.0324820441860371,0.0246892937679524,0,0.206333564613825
"21",2010,"Males","2010-Males",0.0281730279477885,0.705257101551818,0.153640620606314,0.141102277841868,0.222472877198916,0.777527122801084,0.134761547801689,0.0293578721753539,0.0313914297308012,0,0.255556027919289
"22",2011,"Males","2011-Males",0.0265254288156187,0.680984220497321,0.145129004418951,0.173886775083728,0.223674347364077,0.776325652635923,0.125832493368365,0.0268169862625721,0.0388940109320969,0,0.312565560917319
"23",2012,"Males","2012-Males",0.0241933499919528,0.636568429827065,0.152012728317244,0.211418841855691,0.223613358537075,0.776386641462925,0.112250746246372,0.0268055112271169,0.0472760772853698,0,0.297336507683999
"24",2013,"Males","2013-Males",0.0218635021215611,0.598799060144285,0.152325509703324,0.248875430152391,0.221983883047421,0.778016116952579,0.0998422874326191,0.0253983820873982,0.055246334380325,0,0.294100638130033
"25",2014,"Males","2014-Males",0.0196623433883972,0.564557912842991,0.149200172890191,0.286241914266817,0.219101437049639,0.780898562950361,0.0882886276070782,0.0233327320431646,0.0627160147596992,0,0.298720757584576
"26",2015,"Males","2015-Males",0.0174225158423553,0.531089907041901,0.145149464852949,0.32376062810515,0.215239223373136,0.784760776626864,0.0773018552253406,0.0211269744902403,0.0696859861521512,0.065770936674177,0.065770936674177
"27",2016,"Males","2016-Males",0.0151950173776167,0.492622436315438,0.145202528082493,0.362175035602068,0.210284351464707,0.789715648535293,0.0660727916487452,0.0194752323029039,0.076159742478288,0.0305617924133193,0.0305617924133193
"28",2017,"Males","2017-Males",0.0140197149315532,0.466193177809037,0.148148070382071,0.385658751808892,0.204258928542878,0.795741071457122,0.0585001041202261,0.0185903139623201,0.078774243427668,0.041843806955074,0.041843806955074
"29",1990,"Females","1990-Females",0.0371274189785894,0.935339854557893,0.0646601454421069,0,0.0994333471042989,0.900566652895701,0.0930039724187394,0.00642937468555946,0,0,0
"30",1991,"Females","1991-Females",0.0428778257507453,0.928038550145355,0.0719614498546447,0,0.12557594422916,0.87442405577084,0.116539317215564,0.00903662701359636,0,0,0
"31",1992,"Females","1992-Females",0.0482594329863607,0.919493931578552,0.0805060684214495,0,0.153506697247382,0.846493302752618,0.141148476575634,0.0123582206717485,0,0,0
"32",1993,"Females","1993-Females",0.0531975074826597,0.909973614220338,0.0900263857796647,0,0.182350481668406,0.817649518331594,0.165934126858619,0.0164163548097876,0,0,0
"33",1994,"Females","1994-Females",0.0576677481197471,0.899751502003808,0.100248497996193,0,0.211301339701394,0.788698660298606,0.190118697771746,0.0211826419296481,0,0,0
"34",1995,"Females","1995-Females",0.0602721796431423,0.889089137258008,0.110910862741992,0,0.239677975524954,0.760322024475046,0.213095084479227,0.0265828910457267,0,0,0
"35",1996,"Females","1996-Females",0.0600111623745737,0.877577530192794,0.122422469807205,0,0.265518644868303,0.734481355131697,0.233013196583663,0.0325054482846398,0,0,0
"36",1997,"Females","1997-Females",0.0589622541640323,0.864987341247645,0.135012658752354,0,0.287352092147438,0.712647907852562,0.248555922188561,0.038796169958877,0,0,0
"37",1998,"Females","1998-Females",0.057258295424496,0.851685578304367,0.148314421695632,0,0.305074002500346,0.694925997499654,0.259827128245135,0.0452468742552106,0,0,0
"38",1999,"Females","1999-Females",0.0549816311602348,0.838043584535339,0.161956415464663,0,0.318715530075923,0.681284469924077,0.267097505271907,0.0516180248040165,0,0,0
"39",2000,"Females","2000-Females",0.0543626169037416,0.824406001448817,0.175593998551184,0,0.328452416461837,0.671547583538163,0.270778143321505,0.0576742731403327,0,0,0
"40",2001,"Females","2001-Females",0.0551259187034329,0.811927310952605,0.188072689047395,0,0.33612223578563,0.66387776421437,0.272906823052804,0.063215412732826,0,0,0
"41",2002,"Females","2002-Females",0.0557156776902753,0.801211633359129,0.19878836664087,0,0.342602063161067,0.657397936838933,0.274496758617486,0.0681053045435807,0,0,0
"42",2003,"Females","2003-Females",0.0561628451794714,0.792272996175099,0.207727003824902,0,0.348031294553769,0.651968705446231,0.275735796498813,0.0722954980549564,0,0,0
