"","sim_id","total_mse","rank","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
"1",1,311609.474516319,575,16,16,"1-L","2-L","3-L","4-L"
"2",2,311944.271881467,576,16,16,"1-L","2-L","3-L","4-H"
"3",3,211117.398131592,485,16,16,"1-L","2-L","3-H","4-L"
"4",4,211326.619709857,486,16,16,"1-L","2-L","3-H","4-H"
"5",5,252347.322431278,547,16,16,"1-L","2-H","3-L","4-L"
"6",6,252630.398687089,548,16,16,"1-L","2-H","3-L","4-H"
"7",7,176698.954130976,385,16,16,"1-L","2-H","3-H","4-L"
"8",8,176834.380231695,386,16,16,"1-L","2-H","3-H","4-H"
"9",9,307171.630815638,573,16,16,"1-H","2-L","3-L","4-L"
"10",10,307493.685230132,574,16,16,"1-H","2-L","3-L","4-H"
"11",11,202527.033688823,466,16,16,"1-H","2-L","3-H","4-L"
"12",12,202727.985033016,468,16,16,"1-H","2-L","3-H","4-H"
"13",13,246148.396415637,541,16,16,"1-H","2-H","3-L","4-L"
"14",14,246421.244943482,542,16,16,"1-H","2-H","3-L","4-H"
"15",15,165583.5544429,335,16,16,"1-H","2-H","3-H","4-L"
"16",16,165713.844979691,338,16,16,"1-H","2-H","3-H","4-H"
"17",17,284343.943843611,567,16,16.4,"1-L","2-L","3-L","4-L"
"18",18,284651.38408882,568,16,16.4,"1-L","2-L","3-L","4-H"
"19",19,191458.291307616,435,16,16.4,"1-L","2-L","3-H","4-L"
"20",20,191628.582217049,437,16,16.4,"1-L","2-L","3-H","4-H"
"21",21,228154.469784594,517,16,16.4,"1-L","2-H","3-L","4-L"
"22",22,228404.172448013,518,16,16.4,"1-L","2-H","3-L","4-H"
"23",23,161470.534615018,320,16,16.4,"1-L","2-H","3-H","4-L"
"24",24,161561.034111179,322,16,16.4,"1-L","2-H","3-H","4-H"
"25",25,280440.953037952,565,16,16.4,"1-H","2-L","3-L","4-L"
"26",26,280733.270013329,566,16,16.4,"1-H","2-L","3-L","4-H"
"27",27,182957.8696834,404,16,16.4,"1-H","2-L","3-H","4-L"
"28",28,183118.16422195,406,16,16.4,"1-H","2-L","3-H","4-H"
"29",29,222263.002827404,507,16,16.4,"1-H","2-H","3-L","4-L"
"30",30,222500.123259258,508,16,16.4,"1-H","2-H","3-L","4-H"
"31",31,150184.584310099,257,16,16.4,"1-H","2-H","3-H","4-L"
"32",32,150267.494022166,258,16,16.4,"1-H","2-H","3-H","4-H"
"33",33,259100.558334046,555,16,16.8,"1-L","2-L","3-L","4-L"
"34",34,260587.32364065,556,16,16.8,"1-L","2-L","3-L","4-H"
"35",35,175529.676211916,375,16,16.8,"1-L","2-L","3-H","4-L"
"36",36,175681.406655456,376,16,16.8,"1-L","2-L","3-H","4-H"
"37",37,207638.866077219,476,16,16.8,"1-L","2-H","3-L","4-L"
"38",38,208040.881358005,479,16,16.8,"1-L","2-H","3-L","4-H"
"39",39,150834.213477403,264,16,16.8,"1-L","2-H","3-H","4-L"
"40",40,150677.861951281,262,16,16.8,"1-L","2-H","3-H","4-H"
"41",41,256910.132271177,551,16,16.8,"1-H","2-L","3-L","4-L"
"42",42,257563.319900111,552,16,16.8,"1-H","2-L","3-L","4-H"
"43",43,167104.202634429,346,16,16.8,"1-H","2-L","3-H","4-L"
"44",44,167255.370697542,350,16,16.8,"1-H","2-L","3-H","4-H"
"45",45,202065.956945942,463,16,16.8,"1-H","2-H","3-L","4-L"
"46",46,202432.748534159,465,16,16.8,"1-H","2-H","3-L","4-H"
"47",47,139429.173483331,180,16,16.8,"1-H","2-H","3-H","4-L"
"48",48,139328.701564951,176,16,16.8,"1-H","2-H","3-H","4-H"
"49",49,237405.782649193,531,16,17.2,"1-L","2-L","3-L","4-L"
"50",50,237650.872105519,532,16,17.2,"1-L","2-L","3-L","4-H"
"51",51,161548.976841791,321,16,17.2,"1-L","2-L","3-H","4-L"
"52",52,161713.10469359,324,16,17.2,"1-L","2-L","3-H","4-H"
"53",53,188193.044035265,422,16,17.2,"1-L","2-H","3-L","4-L"
"54",54,187849.691963536,421,16,17.2,"1-L","2-H","3-L","4-H"
"55",55,141429.177460137,195,16,17.2,"1-L","2-H","3-H","4-L"
"56",56,141733.206148889,201,16,17.2,"1-L","2-H","3-H","4-H"
"57",57,234733.312678975,525,16,17.2,"1-H","2-L","3-L","4-L"
"58",58,234963.284934237,526,16,17.2,"1-H","2-L","3-L","4-H"
"59",59,153420.523741538,279,16,17.2,"1-H","2-L","3-H","4-L"
"60",60,153595.064420742,282,16,17.2,"1-H","2-L","3-H","4-H"
"61",61,183495.871847233,407,16,17.2,"1-H","2-H","3-L","4-L"
"62",62,183830.661014459,408,16,17.2,"1-H","2-H","3-L","4-H"
"63",63,130076.093969459,63,16,17.2,"1-H","2-H","3-H","4-L"
"64",64,130368.769359615,67,16,17.2,"1-H","2-H","3-H","4-H"
"65",65,216440.227607987,497,16,17.6,"1-L","2-L","3-L","4-L"
"66",66,216672.74433644,498,16,17.6,"1-L","2-L","3-L","4-H"
"67",67,150459.971447778,260,16,17.6,"1-L","2-L","3-H","4-L"
"68",68,150351.270827541,259,16,17.6,"1-L","2-L","3-H","4-H"
"69",69,171625.994638949,363,16,17.6,"1-L","2-H","3-L","4-L"
"70",70,171201.454887113,360,16,17.6,"1-L","2-H","3-L","4-H"
"71",71,135335.135737264,132,16,17.6,"1-L","2-H","3-H","4-L"
"72",72,135344.686719779,133,16,17.6,"1-L","2-H","3-H","4-H"
"73",73,214405.774086988,490,16,17.6,"1-H","2-L","3-L","4-L"
"74",74,215021.489638849,493,16,17.6,"1-H","2-L","3-L","4-H"
"75",75,142601.143738969,208,16,17.6,"1-H","2-L","3-H","4-L"
"76",76,142551.237047964,207,16,17.6,"1-H","2-L","3-H","4-H"
"77",77,167185.403677904,348,16,17.6,"1-H","2-H","3-L","4-L"
"78",78,166723.639557714,345,16,17.6,"1-H","2-H","3-L","4-H"
"79",79,124084.54534897,24,16,17.6,"1-H","2-H","3-H","4-L"
"80",80,124076.702519105,23,16,17.6,"1-H","2-H","3-H","4-H"
"81",81,197656.463272777,451,16,18,"1-L","2-L","3-L","4-L"
"82",82,198266.462508242,453,16,18,"1-L","2-L","3-L","4-H"
"83",83,141750.652246103,202,16,18,"1-L","2-L","3-H","4-L"
"84",84,141916.160747324,203,16,18,"1-L","2-L","3-H","4-H"
"85",85,156672.282175188,293,16,18,"1-L","2-H","3-L","4-L"
"86",86,157195.081402436,301,16,18,"1-L","2-H","3-L","4-H"
"87",87,132996.686338537,89,16,18,"1-L","2-H","3-H","4-L"
"88",88,133098.835973379,90,16,18,"1-L","2-H","3-H","4-H"
"89",89,196844.612036843,448,16,18,"1-H","2-L","3-L","4-L"
"90",90,197265.824523461,450,16,18,"1-H","2-L","3-L","4-H"
"91",91,134528.200847625,122,16,18,"1-H","2-L","3-H","4-L"
"92",92,134813.020600505,126,16,18,"1-H","2-L","3-H","4-H"
"93",93,152735.792258968,270,16,18,"1-H","2-H","3-L","4-L"
"94",94,153334.723863436,278,16,18,"1-H","2-H","3-L","4-H"
"95",95,121985.990536807,1,16,18,"1-H","2-H","3-H","4-L"
"96",96,121987.715798495,2,16,18,"1-H","2-H","3-H","4-H"
"97",97,293480.736817147,571,16.4,16,"1-L","2-L","3-L","4-L"
"98",98,294090.617182611,572,16.4,16,"1-L","2-L","3-L","4-H"
"99",99,197995.440911291,452,16.4,16,"1-L","2-L","3-H","4-L"
"100",100,198695.745606582,454,16.4,16,"1-L","2-L","3-H","4-H"
"101",101,236262.314661278,529,16.4,16,"1-L","2-H","3-L","4-L"
"102",102,237065.377492559,530,16.4,16,"1-L","2-H","3-L","4-H"
"103",103,167220.785498519,349,16.4,16,"1-L","2-H","3-H","4-L"
"104",104,167162.373723708,347,16.4,16,"1-L","2-H","3-H","4-H"
"105",105,289438.511404804,569,16.4,16,"1-H","2-L","3-L","4-L"
"106",106,290042.788208599,570,16.4,16,"1-H","2-L","3-L","4-H"
"107",107,189505.827192643,427,16.4,16,"1-H","2-L","3-H","4-L"
"108",108,190245.950714489,430,16.4,16,"1-H","2-L","3-H","4-H"
"109",109,230414.008637647,521,16.4,16,"1-H","2-H","3-L","4-L"
"110",110,231194.002523727,522,16.4,16,"1-H","2-H","3-L","4-H"
"111",111,156063.00839682,286,16.4,16,"1-H","2-H","3-H","4-L"
"112",112,156191.854738382,287,16.4,16,"1-H","2-H","3-H","4-H"
"113",113,267791.062884752,559,16.4,16.4,"1-L","2-L","3-L","4-L"
