sim_id,HIV/TB_coinfection_Female,HIV/TB_coinfection_Male,TB_only_Female,TB_only_Male,total_mse,rank_total,rank_HIV/TB_coinfection_Female,rank_HIV/TB_coinfection_Male,rank_TB_only_FEMALE,rank_TB_ONLY_MALE,b1_calib_id,b2_calib_id,m1_calib_id,m2_calib_id,m3_calib_id,m4_calib_id
95," 66,199 "," 50,409 "," 1,661 "," 3,718 "," 121,986 ",1,70,500,122,48,16,18,1-H,2-H,3-H,4-L
96," 66,584 "," 50,075 "," 1,659 "," 3,670 "," 121,988 ",2,73,499,121,27,16,18,1-H,2-H,3-H,4-H
271," 61,921 "," 55,211 "," 1,555 "," 3,655 "," 122,341 ",3,56,514,101,20,16.8,17.6,1-H,2-H,3-H,4-L
272," 62,382 "," 54,819 "," 1,553 "," 3,607 "," 122,360 ",4,61,513,99,6,16.8,17.6,1-H,2-H,3-H,4-H
351," 65,775 "," 51,338 "," 1,625 "," 3,637 "," 122,375 ",5,67,504,114,14,17.2,17.2,1-H,2-H,3-H,4-L
352," 66,159 "," 51,006 "," 1,623 "," 3,589 "," 122,378 ",6,69,503,113,2,17.2,17.2,1-H,2-H,3-H,4-H
176," 70,520 "," 46,446 "," 1,735 "," 3,687 "," 122,388 ",7,83,487,135,35,16.4,17.6,1-H,2-H,3-H,4-H
175," 70,184 "," 46,743 "," 1,737 "," 3,732 "," 122,396 ",8,82,488,136,53,16.4,17.6,1-H,2-H,3-H,4-L
191," 58,114 "," 59,277 "," 1,487 "," 3,701 "," 122,579 ",9,46,526,88,39,16.4,18,1-H,2-H,3-H,4-L
432," 70,036 "," 47,377 "," 1,698 "," 3,599 "," 122,710 ",10,81,490,129,3,17.6,16.8,1-H,2-H,3-H,4-H
431," 69,701 "," 47,672 "," 1,700 "," 3,644 "," 122,718 ",11,79,492,130,17,17.6,16.8,1-H,2-H,3-H,4-L
192," 58,713 "," 58,871 "," 1,486 "," 3,656 "," 122,726 ",12,49,525,87,22,16.4,18,1-H,2-H,3-H,4-H
527," 61,514 "," 56,221 "," 1,524 "," 3,600 "," 122,859 ",13,55,518,96,4,18,16.8,1-H,2-H,3-H,4-L
528," 61,922 "," 55,909 "," 1,521 "," 3,551 "," 122,904 ",14,57,517,95,1,18,16.8,1-H,2-H,3-H,4-H
256," 74,679 "," 42,915 "," 1,816 "," 3,731 "," 123,141 ",15,95,475,147,52,16.8,17.2,1-H,2-H,3-H,4-H
255," 74,480 "," 43,103 "," 1,817 "," 3,759 "," 123,159 ",16,93,476,148,70,16.8,17.2,1-H,2-H,3-H,4-L
447," 57,728 "," 60,318 "," 1,458 "," 3,656 "," 123,159 ",17,44,528,84,21,17.6,17.2,1-H,2-H,3-H,4-L
448," 58,311 "," 59,909 "," 1,457 "," 3,606 "," 123,283 ",18,47,527,81,5,17.6,17.2,1-H,2-H,3-H,4-H
511," 73,801 "," 44,139 "," 1,779 "," 3,677 "," 123,395 ",19,89,479,144,32,18,16.4,1-H,2-H,3-H,4-L
512," 74,175 "," 43,815 "," 1,777 "," 3,634 "," 123,402 ",20,91,477,143,13,18,16.4,1-H,2-H,3-H,4-H
367," 54,293 "," 64,508 "," 1,398 "," 3,737 "," 123,936 ",21,37,536,70,57,17.2,17.6,1-H,2-H,3-H,4-L
368," 54,782 "," 64,168 "," 1,397 "," 3,693 "," 124,040 ",22,39,535,68,36,17.2,17.6,1-H,2-H,3-H,4-H
80," 79,479 "," 38,738 "," 1,942 "," 3,918 "," 124,077 ",23,111,456,169,114,16,17.6,1-H,2-H,3-H,4-H
79," 79,281 "," 38,916 "," 1,943 "," 3,944 "," 124,085 ",24,108,457,170,120,16,17.6,1-H,2-H,3-H,4-L
336," 78,938 "," 39,590 "," 1,900 "," 3,802 "," 124,232 ",25,106,461,161,84,17.2,16.8,1-H,2-H,3-H,4-H
335," 78,738 "," 39,769 "," 1,901 "," 3,829 "," 124,238 ",26,105,462,162,92,17.2,16.8,1-H,2-H,3-H,4-L
288," 51,448 "," 68,483 "," 1,341 "," 3,802 "," 125,074 ",27,32,545,58,83,16.8,18,1-H,2-H,3-H,4-H
287," 50,991 "," 68,897 "," 1,342 "," 3,850 "," 125,081 ",28,28,546,60,96,16.8,18,1-H,2-H,3-H,4-L
415," 83,126 "," 36,602 "," 1,990 "," 3,926 "," 125,644 ",29,122,446,177,117,17.6,16.4,1-H,2-H,3-H,4-L
160," 84,118 "," 35,543 "," 2,034 "," 4,027 "," 125,723 ",30,127,444,183,141,16.4,17.2,1-H,2-H,3-H,4-H
544," 51,104 "," 69,601 "," 1,317 "," 3,782 "," 125,804 ",31,29,547,55,77,18,17.2,1-H,2-H,3-H,4-H
543," 50,649 "," 70,014 "," 1,318 "," 3,830 "," 125,810 ",32,27,548,56,93,18,17.2,1-H,2-H,3-H,4-L
416," 83,556 "," 36,366 "," 1,991 "," 3,904 "," 125,817 ",33,125,445,178,109,17.6,16.4,1-H,2-H,3-H,4-H
159," 84,431 "," 35,509 "," 2,036 "," 4,047 "," 126,024 ",34,128,442,184,143,16.4,17.2,1-H,2-H,3-H,4-L
464," 47,322 "," 74,415 "," 1,262 "," 3,933 "," 126,932 ",35,23,551,43,118,17.6,17.6,1-H,2-H,3-H,4-H
566," 79,728 "," 38,638 "," 3,105 "," 5,660 "," 127,131 ",36,113,455,280,260,18,18,1-L,2-H,3-L,4-H
573," 86,435 "," 34,034 "," 1,039 "," 5,682 "," 127,190 ",37,134,435,4,262,18,18,1-H,2-H,3-L,4-L
565," 79,357 "," 39,071 "," 3,103 "," 5,670 "," 127,201 ",38,109,458,279,261,18,18,1-L,2-H,3-L,4-L
463," 47,479 "," 74,610 "," 1,269 "," 3,983 "," 127,341 ",39,24,552,46,131,17.6,17.6,1-H,2-H,3-H,4-L
574," 87,039 "," 33,738 "," 1,037 "," 5,630 "," 127,444 ",40,137,431,3,256,18,18,1-H,2-H,3-L,4-H
240," 88,661 "," 32,584 "," 2,129 "," 4,162 "," 127,536 ",41,145,423,195,157,16.8,16.8,1-H,2-H,3-H,4-H
496," 88,076 "," 33,378 "," 2,084 "," 4,030 "," 127,567 ",42,143,430,191,142,18,16,1-H,2-H,3-H,4-H
