"","sim_calib_id","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
"1",1,16,16,"1-L","2-L","3-L","4-L"
"2",2,16,16,"1-L","2-L","3-L","4-H"
"3",3,16,16,"1-L","2-L","3-H","4-L"
"4",4,16,16,"1-L","2-L","3-H","4-H"
"5",5,16,16,"1-L","2-H","3-L","4-L"
"6",6,16,16,"1-L","2-H","3-L","4-H"
"7",7,16,16,"1-L","2-H","3-H","4-L"
"8",8,16,16,"1-L","2-H","3-H","4-H"
"9",9,16,16,"1-H","2-L","3-L","4-L"
"10",10,16,16,"1-H","2-L","3-L","4-H"
"11",11,16,16,"1-H","2-L","3-H","4-L"
"12",12,16,16,"1-H","2-L","3-H","4-H"
"13",13,16,16,"1-H","2-H","3-L","4-L"
"14",14,16,16,"1-H","2-H","3-L","4-H"
"15",15,16,16,"1-H","2-H","3-H","4-L"
"16",16,16,16,"1-H","2-H","3-H","4-H"
"17",17,16,16.4,"1-L","2-L","3-L","4-L"
"18",18,16,16.4,"1-L","2-L","3-L","4-H"
"19",19,16,16.4,"1-L","2-L","3-H","4-L"
"20",20,16,16.4,"1-L","2-L","3-H","4-H"
"21",21,16,16.4,"1-L","2-H","3-L","4-L"
"22",22,16,16.4,"1-L","2-H","3-L","4-H"
"23",23,16,16.4,"1-L","2-H","3-H","4-L"
"24",24,16,16.4,"1-L","2-H","3-H","4-H"
"25",25,16,16.4,"1-H","2-L","3-L","4-L"
"26",26,16,16.4,"1-H","2-L","3-L","4-H"
"27",27,16,16.4,"1-H","2-L","3-H","4-L"
"28",28,16,16.4,"1-H","2-L","3-H","4-H"
"29",29,16,16.4,"1-H","2-H","3-L","4-L"
"30",30,16,16.4,"1-H","2-H","3-L","4-H"
"31",31,16,16.4,"1-H","2-H","3-H","4-L"
"32",32,16,16.4,"1-H","2-H","3-H","4-H"
"33",33,16,16.8,"1-L","2-L","3-L","4-L"
"34",34,16,16.8,"1-L","2-L","3-L","4-H"
"35",35,16,16.8,"1-L","2-L","3-H","4-L"
"36",36,16,16.8,"1-L","2-L","3-H","4-H"
"37",37,16,16.8,"1-L","2-H","3-L","4-L"
