"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse","rank_total","rank_1","rank_2","rank_3","rank_4","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
"1",29,74348.5728637469,75636.5280649197,8039.41405895993,27839.5561195297,185864.071107156,18,5,1103,1798,2012,6,8,"1-M","2-L","3-L","4-M"
"2",30,74701.5983128459,73832.7046973492,8039.70122864813,27805.8349661427,184379.839204986,15,4,1104,1792,2013,6,8,"1-M","2-L","3-L","4-H"
"3",36,11011.1714108235,277936.158457834,8554.34398006185,29856.1205142164,327357.794362936,262,264,3,1908,2081,6,8,"1-M","2-L","3-H","4-H"
"4",55,83822.4506502603,69675.5704292266,4017.96490936668,15732.5487822261,173248.53477108,6,3,1169,669,1215,6,8,"1-H","2-L","3-L","4-L"
"5",56,84437.0265962924,67218.1133710233,4007.04629184719,15572.0008075197,171234.187066683,3,2,1177,610,1206,6,8,"1-H","2-L","3-L","4-M"
"6",57,84829.1881173609,65480.3522595515,3991.26785695539,15391.8382027458,169692.646436614,1,1,1184,551,1194,6,8,"1-H","2-L","3-L","4-H"
"7",66,42827.8727241253,109845.592476987,4148.95528408447,15447.9877482339,172270.408233431,4,19,751,570,1259,6,8,"1-H","2-M","3-L","4-H"
"8",542,63496.7585755445,90271.11206097,3552.9828540345,14956.9271363628,172277.780626912,5,11,991,447,978,6.4,8,"1-H","2-L","3-L","4-M"
"9",543,63794.026711923,88272.0673921558,3533.67614870791,14742.5119374914,170342.282190278,2,9,994,372,966,6.4,8,"1-H","2-L","3-L","4-H"
"10",978,10885.0481488261,292642.085442972,14109.6224349545,52869.5801680861,370506.336194839,359,297,2,2772,2793,6.8,8,"1-L","2-L","3-M","4-H"
"11",1005,11037.7477284724,264699.539705069,6729.87867168156,22613.2396681182,305080.405773341,221,239,4,1463,1834,6.8,8,"1-M","2-L","3-M","4-H"
"12",1538,136610.907308819,693343.276916522,3181.32361907509,12777.5696511121,845913.077495529,1410,1394,1547,4,734,7.2,8,"1-H","2-H","3-H","4-M"
"13",1539,134589.594739006,686330.581048935,3162.80342727893,12575.8665184331,836658.845733653,1397,1380,1537,2,719,7.2,8,"1-H","2-H","3-H","4-H"
"14",2024,186477.053613848,810056.11165925,2831.37436740297,12666.9367174825,1012031.47635798,1696,1687,1809,3,350,7.6,8,"1-H","2-H","3-H","4-M"
"15",2025,183813.612096346,801937.573604336,2809.09103197057,12426.077438233,1000986.35417089,1684,1666,1796,1,329,7.6,8,"1-H","2-H","3-H","4-H"
"16",2187,397213.27740265,1232483.11952448,2493.03573227445,17004.9962290102,1649194.42888841,2445,2431,2496,933,3,7.6,8.8,"1-H","2-H","3-H","4-H"
"17",2432,11076.3941733424,285814.818482241,11211.7258082257,39333.4662976894,347436.404761498,306,273,5,2349,2450,8,8,"1-L","2-L","3-L","4-M"
"18",2433,10858.3124192441,282304.788777102,11219.5062387248,39359.1437083997,343741.751143471,296,267,1,2350,2451,8,8,"1-L","2-L","3-L","4-H"
"19",2589,212522.84691654,880397.992533927,2493.78634355953,17024.3755189049,1112439.00131293,1857,1848,1930,939,4,8,8.4,"1-H","2-H","3-M","4-H"
"20",2590,358916.263840837,1166858.50697858,2496.76530510723,16118.1756109222,1544389.71173544,2354,2343,2414,775,5,8,8.4,"1-H","2-H","3-H","4-L"
"21",2591,356256.723543213,1158666.54265916,2455.75890671221,15729.8253172235,1533108.85042631,2345,2332,2411,667,2,8,8.4,"1-H","2-H","3-H","4-M"
"22",2592,351959.007888952,1145699.15777989,2427.36844968931,15416.1457426116,1515501.67986115,2338,2315,2406,554,1,8,8.4,"1-H","2-H","3-H","4-H"
"23",2727,729011.92286862,1792112.69273831,3229.46804634482,12790.738118791,2537144.82177207,2824,2815,2831,5,773,8,9.2,"1-M","2-H","3-H","4-H"
