"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse","rank_total","rank_1","rank_2","rank_3","rank_4","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
"1",1,63335.9936790601,89036.2023573694,15552.9891356992,59847.636853974,227772.822026103,71,10,989,2872,2878,6,8,"1-L","2-L","3-L","4-L"
"2",2,64065.0859039469,86036.977848647,15566.4186424528,59917.6828279918,225586.165223039,68,8,999,2873,2879,6,8,"1-L","2-L","3-L","4-M"
"3",3,64373.9668387203,84157.0819998304,15575.5662199447,59975.7352076449,224082.35026614,65,7,1001,2875,2880,6,8,"1-L","2-L","3-L","4-H"
"4",4,18305.810317503,193733.922917633,15860.1668896933,61409.8983653815,289309.798490211,186,114,304,2887,2890,6,8,"1-L","2-L","3-M","4-L"
"5",5,18266.2285640587,189444.665564368,15871.4823306318,61467.6286870724,285050.005146131,178,101,302,2888,2891,6,8,"1-L","2-L","3-M","4-M"
"6",6,18242.4997500891,186472.892453737,15880.8151545904,61528.228504857,282124.435863274,172,92,301,2889,2892,6,8,"1-L","2-L","3-M","4-H"
"7",7,13135.0017246691,315364.378546639,16137.1831247043,62886.3047931077,407522.86818912,444,343,82,2896,2899,6,8,"1-L","2-L","3-H","4-L"
"8",8,12569.2474781521,309766.438746585,16148.1074082488,62943.8904908118,401427.684123797,427,330,55,2897,2900,6,8,"1-L","2-L","3-H","4-M"
"9",9,12173.4084977801,305767.607190922,16157.4094548004,63005.5679101892,397103.993053691,419,327,39,2898,2901,6,8,"1-L","2-L","3-H","4-H"
"10",10,28419.2976082689,146293.024024091,15892.6333429245,61582.747660528,252187.702635812,115,46,542,2890,2893,6,8,"1-L","2-M","3-L","4-L"
"11",11,28440.5482916772,142845.871869713,15904.3273215084,61642.8075071426,248833.554990041,106,44,544,2891,2894,6,8,"1-L","2-M","3-L","4-M"
"12",12,28420.1447137892,140300.605145678,15914.0039279127,61705.5126510164,246340.266438397,101,43,543,2892,2895,6,8,"1-L","2-M","3-L","4-H"
