"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse"
"1",1702,13057.3186952262,234411.204917705,13933.9276890445,52117.9019056954,313520.353207671
"2",1703,59365.6628412835,481325.71707241,12413.79105385,44938.6021521249,598043.773119669
"3",1704,58163.8659885139,477053.050974965,12418.543393491,44981.7277054954,592617.188062466
"4",1705,56692.8776140781,471712.86916963,12428.3616626556,45031.109209946,585865.217656309
"5",1706,144205.637847692,719568.329904322,12754.2358088474,46602.5391171004,923130.742677962
"6",1707,142608.371406288,714096.245226494,12759.3468835618,46650.471349941,916114.434866285
"7",1708,140320.515542671,707040.902320204,12769.5894711378,46704.5363077494,906835.543641762
"8",1709,254075.664622017,945828.164169028,13065.0437661043,48199.2341111498,1261168.1066683
"9",1710,251958.586056929,938773.070244698,13070.5433060313,48252.4491554724,1252054.64876313
"10",1711,249223.366006149,930974.947844607,13080.3006547904,48306.2942064266,1241584.90871197
"11",1712,15197.4860035466,207676.734712772,4770.68352931143,15838.0710676753,243482.975313306
"12",1713,12882.1447006629,231537.962943292,13947.7023478378,52177.0913821304,310544.901373924
"13",1714,15305.5151551202,205259.993590206,4767.88642695017,15736.4767811573,241069.871953434
"14",1715,15248.4642601116,202446.918373482,4759.37838927871,15622.6519904796,238077.413013352
"15",1716,18661.8227380056,390121.801416259,4990.57424823069,16272.2938411304,430046.492243626
"16",1717,18272.5949264653,386608.748951839,4989.00119637636,16184.742987582,426055.088062263
"17",1718,17754.6092664219,382423.807340196,4981.67487704027,16084.6812694275,421244.772753086
"18",1719,65992.9978996914,581804.36939178,5216.48141409549,16830.1153516831,669843.96405725
"19",1720,65062.2455667188,576756.235332746,5212.51657909728,16734.5393307442,663765.536809306
"20",1721,64488.5891478005,572330.531989987,5201.15884999593,16642.5161406392,658662.796128423
"21",1722,14759.3908916369,312745.494873729,5018.7928055085,16413.2206662965,348936.899237171
"22",1723,14268.7841322477,309039.544965028,5013.55619528473,16300.9932946881,344622.878587248
"23",1724,12555.21665418,228326.934522017,13954.9146040953,52223.0583736771,307060.12415397
"24",1725,13774.6145387241,305993.68552318,5001.14021934656,16195.9682596656,340965.408540916
"25",1726,53597.1078087269,514684.852510994,5267.41747915057,17001.308605172,590550.686404043
"26",1727,52483.5797264325,509644.299167975,5263.78892484449,16905.9864614987,584297.654280751
"27",1728,51761.7098567937,505405.293232377,5252.50268976362,16814.1155057029,579233.621284637
"28",1729,127142.440560381,718233.29640126,5498.33331756731,17636.6321258684,868510.702405077
"29",1730,125250.522223311,711852.841506585,5494.80080944756,17552.9318358444,860151.096375189
"30",1731,124286.043256454,706476.505614239,5484.53510490586,17472.7037311134,853719.787706713
"31",1732,45695.468287894,431687.811582257,5317.70847006264,17182.3465970634,499883.334937277
"32",1733,44562.3629504051,427506.600274231,5307.42867194084,17080.5829267761,494456.974823353
"33",1734,43227.5959061524,422341.649646146,5304.13364390035,16999.6486556848,487873.027851883
"34",1735,27744.9459926231,401948.254128502,14275.8230290101,53790.3244002456,497759.347550381
"35",1736,115585.367735596,649413.017692053,5570.36547910844,17901.5210708616,788470.271977619
