"sim_calib_id","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
1,6,6,"1-L","2-L","3-L","4-L"
2,6,6,"1-L","2-L","3-L","4-H"
3,6,6,"1-L","2-L","3-H","4-L"
4,6,6,"1-L","2-L","3-H","4-H"
5,6,6,"1-L","2-H","3-L","4-L"
6,6,6,"1-L","2-H","3-L","4-H"
7,6,6,"1-L","2-H","3-H","4-L"
8,6,6,"1-L","2-H","3-H","4-H"
9,6,6,"1-H","2-L","3-L","4-L"
10,6,6,"1-H","2-L","3-L","4-H"
11,6,6,"1-H","2-L","3-H","4-L"
12,6,6,"1-H","2-L","3-H","4-H"
13,6,6,"1-H","2-H","3-L","4-L"
14,6,6,"1-H","2-H","3-L","4-H"
15,6,6,"1-H","2-H","3-H","4-L"
16,6,6,"1-H","2-H","3-H","4-H"
17,6,8,"1-L","2-L","3-L","4-L"
18,6,8,"1-L","2-L","3-L","4-H"
19,6,8,"1-L","2-L","3-H","4-L"
20,6,8,"1-L","2-L","3-H","4-H"
21,6,8,"1-L","2-H","3-L","4-L"
22,6,8,"1-L","2-H","3-L","4-H"
23,6,8,"1-L","2-H","3-H","4-L"
24,6,8,"1-L","2-H","3-H","4-H"
25,6,8,"1-H","2-L","3-L","4-L"
26,6,8,"1-H","2-L","3-L","4-H"
27,6,8,"1-H","2-L","3-H","4-L"
28,6,8,"1-H","2-L","3-H","4-H"
29,6,8,"1-H","2-H","3-L","4-L"
30,6,8,"1-H","2-H","3-L","4-H"
31,6,8,"1-H","2-H","3-H","4-L"
32,6,8,"1-H","2-H","3-H","4-H"
33,8,6,"1-L","2-L","3-L","4-L"
34,8,6,"1-L","2-L","3-L","4-H"
35,8,6,"1-L","2-L","3-H","4-L"
36,8,6,"1-L","2-L","3-H","4-H"
37,8,6,"1-L","2-H","3-L","4-L"
38,8,6,"1-L","2-H","3-L","4-H"
39,8,6,"1-L","2-H","3-H","4-L"
40,8,6,"1-L","2-H","3-H","4-H"
41,8,6,"1-H","2-L","3-L","4-L"
42,8,6,"1-H","2-L","3-L","4-H"
43,8,6,"1-H","2-L","3-H","4-L"
44,8,6,"1-H","2-L","3-H","4-H"
45,8,6,"1-H","2-H","3-L","4-L"
46,8,6,"1-H","2-H","3-L","4-H"
47,8,6,"1-H","2-H","3-H","4-L"
48,8,6,"1-H","2-H","3-H","4-H"
49,8,8,"1-L","2-L","3-L","4-L"
50,8,8,"1-L","2-L","3-L","4-H"
51,8,8,"1-L","2-L","3-H","4-L"
52,8,8,"1-L","2-L","3-H","4-H"
53,8,8,"1-L","2-H","3-L","4-L"
54,8,8,"1-L","2-H","3-L","4-H"
55,8,8,"1-L","2-H","3-H","4-L"
56,8,8,"1-L","2-H","3-H","4-H"
57,8,8,"1-H","2-L","3-L","4-L"
58,8,8,"1-H","2-L","3-L","4-H"
59,8,8,"1-H","2-L","3-H","4-L"
60,8,8,"1-H","2-L","3-H","4-H"
61,8,8,"1-H","2-H","3-L","4-L"
62,8,8,"1-H","2-H","3-L","4-H"
63,8,8,"1-H","2-H","3-H","4-L"
64,8,8,"1-H","2-H","3-H","4-H"
