"TB_compartment","DR_compartment","HIV_compartment","G_compartment","tb_adj","dr_adj","g_adj","year","hiv_adj","total_adj","prop_of_pop"
1,1,1,1,0.5,1,0.487351212642743,1990,0.941318481334615,0.229376351680725,0.230698761486863
1,1,1,2,0.5,1,0.512648787357257,1990,0.900566652895701,0.230837201270682,0.232168033225873
1,1,2,1,0.5,1,0.487351212642743,1990,0.053682697043578,0.0130811637510604,0.0131565798046045
1,1,2,2,0.5,1,0.512648787357257,1990,0.0930039724187393,0.0238391868399372,0.0239766254826591
1,1,3,1,0.5,1,0.487351212642743,1990,0,0,0
1,1,3,2,0.5,1,0.512648787357257,1990,0,0,0
1,1,4,1,0.5,1,0.487351212642743,1990,0,0,0
1,1,4,2,0.5,1,0.512648787357257,1990,0,0,0
1,2,1,1,0.5,0,0.487351212642743,1990,0.941318481334615,0,0
1,2,1,2,0.5,0,0.512648787357257,1990,0.900566652895701,0,0
1,2,2,1,0.5,0,0.487351212642743,1990,0.053682697043578,0,0
1,2,2,2,0.5,0,0.512648787357257,1990,0.0930039724187393,0,0
1,2,3,1,0.5,0,0.487351212642743,1990,0,0,0
1,2,3,2,0.5,0,0.512648787357257,1990,0,0,0
1,2,4,1,0.5,0,0.487351212642743,1990,0,0,0
1,2,4,2,0.5,0,0.512648787357257,1990,0,0,0
2,1,1,1,0,0.963,0.487351212642743,1990,0.941318481334615,0,0
2,1,1,2,0,0.963,0.512648787357257,1990,0.900566652895701,0,0
2,1,2,1,0,0.963,0.487351212642743,1990,0.053682697043578,0,0
2,1,2,2,0,0.963,0.512648787357257,1990,0.0930039724187393,0,0
2,1,3,1,0,0.963,0.487351212642743,1990,0,0,0
2,1,3,2,0,0.963,0.512648787357257,1990,0,0,0
2,1,4,1,0,0.963,0.487351212642743,1990,0,0,0
2,1,4,2,0,0.963,0.512648787357257,1990,0,0,0
2,2,1,1,0,0.037,0.487351212642743,1990,0.941318481334615,0,0
