"TB_compartment","DR_compartment","HIV_compartment","G_compartment","tb_adj","dr_adj","g_adj","year","hiv_adj","total_adj","prop_of_pop"
1,1,1,1,0.5,1,0.487351212642743,1990,0.995537210633988,0.242588133416724,0.242588133416724
1,1,1,2,0.5,1,0.512648787357257,1990,0.964896286828328,0.247326455684031,0.247326455684031
1,1,2,1,0.5,1,0.487351212642743,1990,0.00446278936601166,0.00108747290464746,0.00108747290464746
1,1,2,2,0.5,1,0.512648787357257,1990,0.0351037131716722,0.00899793799459736,0.00899793799459736
1,1,3,1,0.5,1,0.487351212642743,1990,0,0,0
1,1,3,2,0.5,1,0.512648787357257,1990,0,0,0
1,1,4,1,0.5,1,0.487351212642743,1990,0,0,0
1,1,4,2,0.5,1,0.512648787357257,1990,0,0,0
1,2,1,1,0.5,0,0.487351212642743,1990,0.995537210633988,0,0
1,2,1,2,0.5,0,0.512648787357257,1990,0.964896286828328,0,0
1,2,2,1,0.5,0,0.487351212642743,1990,0.00446278936601166,0,0
1,2,2,2,0.5,0,0.512648787357257,1990,0.0351037131716722,0,0
1,2,3,1,0.5,0,0.487351212642743,1990,0,0,0
1,2,3,2,0.5,0,0.512648787357257,1990,0,0,0
1,2,4,1,0.5,0,0.487351212642743,1990,0,0,0
1,2,4,2,0.5,0,0.512648787357257,1990,0,0,0
2,1,1,1,0,0.963,0.487351212642743,1990,0.995537210633988,0,0
2,1,1,2,0,0.963,0.512648787357257,1990,0.964896286828328,0,0
2,1,2,1,0,0.963,0.487351212642743,1990,0.00446278936601166,0,0
2,1,2,2,0,0.963,0.512648787357257,1990,0.0351037131716722,0,0
2,1,3,1,0,0.963,0.487351212642743,1990,0,0,0
2,1,3,2,0,0.963,0.512648787357257,1990,0,0,0
2,1,4,1,0,0.963,0.487351212642743,1990,0,0,0
2,1,4,2,0,0.963,0.512648787357257,1990,0,0,0
2,2,1,1,0,0.037,0.487351212642743,1990,0.995537210633988,0,0
2,2,1,2,0,0.037,0.512648787357257,1990,0.964896286828328,0,0
2,2,2,1,0,0.037,0.487351212642743,1990,0.00446278936601166,0,0
2,2,2,2,0,0.037,0.512648787357257,1990,0.0351037131716722,0,0
2,2,3,1,0,0.037,0.487351212642743,1990,0,0,0
