year,sex_name,calibration_group_name,min_rate,max_rate,expected_rate
1990,female,HIV/TB_coinfection_Female,1.175104023,4.686894137,2.498647613
1990,female,TB_only_Female,18.05708434,31.93460586,23.20504896
1990,male,HIV/TB_coinfection_Male,0.696700578,3.13810538,1.617706839
1990,male,TB_only_Male,27.14524938,43.49563226,34.64699126
1991,female,HIV/TB_coinfection_Female,2.139917768,8.291915945,4.506370125
1991,female,TB_only_Female,16.43658985,28.97009951,21.17924283
1991,male,HIV/TB_coinfection_Male,1.27308465,5.524224972,2.90601097
1991,male,TB_only_Male,27.77891935,43.73662144,34.99856047
1992,female,HIV/TB_coinfection_Female,3.760096129,14.11198458,7.82766307
1992,female,TB_only_Female,17.89997291,31.43753563,23.12082067
1992,male,HIV/TB_coinfection_Male,2.27868177,9.288498932,5.087658344
1992,male,TB_only_Male,28.40273393,43.7690553,35.20868735
1993,female,HIV/TB_coinfection_Female,6.419927296,22.17670735,12.9434565
1993,female,TB_only_Female,13.98960702,24.34291995,17.96329206
1993,male,HIV/TB_coinfection_Male,3.925782024,14.68493488,8.442204151
1993,male,TB_only_Male,25.67427505,40.62322166,32.35748593
1994,female,HIV/TB_coinfection_Female,10.53943085,33.09445805,20.3280347
1994,female,TB_only_Female,14.17677611,24.09907778,18.04910766
1994,male,HIV/TB_coinfection_Male,6.534067987,21.95431204,13.33378354
1994,male,TB_only_Male,26.12413798,40.57428334,32.51856309
1995,female,HIV/TB_coinfection_Female,16.47992305,46.30350853,29.74145462
1995,female,TB_only_Female,10.73846233,19.2967024,14.26060648
1995,male,HIV/TB_coinfection_Male,10.38976137,30.95742786,19.62882338
1995,male,TB_only_Male,27.832116,41.92750365,34.08794491
1996,female,HIV/TB_coinfection_Female,23.96052276,61.68854971,40.84542718
1996,female,TB_only_Female,8.650274916,16.71150891,12.12217257
1996,male,HIV/TB_coinfection_Male,15.69702865,41.45957492,27.16576967
1996,male,TB_only_Male,28.38096399,41.71038433,34.33925433
1997,female,HIV/TB_coinfection_Female,33.97975211,85.44132933,56.82380516
1997,female,TB_only_Female,10.47805084,19.56892871,14.62765051
1997,male,HIV/TB_coinfection_Male,22.3156385,57.60976975,37.89544674
1997,male,TB_only_Male,32.86405782,46.44791888,38.94380434
1998,female,HIV/TB_coinfection_Female,45.49855415,112.7682637,75.01163405
1998,female,TB_only_Female,10.82707895,21.56913836,15.87575629
1998,male,HIV/TB_coinfection_Male,29.67646486,75.64419784,49.74702496
1998,male,TB_only_Male,37.47657522,53.52765582,44.7791307
1999,female,HIV/TB_coinfection_Female,55.70654164,140.1249458,92.26970691
1999,female,TB_only_Female,11.04148985,24.40237415,17.31888718
1999,male,HIV/TB_coinfection_Male,36.3728674,93.76977867,60.83186261
1999,male,TB_only_Male,36.20838531,54.29980896,44.40083732
2000,female,HIV/TB_coinfection_Female,66.55426979,171.7978055,111.7530311
2000,female,TB_only_Female,13.08030151,30.25738914,21.16936324
2000,male,HIV/TB_coinfection_Male,43.07549934,114.2850758,73.11259609
2000,male,TB_only_Male,38.27258527,60.44797434,48.25444194
2001,female,HIV/TB_coinfection_Female,74.60389444,200.8467832,128.2909873
2001,female,TB_only_Female,12.63769401,32.78758432,22.01586378
2001,male,HIV/TB_coinfection_Male,48.05441128,132.6162679,83.44622976
2001,male,TB_only_Male,37.00027501,62.47392274,48.32214512
2002,female,HIV/TB_coinfection_Female,85.36999671,229.7226774,148.1789304
2002,female,TB_only_Female,14.44676294,38.24946118,25.5108539
2002,male,HIV/TB_coinfection_Male,54.54824716,150.2188264,95.64523647
2002,male,TB_only_Male,39.09998768,67.16442757,51.56216874
2003,female,HIV/TB_coinfection_Female,97.17115594,257.5133715,168.1172994
2003,female,TB_only_Female,16.27959529,44.14124706,29.1905391
2003,male,HIV/TB_coinfection_Male,61.55899462,167.8532163,107.6283115
2003,male,TB_only_Male,41.57436172,72.32744766,55.59940356
2004,female,HIV/TB_coinfection_Female,105.4271413,277.939261,182.6380944
2004,female,TB_only_Female,17.08855361,48.27791343,31.32966361
2004,male,HIV/TB_coinfection_Male,66.4640757,178.9981218,115.9736228
2004,male,TB_only_Male,42.65026183,75.44265518,57.50869047
2005,female,HIV/TB_coinfection_Female,110.2306881,288.5488435,190.9351658
2005,female,TB_only_Female,16.42553274,49.40890955,31.39337171
2005,male,HIV/TB_coinfection_Male,69.17740836,186.2549116,121.09815
2005,male,TB_only_Male,43.21631291,77.74710804,58.78247754
2006,female,HIV/TB_coinfection_Female,112.3983027,288.0577703,192.6927573
2006,female,TB_only_Female,16.06624953,49.8997585,31.34894936
2006,male,HIV/TB_coinfection_Male,71.22220425,187.4197615,123.274054
2006,male,TB_only_Male,44.33661784,79.55899752,60.25814669
2007,female,HIV/TB_coinfection_Female,105.7985376,273.1876146,183.1934436
2007,female,TB_only_Female,13.16534921,44.84095604,27.55049826
2007,male,HIV/TB_coinfection_Male,68.70816019,181.9629171,119.6642427
2007,male,TB_only_Male,42.00461559,75.68023728,57.29278066
2008,female,HIV/TB_coinfection_Female,96.80371746,250.8604397,168.0900288
2008,female,TB_only_Female,11.45192313,41.50377748,25.18094142
2008,male,HIV/TB_coinfection_Male,64.47733162,171.2070727,112.8835856
2008,male,TB_only_Male,39.92898234,71.86916066,54.28925999
2009,female,HIV/TB_coinfection_Female,87.47233266,225.4320831,151.3945197
2009,female,TB_only_Female,10.00440547,37.4523478,22.6615839
2009,male,HIV/TB_coinfection_Male,60.11178714,159.1840992,104.7810393
2009,male,TB_only_Male,37.02103144,66.28359731,50.40092881
2010,female,HIV/TB_coinfection_Female,79.15025564,202.6731493,136.2418574
2010,female,TB_only_Female,8.72879096,33.56193994,20.16658526
2010,male,HIV/TB_coinfection_Male,56.01309186,147.2219769,96.94347872
2010,male,TB_only_Male,33.51582839,59.65484788,45.57425081
2011,female,HIV/TB_coinfection_Female,67.48551478,173.8172287,116.9192542
2011,female,TB_only_Female,7.232904623,27.55963503,16.42306501
2011,male,HIV/TB_coinfection_Male,49.77493543,132.022126,86.67376334
2011,male,TB_only_Male,29.27205355,51.87993435,39.73074973
2012,female,HIV/TB_coinfection_Female,56.83728386,146.0707729,98.17444945
2012,female,TB_only_Female,6.886781718,23.5990328,14.3762366
2012,male,HIV/TB_coinfection_Male,44.31574928,117.5130857,76.83737001
2012,male,TB_only_Male,26.84855176,46.14785884,35.84333656
2013,female,HIV/TB_coinfection_Female,49.33030286,126.6997022,85.03999507
2013,female,TB_only_Female,6.512343841,20.9920637,12.96887155
2013,male,HIV/TB_coinfection_Male,39.67802275,104.8414805,68.53219898
2013,male,TB_only_Male,24.86392645,42.06606649,32.94925432
2014,female,HIV/TB_coinfection_Female,45.30515308,116.5563249,77.95938708
2014,female,TB_only_Female,6.429067787,19.11608029,12.00792023
2014,male,HIV/TB_coinfection_Male,36.62020244,96.14426499,63.07759491
2014,male,TB_only_Male,23.82234129,39.47277618,31.18463707
2015,female,HIV/TB_coinfection_Female,43.12869761,111.5571785,74.47251035
2015,female,TB_only_Female,5.654485288,17.02341951,10.56103353
2015,male,HIV/TB_coinfection_Male,35.4966091,93.75254963,61.37219197
2015,male,TB_only_Male,22.4828125,38.07872037,29.79987243
2016,female,HIV/TB_coinfection_Female,41.0926897,109.6079782,71.89854092
2016,female,TB_only_Female,4.92984017,15.43572666,9.230670174
2016,male,HIV/TB_coinfection_Male,35.49508669,96.10603282,62.12983046
2016,male,TB_only_Male,20.33980809,36.46335528,27.8184217
2017,female,HIV/TB_coinfection_Female,37.90098287,104.0697152,67.18037073
2017,female,TB_only_Female,4.545089107,14.12182501,8.567661486
2017,male,HIV/TB_coinfection_Male,34.22651908,94.90837653,60.52391209
2017,male,TB_only_Male,19.63980939,35.72165895,27.02821217
