measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Number,1990,685.1531941,768.1886751,605.5327392
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Number,1990,605.2167689,667.8865987,545.4841362
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Rate,1990,160.0584514,179.4563475,141.4583385
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Rate,1990,130.781818,144.3241961,117.8741415
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Number,1990,1438.204757,1612.552852,1277.579057
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Number,1990,1227.123235,1436.257398,1031.766233
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Rate,1990,400.8653009,449.4606773,356.0947149
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Rate,1990,297.0120189,347.6307002,249.7279516
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Number,1990,2653.155221,2912.823267,2411.726773
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Number,1990,1897.966741,2259.372115,1570.177389
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Rate,1990,872.0332261,957.3803487,792.6810546
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Rate,1990,531.4401243,632.635426,439.657476
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Number,1990,3141.281816,3463.921519,2841.443288
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Number,1990,1868.939654,2205.95639,1560.92815
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Rate,1990,1296.280374,1429.420773,1172.549101
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Rate,1990,665.6785546,785.7171088,555.9710782
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Number,1990,2696.527123,3039.578466,2384.271226
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Number,1990,1375.765832,1622.595163,1150.709953
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Rate,1990,1339.31032,1509.696963,1184.21915
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Rate,1990,605.6853935,714.3528114,506.603809
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Number,1990,2064.004198,2375.979783,1785.478099
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Number,1990,1033.635353,1216.360016,870.3500426
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Rate,1990,1288.253436,1482.973786,1114.410667
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Rate,1990,558.8104099,657.5961605,470.5340842
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Number,1990,1671.289314,1966.238179,1414.363049
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Number,1990,847.5558752,996.586164,711.9774746
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Rate,1990,1321.721828,1554.979079,1118.534355
