measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1991,27.19506833,48.86519788,11.09777407
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1991,66.20168063,96.83227297,43.86469049
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1991,80.87647515,144.743615,34.82256474
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1991,138.7004709,211.446534,83.2154943
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1991,179.6753003,284.5461543,86.32465297
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1991,223.2857028,341.0302009,143.076438
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1991,289.0624459,424.5049786,152.772868
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1991,217.6639493,333.0767496,140.6136492
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1991,324.8910304,473.8662879,172.2686804
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1991,154.8149449,237.9144664,96.98969886
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1991,289.6427861,415.9939452,156.5616419
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1991,103.1264394,160.5149706,62.52342947
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1991,243.1727489,351.9578148,129.711651
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1991,74.28763977,112.1828126,47.05497822
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1991,212.8870398,312.2838732,109.3228933
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1991,59.97614845,97.7709041,36.40106563
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1991,184.7998485,270.2211061,93.84921305
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1991,53.21045145,84.22999416,31.9533755
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1992,24.47906791,44.12761185,10.06006969
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1992,62.21742582,91.57536347,39.85347595
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1992,74.851508,133.525603,31.75884647
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1992,140.9744603,216.6962044,83.30954409
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1992,168.8277836,265.6699551,81.21613511
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1992,234.6524148,360.047255,149.8581117
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1992,274.67698,396.3159363,147.6207768
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1992,232.1266987,355.2028475,149.1647431
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1992,305.588843,439.6308324,166.9327368
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1992,164.5175526,251.6144344,105.1980407
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1992,275.000073,392.6481398,152.2325547
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1992,107.0656657,166.9257871,67.82603277
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1992,227.5961729,330.3742053,124.2616675
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1992,77.02207416,117.5596752,48.48134888
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1992,200.5862104,289.2305713,105.0619648
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1992,61.96236909,99.69966664,37.72259638
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1992,171.3263261,248.6208507,87.18875795
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1992,54.9022902,84.86245156,33.70288915
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1990,26.95353723,47.31178781,10.80348331
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1990,76.12460153,110.3452136,52.24276508
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1990,79.16040841,138.8443054,31.99579938
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1990,162.3370736,253.1687881,98.03390788
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1990,178.6503763,285.0334069,86.44876299
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1990,257.5363631,390.3327046,162.9074811
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1990,289.398435,425.5743276,152.7407472
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1990,247.2596371,385.5455276,156.8955606
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1990,325.3526376,478.0683991,169.2708035
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1990,174.4348368,270.7839202,108.9560579
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1990,283.5708618,407.2511887,154.5426283
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1990,117.7648317,181.7038386,71.6559533
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1990,240.0076118,350.1122193,128.8321471
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1990,83.95529801,125.4574701,52.86949455
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1990,205.25089,299.6199276,105.0559287
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1990,66.56283259,107.2091262,39.92993634
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1990,186.7637359,286.3909019,91.81551363
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1990,59.71025756,93.68613049,36.22779696
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1995,33.43373312,54.80179665,15.77788501
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1995,26.75602915,50.75314306,0.862242981
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1995,115.5421124,177.520871,56.82198887
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1995,69.84898313,120.0924565,29.91816234
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1995,200.2036792,298.528369,107.7662934
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1995,125.0139514,209.9638601,64.20691302
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1995,273.9042247,388.894992,151.2949623
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1995,129.8976204,198.7404623,81.43953418
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1995,292.1882602,407.551564,165.3209182
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1995,99.56317613,155.3327176,60.14184236
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1995,304.8670884,415.2019566,177.8351257
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1995,67.18025211,103.1745116,41.08245275
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1995,302.663174,417.1824031,177.5384738
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1995,57.61928519,85.39305317,37.09977034
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1995,251.3760579,350.4049061,142.518951
