"year","sex","expected_total_pop"
1990,"Female",462768.279293981
1990,"Male",428064.365415217
1991,"Female",469373.921633173
1991,"Male",436280.123765474
1992,"Female",474565.276475407
1992,"Male",442974.299469013
1993,"Female",479035.232816372
1993,"Male",448871.045477163
1994,"Female",483896.984293686
1994,"Male",454992.617750997
1995,"Female",490373.31248752
1995,"Male",462536.946633431
1996,"Female",499774.926049748
1996,"Male",472870.615723012
1997,"Female",512969.205002538
1997,"Male",487097.85396545
1998,"Female",529668.550733786
1998,"Male",504619.810423171
1999,"Female",548861.508556667
1999,"Male",524348.88974096
2000,"Female",568954.15162819
2000,"Male",544762.387601812
2001,"Female",587762.29362101
2001,"Male",563767.782388953
2002,"Female",602791.05592117
2002,"Male",578933.938435895
2003,"Female",613409.14651079
2003,"Male",589878.682236316
2004,"Female",619445.498773053
2004,"Male",596606.589058137
2005,"Female",621107.528401761
2005,"Male",599355.459109648
2006,"Female",618631.730909462
2006,"Male",598282.731975848
2007,"Female",612501.086605364
2007,"Male",593725.180987888
2008,"Female",602889.86937187
2008,"Male",586071.637824655
2009,"Female",590187.176383674
2009,"Male",575921.809010498
2010,"Female",574812.409662393
2010,"Male",563883.802398876
2011,"Female",557664.89897698
2011,"Male",550995.909760149
2012,"Female",540107.779790241
2012,"Male",538721.004757538
2013,"Female",523481.295142855
2013,"Male",527628.304602136
2014,"Female",508952.277506696
2014,"Male",518270.740083579
2015,"Female",497328.470244245
2015,"Male",510882.066005835
2016,"Female",489032.605243135
2016,"Male",505294.217010486
2017,"Female",484173.41784311
2017,"Male",501169.880318764
2018,"Female",481837.058660579
2018,"Male",498222.426644551
2019,"Female",481015.628334876
2019,"Male",495939.797665257
