measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,KwaZulu-Natal,Male,15-19 years,HIV/AIDS,Number,1990,482.5423082,1043.528144,180.5536581
Incidence,KwaZulu-Natal,Female,15-19 years,HIV/AIDS,Number,1990,3400.917767,5717.455262,1802.194613
Incidence,KwaZulu-Natal,Male,20-24 years,HIV/AIDS,Number,1990,829.7813372,1854.884164,316.5441627
Incidence,KwaZulu-Natal,Female,20-24 years,HIV/AIDS,Number,1990,3194.806095,5416.691944,1639.15523
Incidence,KwaZulu-Natal,Male,25-29 years,HIV/AIDS,Number,1990,2253.128002,3383.798772,1427.535283
Incidence,KwaZulu-Natal,Female,25-29 years,HIV/AIDS,Number,1990,3328.040937,4794.98347,2183.486214
Incidence,KwaZulu-Natal,Male,30-34 years,HIV/AIDS,Number,1990,2297.428755,3619.257674,1294.320804
Incidence,KwaZulu-Natal,Female,30-34 years,HIV/AIDS,Number,1990,1725.869382,2767.554199,999.2602231
Incidence,KwaZulu-Natal,Male,35-39 years,HIV/AIDS,Number,1990,1731.193573,2922.808894,871.7820117
Incidence,KwaZulu-Natal,Female,35-39 years,HIV/AIDS,Number,1990,1283.120789,1928.327587,789.8306042
Incidence,KwaZulu-Natal,Male,40-44 years,HIV/AIDS,Number,1990,810.0493056,1394.976689,407.9313546
Incidence,KwaZulu-Natal,Female,40-44 years,HIV/AIDS,Number,1990,853.8128387,1311.466186,482.4811555
Incidence,KwaZulu-Natal,Male,45-49 years,HIV/AIDS,Number,1990,491.5917248,862.8326913,240.4193028
Incidence,KwaZulu-Natal,Female,45-49 years,HIV/AIDS,Number,1990,594.5948339,919.4529356,353.0244477
Incidence,KwaZulu-Natal,Male,50-54 years,HIV/AIDS,Number,1990,291.7841098,511.9148702,141.4171398
Incidence,KwaZulu-Natal,Female,50-54 years,HIV/AIDS,Number,1990,395.5052935,613.2421336,233.1974526
Incidence,KwaZulu-Natal,Male,55-59 years,HIV/AIDS,Number,1990,175.7818104,308.7004088,85.36062478
Incidence,KwaZulu-Natal,Female,55-59 years,HIV/AIDS,Number,1990,234.0933405,363.3290867,138.1229524
