"year","sex","expected_total_pop"
1990,"Female",462768.279379631
1990,"Male",428064.365303487
1991,"Female",469373.92176889
1991,"Male",436280.123670527
1992,"Female",474565.276462466
1992,"Male",442974.299536148
1993,"Female",479035.232745118
1993,"Male",448871.045470609
1994,"Female",483896.984440272
1994,"Male",454992.617828054
1995,"Female",490373.312543027
1995,"Male",462536.946546331
1996,"Female",499774.926180994
1996,"Male",472870.615848593
1997,"Female",512969.205124491
1997,"Male",487097.853853979
1998,"Female",529668.550838182
1998,"Male",504619.810477704
1999,"Female",548861.508598619
1999,"Male",524348.889741655
2000,"Female",568954.151494502
2000,"Male",544762.387625276
2001,"Female",587762.293792835
2001,"Male",563767.782605459
2002,"Female",602791.055872677
2002,"Male",578933.938330055
2003,"Female",613409.146377607
2003,"Male",589878.681959443
2004,"Female",619445.498847176
2004,"Male",596606.589150299
2005,"Female",621107.528484276
2005,"Male",599355.459207884
2006,"Female",618631.730843503
2006,"Male",598282.732054413
2007,"Female",612501.086667676
2007,"Male",593725.180914968
2008,"Female",602889.869464548
2008,"Male",586071.637783883
2009,"Female",590187.176352299
2009,"Male",575921.809074885
2010,"Female",574812.409685818
2010,"Male",563883.802433134
2011,"Female",557664.899061851
2011,"Male",550995.909738402
2012,"Female",540107.779977337
2012,"Male",538721.004882993
2013,"Female",523481.29519771
2013,"Male",527628.304687165
2014,"Female",508952.277764082
2014,"Male",518270.740242143
2015,"Female",497328.469949085
2015,"Male",510882.066178617
2016,"Female",489032.605320601
2016,"Male",505294.217043427
2017,"Female",484173.417916395
2017,"Male",501169.88056021
2018,"Female",481837.058710984
2018,"Male",498222.426502354
2019,"Female",481015.62847013
2019,"Male",495939.797677952
