"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,14356.3583728519,69027.279418437,521930.925158308,208444.356125859,813758.919075456,158596958.138572,49125928.0971335,207722886.235706,0.0358362537942885,0.0302768676265105,6,6,8,35,1.2,14,22,40,17,0.00323675020463935,0.47801530731528,0.481252057519919,5809,5858,5668,5204,6032,8,3,3483,2351
"2",2,14358.8058647083,69050.4685956945,516056.732548984,206563.496544957,806029.503554344,158807070.921135,48734950.9552451,207542021.87638,0.0358403891328851,0.0301169270155943,6,6,8,35,1.2,14,22,40,20,0.00285017148902554,0.474893818822293,0.477743990311319,5793,5860,5670,5181,6025,7,4,3462,2330
"3",3,14636.1693574115,70619.4209033095,418058.126061598,163134.987910995,666448.704233314,164572430.912959,45130833.0361645,209703263.949124,0.0363559627676438,0.0291538515029004,6,6,8,35,1.2,14,22,60,17,0.00745864081450697,0.415705814839245,0.423164455653752,5505,5886,5712,4775,5745,81,41,3182,2097
"4",4,14638.568667231,70641.7641639853,413114.449952623,161660.181767611,660054.96455145,164771292.589291,44781958.5921661,209553251.181458,0.0363596935925698,0.0290032538112534,6,6,8,35,1.2,14,22,60,20,0.00713953415249953,0.412852531002742,0.419992065155241,5473,5888,5713,4761,5723,71,46,3168,2080
"5",5,14648.1674208043,70669.085601464,454779.923825218,176271.525714811,716368.702562297,165114851.562179,45537149.7148856,210652001.277064,0.0364500484722829,0.029382419227965,6,6,8,35,1.2,14,30,40,17,0.00947415365560206,0.437528385996697,0.447002539652299,5643,5890,5716,4933,5869,113,50,3199,2200
"6",6,14650.6792199207,70692.3378177696,449558.034840182,174631.707704995,709532.759582867,165322652.412056,45177164.1956478,210499816.607704,0.0364540199019722,0.029228833197253,6,6,8,35,1.2,14,30,40,20,0.0091511561838804,0.434586011724236,0.443737167908117,5629,5892,5717,4907,5851,107,53,3185,2176
"7",7,14923.1971581861,72227.453187926,362333.267253469,137659.393001157,587143.310600737,171241516.083284,41692761.7479177,212934277.831202,0.0369716345259963,0.028211604024302,6,6,8,35,1.2,14,30,60,17,0.0143041461217317,0.379282019285264,0.393586165406995,5299,5938,5751,4453,5507,237,163,2996,1977
"8",8,14932.3123719902,72260.9817267181,358323.53433042,136459.076944554,581975.905373682,171224754.917737,41671797.2301553,212896552.147893,0.0369751732204446,0.0282052809544802,6,6,8,35,1.2,14,30,60,20,0.014224518065369,0.376825686675722,0.391050204741091,5274,5940,5754,4432,5491,231,162,2993,1955
"9",9,10876.0533078181,52688.487472423,535433.467553628,215713.807247139,814711.815581008,158058586.339098,49309876.0230575,207368462.362156,0.0357934446408278,0.0303410999754044,6,6,8,35,1.2,17,22,40,17,0.00247904771030952,0.478399101832535,0.480878149542844,5813,5448,5150,5266,6063,6,1,3494,2343
"10",10,10877.7419512276,52709.5830849739,529591.479592778,213834.810079245,807013.614708225,158263663.989753,48925883.928797,207189547.91855,0.0357974876300875,0.0301843102797455,6,6,8,35,1.2,17,22,40,20,0.00209631083472947,0.475292076519708,0.477388387354438,5795,5451,5151,5243,6053,5,2,3475,2329
