"year","TB_compartment","HIV_compartment","G_compartment","mort_adj","level","level_ref","mort_rate"
1990,6,4,1,25,3,"TB_HIV4_level_3",0.168317548977936
1991,6,4,1,25,3,"TB_HIV4_level_3",0.171107836129008
1992,6,4,1,25,3,"TB_HIV4_level_3",0.177542809874414
1993,6,4,1,25,3,"TB_HIV4_level_3",0.170007389302842
1994,6,4,1,25,3,"TB_HIV4_level_3",0.17364728000041
1995,6,4,1,25,3,"TB_HIV4_level_3",0.181013387243576
1996,6,4,1,25,3,"TB_HIV4_level_3",0.18252942202525
1997,6,4,1,25,3,"TB_HIV4_level_3",0.201958424133579
1998,6,4,1,25,3,"TB_HIV4_level_3",0.212300737152597
1999,6,4,1,25,3,"TB_HIV4_level_3",0.206788980977105
2000,6,4,1,25,3,"TB_HIV4_level_3",0.21365170055981
2001,6,4,1,25,3,"TB_HIV4_level_3",0.21016421153605
2002,6,4,1,25,3,"TB_HIV4_level_3",0.21231253470741
2003,6,4,1,25,3,"TB_HIV4_level_3",0.216063470203088
2004,6,4,1,25,3,"TB_HIV4_level_3",0.213011880107144
2005,6,4,1,25,3,"TB_HIV4_level_3",0.209867503230635
2006,6,4,1,25,3,"TB_HIV4_level_3",0.208574308330121
2007,6,4,1,25,3,"TB_HIV4_level_3",0.200089641097404
2008,6,4,1,25,3,"TB_HIV4_level_3",0.194260607131322
2009,6,4,1,25,3,"TB_HIV4_level_3",0.186535751355303
2010,6,4,1,25,3,"TB_HIV4_level_3",0.176013857242712
2011,6,4,1,25,3,"TB_HIV4_level_3",0.162161097331335
2012,6,4,1,25,3,"TB_HIV4_level_3",0.15691444799051
2013,6,4,1,25,3,"TB_HIV4_level_3",0.153760631250169
2014,6,4,1,25,3,"TB_HIV4_level_3",0.153472072334607
2015,6,4,1,25,3,"TB_HIV4_level_3",0.15144809454399
2016,6,4,1,25,3,"TB_HIV4_level_3",0.144293991438142
2017,6,4,1,25,3,"TB_HIV4_level_3",0.144175174402277
2018,6,4,1,25,3,"TB_HIV4_level_3",0.146594938141221
2019,6,4,1,25,3,"TB_HIV4_level_3",0.148373620346338
1990,6,4,2,25,3,"TB_HIV4_level_3",0.0964814212452328
1991,6,4,2,25,3,"TB_HIV4_level_3",0.0925991103991942
1992,6,4,2,25,3,"TB_HIV4_level_3",0.10179437128994
1993,6,4,2,25,3,"TB_HIV4_level_3",0.0869548512022302
1994,6,4,2,25,3,"TB_HIV4_level_3",0.0904670082791863
1995,6,4,2,25,3,"TB_HIV4_level_3",0.0790513944204173
1996,6,4,2,25,3,"TB_HIV4_level_3",0.0738245020343291
1997,6,4,2,25,3,"TB_HIV4_level_3",0.0884210172201921
1998,6,4,2,25,3,"TB_HIV4_level_3",0.091648298506116
1999,6,4,2,25,3,"TB_HIV4_level_3",0.0950922845313606
2000,6,4,2,25,3,"TB_HIV4_level_3",0.106790950550436
2001,6,4,2,25,3,"TB_HIV4_level_3",0.105567228252915
2002,6,4,2,25,3,"TB_HIV4_level_3",0.112161342920112
2003,6,4,2,25,3,"TB_HIV4_level_3",0.119277099273683
2004,6,4,2,25,3,"TB_HIV4_level_3",0.12133238529568
2005,6,4,2,25,3,"TB_HIV4_level_3",0.118692528585649
2006,6,4,2,25,3,"TB_HIV4_level_3",0.118344646375262
2007,6,4,2,25,3,"TB_HIV4_level_3",0.109098789116901
2008,6,4,2,25,3,"TB_HIV4_level_3",0.104998053131874
2009,6,4,2,25,3,"TB_HIV4_level_3",0.100826148066142
2010,6,4,2,25,3,"TB_HIV4_level_3",0.096063954626668
2011,6,4,2,25,3,"TB_HIV4_level_3",0.0873667814201017
2012,6,4,2,25,3,"TB_HIV4_level_3",0.0843786699283024
2013,6,4,2,25,3,"TB_HIV4_level_3",0.0831925995988313
2014,6,4,2,25,3,"TB_HIV4_level_3",0.0839559865583302
2015,6,4,2,25,3,"TB_HIV4_level_3",0.0814992313317889
2016,6,4,2,25,3,"TB_HIV4_level_3",0.077613889427139
2017,6,4,2,25,3,"TB_HIV4_level_3",0.0757879045395939
2018,6,4,2,25,3,"TB_HIV4_level_3",0.0758147341039439
2019,6,4,2,25,3,"TB_HIV4_level_3",0.077064773258354
1990,6,4,1,20,2,"TB_HIV4_level_2",0.134654039182349
1991,6,4,1,20,2,"TB_HIV4_level_2",0.136886268903207
1992,6,4,1,20,2,"TB_HIV4_level_2",0.142034247899531
1993,6,4,1,20,2,"TB_HIV4_level_2",0.136005911442273
1994,6,4,1,20,2,"TB_HIV4_level_2",0.138917824000328
1995,6,4,1,20,2,"TB_HIV4_level_2",0.144810709794861
1996,6,4,1,20,2,"TB_HIV4_level_2",0.1460235376202
1997,6,4,1,20,2,"TB_HIV4_level_2",0.161566739306863
1998,6,4,1,20,2,"TB_HIV4_level_2",0.169840589722078
1999,6,4,1,20,2,"TB_HIV4_level_2",0.165431184781684
2000,6,4,1,20,2,"TB_HIV4_level_2",0.170921360447848
2001,6,4,1,20,2,"TB_HIV4_level_2",0.16813136922884
2002,6,4,1,20,2,"TB_HIV4_level_2",0.169850027765928
2003,6,4,1,20,2,"TB_HIV4_level_2",0.17285077616247
2004,6,4,1,20,2,"TB_HIV4_level_2",0.170409504085715
2005,6,4,1,20,2,"TB_HIV4_level_2",0.167894002584508
2006,6,4,1,20,2,"TB_HIV4_level_2",0.166859446664097
2007,6,4,1,20,2,"TB_HIV4_level_2",0.160071712877923
2008,6,4,1,20,2,"TB_HIV4_level_2",0.155408485705057
2009,6,4,1,20,2,"TB_HIV4_level_2",0.149228601084242
2010,6,4,1,20,2,"TB_HIV4_level_2",0.14081108579417
2011,6,4,1,20,2,"TB_HIV4_level_2",0.129728877865068
2012,6,4,1,20,2,"TB_HIV4_level_2",0.125531558392408
2013,6,4,1,20,2,"TB_HIV4_level_2",0.123008505000135
2014,6,4,1,20,2,"TB_HIV4_level_2",0.122777657867685
2015,6,4,1,20,2,"TB_HIV4_level_2",0.121158475635192
2016,6,4,1,20,2,"TB_HIV4_level_2",0.115435193150513
2017,6,4,1,20,2,"TB_HIV4_level_2",0.115340139521822
2018,6,4,1,20,2,"TB_HIV4_level_2",0.117275950512977
2019,6,4,1,20,2,"TB_HIV4_level_2",0.11869889627707
1990,6,4,2,20,2,"TB_HIV4_level_2",0.0771851369961862
1991,6,4,2,20,2,"TB_HIV4_level_2",0.0740792883193554
1992,6,4,2,20,2,"TB_HIV4_level_2",0.0814354970319522
1993,6,4,2,20,2,"TB_HIV4_level_2",0.0695638809617842
1994,6,4,2,20,2,"TB_HIV4_level_2",0.0723736066233491
1995,6,4,2,20,2,"TB_HIV4_level_2",0.0632411155363339
1996,6,4,2,20,2,"TB_HIV4_level_2",0.0590596016274633
1997,6,4,2,20,2,"TB_HIV4_level_2",0.0707368137761537
1998,6,4,2,20,2,"TB_HIV4_level_2",0.0733186388048928
1999,6,4,2,20,2,"TB_HIV4_level_2",0.0760738276250885
2000,6,4,2,20,2,"TB_HIV4_level_2",0.0854327604403485
2001,6,4,2,20,2,"TB_HIV4_level_2",0.0844537826023319
2002,6,4,2,20,2,"TB_HIV4_level_2",0.0897290743360898
2003,6,4,2,20,2,"TB_HIV4_level_2",0.0954216794189465
2004,6,4,2,20,2,"TB_HIV4_level_2",0.0970659082365439
2005,6,4,2,20,2,"TB_HIV4_level_2",0.094954022868519
2006,6,4,2,20,2,"TB_HIV4_level_2",0.0946757171002095
2007,6,4,2,20,2,"TB_HIV4_level_2",0.0872790312935205
2008,6,4,2,20,2,"TB_HIV4_level_2",0.0839984425054989
2009,6,4,2,20,2,"TB_HIV4_level_2",0.0806609184529133
2010,6,4,2,20,2,"TB_HIV4_level_2",0.0768511637013344
2011,6,4,2,20,2,"TB_HIV4_level_2",0.0698934251360814
2012,6,4,2,20,2,"TB_HIV4_level_2",0.0675029359426419
2013,6,4,2,20,2,"TB_HIV4_level_2",0.066554079679065
2014,6,4,2,20,2,"TB_HIV4_level_2",0.0671647892466642
2015,6,4,2,20,2,"TB_HIV4_level_2",0.0651993850654311
2016,6,4,2,20,2,"TB_HIV4_level_2",0.0620911115417112
2017,6,4,2,20,2,"TB_HIV4_level_2",0.0606303236316751
2018,6,4,2,20,2,"TB_HIV4_level_2",0.0606517872831551
2019,6,4,2,20,2,"TB_HIV4_level_2",0.0616518186066832
1990,6,4,1,15,1,"TB_HIV4_level_1",0.100990529386762
1991,6,4,1,15,1,"TB_HIV4_level_1",0.102664701677405
1992,6,4,1,15,1,"TB_HIV4_level_1",0.106525685924648
1993,6,4,1,15,1,"TB_HIV4_level_1",0.102004433581705
1994,6,4,1,15,1,"TB_HIV4_level_1",0.104188368000246
1995,6,4,1,15,1,"TB_HIV4_level_1",0.108608032346145
1996,6,4,1,15,1,"TB_HIV4_level_1",0.10951765321515
1997,6,4,1,15,1,"TB_HIV4_level_1",0.121175054480147
1998,6,4,1,15,1,"TB_HIV4_level_1",0.127380442291558
1999,6,4,1,15,1,"TB_HIV4_level_1",0.124073388586263
2000,6,4,1,15,1,"TB_HIV4_level_1",0.128191020335886
2001,6,4,1,15,1,"TB_HIV4_level_1",0.12609852692163
2002,6,4,1,15,1,"TB_HIV4_level_1",0.127387520824446
2003,6,4,1,15,1,"TB_HIV4_level_1",0.129638082121853
2004,6,4,1,15,1,"TB_HIV4_level_1",0.127807128064286
2005,6,4,1,15,1,"TB_HIV4_level_1",0.125920501938381
2006,6,4,1,15,1,"TB_HIV4_level_1",0.125144584998073
2007,6,4,1,15,1,"TB_HIV4_level_1",0.120053784658443
2008,6,4,1,15,1,"TB_HIV4_level_1",0.116556364278793
2009,6,4,1,15,1,"TB_HIV4_level_1",0.111921450813182
2010,6,4,1,15,1,"TB_HIV4_level_1",0.105608314345627
