"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
537,4145.22738831243,14352.3404210235,29093.2684941779,34143.7616457299,81734.5979492438,345228740.223447,14202432.3421444,359431172.565592,0.0484424910930482,0.0134863225519485,6,10,10,35,1.5,15,22,70,15,0.109325295626426,0.00392998847141903,0.113255284097845,8,1019,1043,827,137,1171,1167,1127,63
561,4141.32899831854,14348.3690448743,29120.7535017078,34254.9663719923,81865.417916893,342790488.986082,14599793.8004277,357390282.786509,0.0484034881962562,0.0134576710776853,6,10,10,35,1.2,15,22,70,15,0.104100811872627,0.00416598429155298,0.10826679616418,10,1017,1037,839,139,1098,1076,1408,48
636,3867.39433282441,13274.1429313497,28814.9865222665,33614.9326213114,79571.456407752,335857112.92308,12820997.042693,348678109.965773,0.0478789140765348,0.0123394096664439,6,10.8,10,35,1.5,15,22,50,15,0.0816288881370271,0,0.0816288881370271,1,828,780,767,117,771,799,127,8
660,3860.80633909248,13266.4629421057,28850.1634279808,33745.5244859463,79722.9571951253,333451313.95214,13321198.3949634,346772512.347103,0.0478397458357283,0.012585424049042,6,10.8,10,35,1.2,15,22,50,15,0.0766763554665953,0.000276972452066914,0.0769533279186623,2,825,775,782,119,690,701,382,3
1782,3832.7575773328,12950.2657783359,31065.3211215372,33149.1998100554,80997.5442872613,348949117.320603,14038588.881016,362987706.201619,0.0486873717849922,0.0133097719818107,7.6,9.2,10,35,1.5,15,30,50,15,0.118394362053792,0.00259681869103849,0.12099118074483,5,757,748,701,220,1304,1310,983,94
1806,3828.37264566078,12945.4027964271,31093.6981744317,33253.2754005539,81120.7490170735,346476826.96797,14436151.8820575,360912978.850027,0.0486478478794105,0.0132807286652492,7.6,9.2,10,35,1.2,15,30,50,15,0.113109290461922,0.00282009020130566,0.115929380663228,6,755,742,716,222,1231,1216,1297,72
2460,3633.53369508425,12191.9955748628,32389.4995198204,32439.1397487221,80654.1685384895,334925575.030168,12902971.7777079,347828546.807876,0.0478255091630208,0.0122814446220166,8.4,9.2,10,35,1.5,15,22,50,15,0.0794226011384622,0.00197365574947754,0.0813962568879397,3,534,485,602,278,740,764,160,7
2484,3627.15663518254,12183.9369607271,32417.6243246534,32555.5079287174,80784.2258492805,332523532.190897,13421312.8942303,345944845.085128,0.0477861725079936,0.0127873394311736,8.4,9.2,10,35,1.2,15,22,50,15,0.0745210605236445,0.00220984128654313,0.0767309018101876,4,532,472,617,281,659,661,448,2
3708,3549.57509318637,11999.4473028319,27974.1435389507,38195.7273213327,81718.8932563017,337047267.770766,13613981.5301077,350661249.300874,0.0479334059742373,0.0124669384052326,10,8.4,10,35,1.5,15,22,50,15,0.0867685975984907,0.00390164492045345,0.0906702425189442,7,470,357,1183,90,857,850,616,19
3732,3542.54362969022,11990.0173134802,28008.0846726706,38323.7628748247,81864.4084906658,334643381.038352,14116302.301428,348759683.33978,0.0478942751128881,0.0126446248953618,10,8.4,10,35,1.2,15,22,50,15,0.0818405899503287,0.00416416403504098,0.0860047539853697,9,465,343,1191,92,778,749,1040,12
