year,sex_id,sex_name,mort_rate_per_100K,mort_rate
1990,1,male,673.2701959,0.006732702
1991,1,male,684.4313445,0.006844313
1992,1,male,710.1712395,0.007101712
1993,1,male,680.0295572,0.006800296
1994,1,male,694.58912,0.006945891
1995,1,male,724.053549,0.007240535
1996,1,male,730.1176881,0.007301177
1997,1,male,807.8336965,0.008078337
1998,1,male,849.2029486,0.008492029
1999,1,male,827.1559239,0.008271559
2000,1,male,854.6068022,0.008546068
2001,1,male,840.6568461,0.008406568
2002,1,male,849.2501388,0.008492501
2003,1,male,864.2538808,0.008642539
2004,1,male,852.0475204,0.008520475
2005,1,male,839.4700129,0.0083947
2006,1,male,834.2972333,0.008092683
2007,1,male,800.3585644,0.007683442
2008,1,male,777.0424285,0.007381903
2009,1,male,746.1430054,0.007088359
2010,1,male,704.055429,0.006618121
2011,1,male,648.6443893,0.005730773
2012,1,male,627.657792,0.005485729
2013,1,male,615.042525,0.005375471
2014,1,male,613.8882893,0.005307064
2015,1,male,605.7923782,0.005237075
2016,1,male,577.1759658,0.004989686
2017,1,male,576.7006976,0.004930791
2018,1,male,586.3797526,0.005013547
2019,1,male,593.4944814,0.004961613
1990,2,female,385.925685,0.003859257
1991,2,female,370.3964416,0.003703964
1992,2,female,407.1774852,0.004071775
1993,2,female,347.8194048,0.003478194
1994,2,female,361.8680331,0.00361868
1995,2,female,316.2055777,0.003162056
1996,2,female,295.2980081,0.00295298
1997,2,female,353.6840689,0.003536841
1998,2,female,366.593194,0.003665932
1999,2,female,380.3691381,0.003803691
2000,2,female,427.1638022,0.004271638
2001,2,female,422.268913,0.004222689
2002,2,female,448.6453717,0.004486454
2003,2,female,477.1083971,0.004771084
2004,2,female,485.3295412,0.004853295
2005,2,female,474.7701143,0.004747701
2006,2,female,473.3785855,0.004733786
2007,2,female,436.3951565,0.004363952
2008,2,female,419.9922125,0.004199922
2009,2,female,403.3045923,0.004033046
2010,2,female,384.2558185,0.003842558
2011,2,female,349.4671257,0.003494671
2012,2,female,337.5146797,0.003375147
2013,2,female,332.7703984,0.003327704
2014,2,female,335.8239462,0.003358239
2015,2,female,325.9969253,0.003259969
2016,2,female,310.4555577,0.003104556
2017,2,female,303.1516182,0.003031516
2018,2,female,303.2589364,0.003032589
2019,2,female,308.259093,0.003082591
