measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,196,South Africa,1,Male,8,15 to 19,300,HIV/AIDS resulting in other diseases,1,Number,1990,5.469570339600005,11.597204129999998,2.38124356
1,Deaths,196,South Africa,2,Female,8,15 to 19,300,HIV/AIDS resulting in other diseases,1,Number,1990,58.534043025299965,104.0937207625,35.988344139999995
1,Deaths,196,South Africa,1,Male,9,20 to 24,300,HIV/AIDS resulting in other diseases,1,Number,1990,18.978620537400015,33.97893079,10.730616005000002
1,Deaths,196,South Africa,2,Female,9,20 to 24,300,HIV/AIDS resulting in other diseases,1,Number,1990,106.88223664619986,189.24014672499993,64.87273617
1,Deaths,196,South Africa,1,Male,10,25 to 29,300,HIV/AIDS resulting in other diseases,1,Number,1990,61.22682176000012,122.6071717925,24.034339585
1,Deaths,196,South Africa,2,Female,10,25 to 29,300,HIV/AIDS resulting in other diseases,1,Number,1990,132.7841212698,250.89906234999995,53.73755131
1,Deaths,196,South Africa,1,Male,11,30 to 34,300,HIV/AIDS resulting in other diseases,1,Number,1990,91.54178715560005,176.71352779999998,37.94860948499999
1,Deaths,196,South Africa,2,Female,11,30 to 34,300,HIV/AIDS resulting in other diseases,1,Number,1990,97.94339703459993,179.44819422499995,43.280789152500006
1,Deaths,196,South Africa,1,Male,12,35 to 39,300,HIV/AIDS resulting in other diseases,1,Number,1990,93.52551471940023,191.08091335,38.5241780925
1,Deaths,196,South Africa,2,Female,12,35 to 39,300,HIV/AIDS resulting in other diseases,1,Number,1990,69.99478292160015,145.72378294749998,26.803004192499998
1,Deaths,196,South Africa,1,Male,13,40 to 44,300,HIV/AIDS resulting in other diseases,1,Number,1990,58.50048029480007,109.23950867750001,26.1765004375
1,Deaths,196,South Africa,2,Female,13,40 to 44,300,HIV/AIDS resulting in other diseases,1,Number,1990,51.84376253269994,99.5827357,21.0075146975
1,Deaths,196,South Africa,1,Male,14,45 to 49,300,HIV/AIDS resulting in other diseases,1,Number,1990,35.48767910950006,65.37204517,16.497639500000005
1,Deaths,196,South Africa,2,Female,14,45 to 49,300,HIV/AIDS resulting in other diseases,1,Number,1990,44.46673334730002,82.94895051749998,20.310352844999997
1,Deaths,196,South Africa,1,Male,15,50 to 54,300,HIV/AIDS resulting in other diseases,1,Number,1990,22.172790222400003,40.5026985975,10.7646202175
1,Deaths,196,South Africa,2,Female,15,50 to 54,300,HIV/AIDS resulting in other diseases,1,Number,1990,33.98183196819996,61.075941269999994,16.713199375
1,Deaths,196,South Africa,1,Male,16,55 to 59,300,HIV/AIDS resulting in other diseases,1,Number,1990,13.081203341100005,23.968750675,6.463304767500001
1,Deaths,196,South Africa,2,Female,16,55 to 59,300,HIV/AIDS resulting in other diseases,1,Number,1990,20.94561775830001,37.375559752499996,10.326948755
1,Deaths,196,South Africa,1,Male,8,15 to 19,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,1.013945721717978,3.79977094986088,0.14572892074042437
1,Deaths,196,South Africa,2,Female,8,15 to 19,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,2.8033444404314944,10.145178788938445,0.4108842383565397
1,Deaths,196,South Africa,1,Male,9,20 to 24,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,2.78119008475502,9.712753864406354,0.38975448637544335
1,Deaths,196,South Africa,2,Female,9,20 to 24,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,5.551304987005529,20.03767660830187,0.7936699198141806
1,Deaths,196,South Africa,1,Male,10,25 to 29,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,6.013013810806818,22.63318268614908,0.8593944659925921
1,Deaths,196,South Africa,2,Female,10,25 to 29,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,8.653917216393396,33.355519093452536,1.187375717812695
1,Deaths,196,South Africa,1,Male,11,30 to 34,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,10.078952412839408,37.028666644529196,1.3951968468694362
1,Deaths,196,South Africa,2,Female,11,30 to 34,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,8.760239725018483,31.131528836419943,1.2717747919454374
1,Deaths,196,South Africa,1,Male,12,35 to 39,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,11.78755457890621,44.142660433472564,1.7202246154090581
1,Deaths,196,South Africa,2,Female,12,35 to 39,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,6.546990773073374,23.730941536964252,0.9640763251819631
1,Deaths,196,South Africa,1,Male,13,40 to 44,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,11.140025225625893,42.03114715991248,1.6191900228380312
1,Deaths,196,South Africa,2,Female,13,40 to 44,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,4.62957685956035,16.674636023123174,0.6589460843032346
1,Deaths,196,South Africa,1,Male,14,45 to 49,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,9.903427050748423,37.6020948471134,1.4141840600959683
1,Deaths,196,South Africa,2,Female,14,45 to 49,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,3.615516171855465,13.248534890152794,0.5021553393549949
1,Deaths,196,South Africa,1,Male,15,50 to 54,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,8.612183588739429,30.80480408102962,1.225726127292946
1,Deaths,196,South Africa,2,Female,15,50 to 54,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,3.0069130298478823,10.57730352386772,0.412272582247531
1,Deaths,196,South Africa,1,Male,16,55 to 59,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,7.9818104859208425,30.282167012332756,1.147660418194871
1,Deaths,196,South Africa,2,Female,16,55 to 59,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1990,2.8267738445588804,10.14324357606072,0.39184313932737785
1,Deaths,196,South Africa,1,Male,8,15 to 19,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,8,15 to 19,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,9,20 to 24,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,9,20 to 24,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,10,25 to 29,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,10,25 to 29,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,11,30 to 34,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,11,30 to 34,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,12,35 to 39,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,12,35 to 39,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,13,40 to 44,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,13,40 to 44,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,14,45 to 49,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,14,45 to 49,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,15,50 to 54,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,15,50 to 54,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,16,55 to 59,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,2,Female,16,55 to 59,947,Extensively drug-resistant tuberculosis,1,Number,1990,0.0,0.0,0.0
1,Deaths,196,South Africa,1,Male,8,15 to 19,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,4.381310869900001,9.115397784999995,1.9222013724999996
1,Deaths,196,South Africa,2,Female,8,15 to 19,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,47.244944026300004,83.31080125499996,28.967621307499996
1,Deaths,196,South Africa,1,Male,9,20 to 24,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,15.322592351800013,27.367707752499996,8.6585168725
1,Deaths,196,South Africa,2,Female,9,20 to 24,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,86.33134124290001,151.28332802,52.5936720875
1,Deaths,196,South Africa,1,Male,10,25 to 29,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,49.36314110600002,97.40455469999999,19.269579025
1,Deaths,196,South Africa,2,Female,10,25 to 29,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,107.08066587060006,203.02558539999998,43.2246462125
1,Deaths,196,South Africa,1,Male,11,30 to 34,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,73.79691974019988,139.68004104999997,30.78339332
1,Deaths,196,South Africa,2,Female,11,30 to 34,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,78.95536275270007,143.94436012499995,34.4768128225
1,Deaths,196,South Africa,1,Male,12,35 to 39,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,75.35554024759999,152.14362771499992,31.197520875
1,Deaths,196,South Africa,2,Female,12,35 to 39,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,56.33542808169994,114.39967975249995,21.604880562499996
1,Deaths,196,South Africa,1,Male,13,40 to 44,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,47.15583144989997,87.7901119775,21.0669479275
1,Deaths,196,South Africa,2,Female,13,40 to 44,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,41.80462017129996,79.8680696525,17.145031932499997
1,Deaths,196,South Africa,1,Male,14,45 to 49,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,28.62467094790004,52.2910567725,13.311167672499998
1,Deaths,196,South Africa,2,Female,14,45 to 49,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,35.88114324950001,67.153687045,16.417460215
1,Deaths,196,South Africa,1,Male,15,50 to 54,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,17.88989931350001,32.69988069999999,8.703498455
1,Deaths,196,South Africa,2,Female,15,50 to 54,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,27.423304227000028,48.77500877249999,13.556913975
1,Deaths,196,South Africa,1,Male,16,55 to 59,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,10.555955516400001,19.323601429999997,5.2337257925000005
1,Deaths,196,South Africa,2,Female,16,55 to 59,948,HIV/AIDS - Drug-susceptible Tuberculosis,1,Number,1990,16.903631266800012,29.737146492499996,8.4208309125
1,Deaths,196,South Africa,1,Male,8,15 to 19,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.054481016347999976,0.2189513325,0.005417452500000001
1,Deaths,196,South Africa,2,Female,8,15 to 19,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.5872916994,2.323814149999999,0.070064955
1,Deaths,196,South Africa,1,Male,9,20 to 24,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.18223244946000006,0.7208974324999995,0.019261112499999993
1,Deaths,196,South Africa,2,Female,9,20 to 24,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,1.0574038181999998,3.9052015949999976,0.12474582000000001
1,Deaths,196,South Africa,1,Male,10,25 to 29,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.5967647793200002,2.4137243325,0.05812330250000001
1,Deaths,196,South Africa,2,Female,10,25 to 29,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,1.3230257360999997,5.5321995075,0.12777064500000002
1,Deaths,196,South Africa,1,Male,11,30 to 34,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.9017924948499995,3.671509542499999,0.089184975
1,Deaths,196,South Africa,2,Female,11,30 to 34,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.9782133446999998,3.9370118449999976,0.09602357749999998
1,Deaths,196,South Africa,1,Male,12,35 to 39,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.9086119433000002,3.449299589999998,0.09376422250000002
1,Deaths,196,South Africa,2,Female,12,35 to 39,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.6866936287399995,2.7444476574999994,0.07405121
1,Deaths,196,South Africa,1,Male,13,40 to 44,949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1,Number,1990,0.5706684643799997,2.105874095,0.0627783125
