measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1990,57.78161048,68.67791507,49.58157714
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1990,41.72374971,54.98678851,34.77729088
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1990,49.5066933,57.4482085,43.75104754
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1991,58.2120322,68.57824273,50.67587532
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1991,37.96287845,49.05834513,31.32805924
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1991,47.77608297,55.07761822,42.66725885
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1992,58.65805772,68.57044115,52.2366786
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1992,41.54431749,53.74547821,34.15555827
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1992,49.83546066,57.00085014,45.30123499
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1993,52.98034776,62.52249898,45.93846935
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1993,31.62892285,40.26624064,26.62864927
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1993,41.96927985,48.10174275,37.20506584
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1994,52.54993654,61.4792279,45.84953865
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1994,31.35150695,39.41909602,26.6171709
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1994,41.61278858,47.12053226,37.26381243
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1995,54.23810938,62.41489793,48.16748519
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1995,24.25611518,30.73410736,20.40672385
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1995,38.75897634,43.63364342,34.51531049
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1997,59.44847319,66.55328413,54.9578844
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1997,22.99184419,27.1511881,19.79076547
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1997,40.60810245,44.72614853,37.31331841
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1998,68.73618079,74.98479805,63.74410221
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1998,25.24133863,29.6792417,21.5883571
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1998,46.23780827,50.21357855,42.83312495
1,Deaths,196,South Africa,1,Male,24,15-49 years,297,Tuberculosis,3,Rate,1999,68.49121416,75.36519924,63.39010085
1,Deaths,196,South Africa,2,Female,24,15-49 years,297,Tuberculosis,3,Rate,1999,28.53945913,33.60768545,23.84380467
1,Deaths,196,South Africa,3,Both,24,15-49 years,297,Tuberculosis,3,Rate,1999,47.80380139,52.78412763,43.95224713
