"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
519,4791.97224702854,17286.8001400528,19775.6981528082,40325.5985453626,82180.0690852521,199919068.011817,27319308.7862897,227238376.798107,0.0393427376355406,0.0228366327896533,6,10,8,35,1.2,14,30,60,17,173,703,636,448,4
535,4795.00990971811,17288.2066363207,19755.3287152548,40241.6205201435,82080.1657814371,201526768.536279,25784202.592205,227310971.128484,0.0393611518168845,0.0218668740123556,6,10,8,35,1.5,14,30,60,17,170,704,637,445,3
645,3770.76372299866,10528.5792038077,20513.4462122405,46892.2263179071,81705.015456954,195797725.324164,29827256.0404145,225624981.364578,0.0389451037375899,0.0236464101891476,6,11,8,35,1.2,14,30,40,17,164,326,310,530,10
661,3777.01705133407,10535.1219001552,20479.2397801859,46783.3300786806,81574.7088103558,197376528.024973,28215302.4663739,225591830.491347,0.0389636219040762,0.0226757230389425,6,11,8,35,1.5,14,30,40,17,158,329,313,528,9
1411,3892.25497300541,11705.841079296,19509.4174792808,46854.4818853307,81961.9954169129,193324952.60615,29983698.7520978,223308651.358247,0.0387414199132497,0.0236019514261786,7,10,8,35,1.2,14,22,60,17,168,413,374,529,2
1419,3839.19079242427,9655.70209123342,19958.6743422265,40892.3152625399,74345.8824884241,191843133.209676,30403504.4954547,222246637.70513,0.0386213432159443,0.0237626069036849,7,10,8,35,1.2,17,22,60,17,61,223,347,458,7
1427,3897.46335551216,11710.9271205327,19482.4893406777,46748.5598464321,81839.4396631547,194872311.65133,28382341.5563687,223254653.207698,0.0387594027754042,0.0226386464681907,7,10,8,35,1.5,14,22,60,17,165,415,376,526,1
1435,3848.91010549909,9667.58126176979,19934.326907693,40792.6747742778,74243.4930492396,193382251.142478,28785887.6646343,222168138.807112,0.0386393647674431,0.0227984137249669,7,10,8,35,1.5,17,22,60,17,59,224,350,457,6
1537,3914.64924705168,10181.0065581478,19961.0737592337,46309.9266755636,80366.6562399968,183293581.896357,34063140.3846272,217356722.280984,0.0378994811622069,0.0251265351335731,7,11,8,35,1.2,14,22,40,17,145,288,379,519,8
1553,3918.1823546631,10178.4773978054,19871.8577300186,46317.0959050229,80285.61338751,185104531.185205,32061695.0113956,217166226.1966,0.0379336150140733,0.0240533424832163,7,11,8,35,1.5,14,22,40,17,143,287,380,520,5
