"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
4624,3491.2879947457,8692.11349099941,34791.2414397276,48254.1306240498,95228.7735495225,250305178.78414,12417538.1722783,262722716.956418,0.0416246707354662,0.0180669744387194,11,7,8,35,1.2,17,30,60,20,288,9,5,541,179
4640,3495.64078211407,8696.35649749757,34656.3978538814,48080.4524736779,94928.8476071709,251455469.588072,12438489.556757,263893959.144829,0.0416672392410784,0.0180669744387194,11,7,8,35,1.5,17,30,60,20,285,10,7,537,174
5519,3845.32546557979,8685.52923240178,63278.5407789123,87093.1755975912,162902.571074485,256321994.245249,12776912.285869,269098906.531118,0.0421542490036038,0.0174985929290893,12,7,8,35,1.2,17,30,60,17,576,7,108,780,481
5520,3836.45782538148,8646.93943809339,68777.4631120374,89577.2110805614,170838.071456074,256788614.586613,12818932.7608964,269607547.34751,0.0421663719260968,0.0174985929290893,12,7,8,35,1.2,17,30,60,20,596,5,103,793,516
5535,3850.99820060806,8691.57648735679,63095.1420268504,86853.7158121802,162491.432526995,257485659.589416,12840443.0322519,270326102.621668,0.0421965101554351,0.0174985929290893,12,7,8,35,1.5,17,30,60,17,575,8,110,779,479
5536,3842.11638382977,8652.9787895783,68578.8897223003,89329.0946670994,170403.079562808,257954299.195865,12892449.3628124,270846748.558677,0.0422086493841293,0.0174985929290893,12,7,8,35,1.5,17,30,60,20,594,6,106,790,515
5639,3678.76848036955,8393.05744986926,209244.721695846,219892.137264618,441208.684890703,272586743.476195,15764316.3581203,288351059.834315,0.043344671860506,0.0182506024896853,12,8,8,35,1.2,14,30,60,17,1072,3,46,1162,1028
5640,3668.86753172808,8356.6278709878,218714.006865299,224002.777536362,454742.279804377,273039453.393905,15820461.156908,288859914.550813,0.0433572514493802,0.0182506024896853,12,8,8,35,1.2,14,30,60,20,1084,1,35,1168,1050
5655,3683.54955314109,8397.76451460015,208915.625013344,219487.065934609,440484.005015694,273778383.289057,15931413.5646921,289709796.853749,0.0433859581974728,0.0182506024896853,12,8,8,35,1.5,14,30,60,17,1071,4,48,1161,1027
5656,3673.64137624565,8361.3328773788,218363.570564353,223585.290131884,453983.834949862,274235127.453551,15996732.9699646,290231860.423515,0.0433985724189751,0.0182506024896853,12,8,8,35,1.5,14,30,60,20,1083,2,41,1167,1049
