"TB_compartment","DR_compartment","HIV_compartment","G_compartment","tb_adj","dr_adj","hiv_adj","g_adj","total_adj","prop_of_pop"
1,1,1,1,0.5,1,0.976,0.487351212642743,0.237827391769659,0.237827391769659
1,1,1,2,0.5,1,0.97,0.512648787357257,0.248634661868269,0.248634661868269
1,1,2,1,0.5,1,0.024,0.487351212642743,0.00584821455171292,0.00584821455171292
1,1,2,2,0.5,1,0.03,0.512648787357257,0.00768973181035885,0.00768973181035885
1,1,3,1,0.5,1,0,0.487351212642743,0,0
1,1,3,2,0.5,1,0,0.512648787357257,0,0
1,1,4,1,0.5,1,0,0.487351212642743,0,0
1,1,4,2,0.5,1,0,0.512648787357257,0,0
1,2,1,1,0.5,0,0.976,0.487351212642743,0,0
1,2,1,2,0.5,0,0.97,0.512648787357257,0,0
1,2,2,1,0.5,0,0.024,0.487351212642743,0,0
1,2,2,2,0.5,0,0.03,0.512648787357257,0,0
1,2,3,1,0.5,0,0,0.487351212642743,0,0
1,2,3,2,0.5,0,0,0.512648787357257,0,0
1,2,4,1,0.5,0,0,0.487351212642743,0,0
1,2,4,2,0.5,0,0,0.512648787357257,0,0
2,1,1,1,0,0.963,0.976,0.487351212642743,0,0
2,1,1,2,0,0.963,0.97,0.512648787357257,0,0
2,1,2,1,0,0.963,0.024,0.487351212642743,0,0
2,1,2,2,0,0.963,0.03,0.512648787357257,0,0
2,1,3,1,0,0.963,0,0.487351212642743,0,0
2,1,3,2,0,0.963,0,0.512648787357257,0,0
2,1,4,1,0,0.963,0,0.487351212642743,0,0
2,1,4,2,0,0.963,0,0.512648787357257,0,0
2,2,1,1,0,0.037,0.976,0.487351212642743,0,0
2,2,1,2,0,0.037,0.97,0.512648787357257,0,0
2,2,2,1,0,0.037,0.024,0.487351212642743,0,0
2,2,2,2,0,0.037,0.03,0.512648787357257,0,0
2,2,3,1,0,0.037,0,0.487351212642743,0,0
2,2,3,2,0,0.037,0,0.512648787357257,0,0
2,2,4,1,0,0.037,0,0.487351212642743,0,0
2,2,4,2,0,0.037,0,0.512648787357257,0,0
3,1,1,1,0.02401,0.963,0.976,0.487351212642743,0.0109979139127262,0.0109979139127262
3,1,1,2,0.02401,0.963,0.97,0.512648787357257,0.0114976773137865,0.0114976773137865
3,1,2,1,0.02401,0.963,0.024,0.487351212642743,0.000270440506050644,0.000270440506050644
3,1,2,2,0.02401,0.963,0.03,0.512648787357257,0.000355598267436695,0.000355598267436695
3,1,3,1,0.02401,0.963,0,0.487351212642743,0,0
3,1,3,2,0.02401,0.963,0,0.512648787357257,0,0
3,1,4,1,0.02401,0.963,0,0.487351212642743,0,0
3,1,4,2,0.02401,0.963,0,0.512648787357257,0,0
3,2,1,1,0.02401,0.037,0.976,0.487351212642743,0.000422557440052824,0.000422557440052824
3,2,1,2,0.02401,0.037,0.97,0.512648787357257,0.000441759149127829,0.000441759149127829
3,2,2,1,0.02401,0.037,0.024,0.487351212642743,1.03907567226104e-05,1.03907567226104e-05
3,2,2,2,0.02401,0.037,0.03,0.512648787357257,1.3662654096737e-05,1.3662654096737e-05
3,2,3,1,0.02401,0.037,0,0.487351212642743,0,0
3,2,3,2,0.02401,0.037,0,0.512648787357257,0,0
3,2,4,1,0.02401,0.037,0,0.487351212642743,0,0
3,2,4,2,0.02401,0.037,0,0.512648787357257,0,0
4,1,1,1,0.46599,0.963,0.976,0.487351212642743,0.213449308795972,0.213449308795972
4,1,1,2,0.46599,0.963,0.97,0.512648787357257,0.223148798477774,0.223148798477774
4,1,2,1,0.46599,0.963,0.024,0.487351212642743,0.00524875349498291,0.00524875349498291
4,1,2,2,0.46599,0.963,0.03,0.512648787357257,0.00690150923127136,0.00690150923127136
4,1,3,1,0.46599,0.963,0,0.487351212642743,0,0
4,1,3,2,0.46599,0.963,0,0.512648787357257,0,0
4,1,4,1,0.46599,0.963,0,0.487351212642743,0,0
4,1,4,2,0.46599,0.963,0,0.512648787357257,0,0
4,2,1,1,0.46599,0.037,0.976,0.487351212642743,0.008201063785515,0.008201063785515
4,2,1,2,0.46599,0.037,0.97,0.512648787357257,0.00857373369021562,0.00857373369021562
4,2,2,1,0.46599,0.037,0.024,0.487351212642743,0.0002016655029225,0.0002016655029225
4,2,2,2,0.46599,0.037,0.03,0.512648787357257,0.000265167021346875,0.000265167021346875
4,2,3,1,0.46599,0.037,0,0.487351212642743,0,0
4,2,3,2,0.46599,0.037,0,0.512648787357257,0,0
4,2,4,1,0.46599,0.037,0,0.487351212642743,0,0
4,2,4,2,0.46599,0.037,0,0.512648787357257,0,0
5,1,1,1,0,0.963,0.976,0.487351212642743,0,0
5,1,1,2,0,0.963,0.97,0.512648787357257,0,0
5,1,2,1,0,0.963,0.024,0.487351212642743,0,0
5,1,2,2,0,0.963,0.03,0.512648787357257,0,0
5,1,3,1,0,0.963,0,0.487351212642743,0,0
5,1,3,2,0,0.963,0,0.512648787357257,0,0
5,1,4,1,0,0.963,0,0.487351212642743,0,0
5,1,4,2,0,0.963,0,0.512648787357257,0,0
5,2,1,1,0,0.037,0.976,0.487351212642743,0,0
5,2,1,2,0,0.037,0.97,0.512648787357257,0,0
5,2,2,1,0,0.037,0.024,0.487351212642743,0,0
5,2,2,2,0,0.037,0.03,0.512648787357257,0,0
5,2,3,1,0,0.037,0,0.487351212642743,0,0
5,2,3,2,0,0.037,0,0.512648787357257,0,0
5,2,4,1,0,0.037,0,0.487351212642743,0,0
5,2,4,2,0,0.037,0,0.512648787357257,0,0
6,1,1,1,0.01,0.963,0.976,0.487351212642743,0.00458055556548363,0.00458055556548363
6,1,1,2,0.01,0.963,0.97,0.512648787357257,0.00478870358758287,0.00478870358758287
6,1,2,1,0.01,0.963,0.024,0.487351212642743,0.000112636612265991,0.000112636612265991
6,1,2,2,0.01,0.963,0.03,0.512648787357257,0.000148104234667511,0.000148104234667511
6,1,3,1,0.01,0.963,0,0.487351212642743,0,0
6,1,3,2,0.01,0.963,0,0.512648787357257,0,0
6,1,4,1,0.01,0.963,0,0.487351212642743,0,0
6,1,4,2,0.01,0.963,0,0.512648787357257,0,0
6,2,1,1,0.01,0.037,0.976,0.487351212642743,0.000175992269909547,0.000175992269909547
6,2,1,2,0.01,0.037,0.97,0.512648787357257,0.000183989649782519,0.000183989649782519
6,2,2,1,0.01,0.037,0.024,0.487351212642743,4.32767876826756e-06,4.32767876826756e-06
6,2,2,2,0.01,0.037,0.03,0.512648787357257,5.69040153966555e-06,5.69040153966555e-06
6,2,3,1,0.01,0.037,0,0.487351212642743,0,0
6,2,3,2,0.01,0.037,0,0.512648787357257,0,0
6,2,4,1,0.01,0.037,0,0.487351212642743,0,0
6,2,4,2,0.01,0.037,0,0.512648787357257,0,0
7,1,1,1,0,0.963,0.976,0.487351212642743,0,0
7,1,1,2,0,0.963,0.97,0.512648787357257,0,0
7,1,2,1,0,0.963,0.024,0.487351212642743,0,0
7,1,2,2,0,0.963,0.03,0.512648787357257,0,0
7,1,3,1,0,0.963,0,0.487351212642743,0,0
7,1,3,2,0,0.963,0,0.512648787357257,0,0
7,1,4,1,0,0.963,0,0.487351212642743,0,0
7,1,4,2,0,0.963,0,0.512648787357257,0,0
7,2,1,1,0,0.037,0.976,0.487351212642743,0,0
7,2,1,2,0,0.037,0.97,0.512648787357257,0,0
7,2,2,1,0,0.037,0.024,0.487351212642743,0,0
7,2,2,2,0,0.037,0.03,0.512648787357257,0,0
7,2,3,1,0,0.037,0,0.487351212642743,0,0
7,2,3,2,0,0.037,0,0.512648787357257,0,0
7,2,4,1,0,0.037,0,0.487351212642743,0,0
7,2,4,2,0,0.037,0,0.512648787357257,0,0
8,1,1,1,0,0.963,0.976,0.487351212642743,0,0
8,1,1,2,0,0.963,0.97,0.512648787357257,0,0
8,1,2,1,0,0.963,0.024,0.487351212642743,0,0
8,1,2,2,0,0.963,0.03,0.512648787357257,0,0
8,1,3,1,0,0.963,0,0.487351212642743,0,0
8,1,3,2,0,0.963,0,0.512648787357257,0,0
8,1,4,1,0,0.963,0,0.487351212642743,0,0
8,1,4,2,0,0.963,0,0.512648787357257,0,0
8,2,1,1,0,0.037,0.976,0.487351212642743,0,0
8,2,1,2,0,0.037,0.97,0.512648787357257,0,0
8,2,2,1,0,0.037,0.024,0.487351212642743,0,0
8,2,2,2,0,0.037,0.03,0.512648787357257,0,0
8,2,3,1,0,0.037,0,0.487351212642743,0,0
8,2,3,2,0,0.037,0,0.512648787357257,0,0
8,2,4,1,0,0.037,0,0.487351212642743,0,0
8,2,4,2,0,0.037,0,0.512648787357257,0,0
