"year","sex_name","calibration_group","min_rate","max_rate","expected_rate"
1990,"female","HIV/TB_coinfection_Female",2.27494980348282,9.07362130558057,4.83727209359312
1990,"female","TB_only_Female",34.957722620687,61.8239950874317,44.9239561505076
1990,"male","HIV/TB_coinfection_Male",1.44107371211941,6.4909393119805,3.3461071708951
1990,"male","TB_only_Male",56.1479443931129,89.9675043365103,71.6647436708869
1991,"female","HIV/TB_coinfection_Female",4.14292703647136,16.0533284334301,8.72442993126141
1991,"female","TB_only_Female",31.8215930848225,56.0867386024485,41.0034717304375
1991,"male","HIV/TB_coinfection_Male",2.63318642657081,11.4260384883543,6.01065187653835
1991,"male","TB_only_Male",57.4565668953096,90.4627024566276,72.3893217674468
1992,"female","HIV/TB_coinfection_Female",7.2781802779041,27.3156760622213,15.1515123600864
1992,"female","TB_only_Female",34.6478455208202,60.8516495098582,44.7535103351961
1992,"male","HIV/TB_coinfection_Male",4.71411598308447,19.2159615526448,10.525301004213
1992,"male","TB_only_Male",58.7593159125492,90.5490208947456,72.8394100498159
1993,"female","HIV/TB_coinfection_Female",12.425887600826,42.9234257896772,25.0522986071528
1993,"female","TB_only_Female",27.077142211702,47.1161701967013,34.7682828434983
1993,"male","HIV/TB_coinfection_Male",8.12215261125124,30.3820439926695,17.4662959061591
1993,"male","TB_only_Male",53.1181759174567,84.0464406523103,66.9452448674137
1994,"female","HIV/TB_coinfection_Female",20.397904446089,64.0506686296684,39.3426661558434
1994,"female","TB_only_Female",27.4375844900791,46.6411035599886,34.9320545430456
1994,"male","HIV/TB_coinfection_Male",13.5194655805934,45.4250807646852,27.588575447468
1994,"male","TB_only_Male",54.0527562567401,83.9511661347666,67.2832904954732
1995,"female","HIV/TB_coinfection_Female",31.8862297763609,89.5904858119539,57.5453448897508
1995,"female","TB_only_Female",20.777346855302,37.3362839603049,27.5921782749408
1995,"male","HIV/TB_coinfection_Male",21.5035520421703,64.0721800403377,40.625516802708
1995,"male","TB_only_Male",57.6037633205258,86.7768011788747,70.5513698658748
1996,"female","HIV/TB_coinfection_Female",46.3424058879946,119.312747816234,78.9997523890655
1996,"female","TB_only_Female",16.7306262589854,32.3219796565863,23.4456755123814
1996,"male","HIV/TB_coinfection_Male",32.5012005678128,85.8433777653967,56.2475961813619
1996,"male","TB_only_Male",58.7636949577787,86.3626866920687,71.1005259425631
1997,"female","HIV/TB_coinfection_Female",65.6666101866016,165.117227698527,109.813239667851
1997,"female","TB_only_Female",20.2490611895486,37.817380459765,28.2682528390312
1997,"male","HIV/TB_coinfection_Male",46.2460598435077,119.388242427505,78.533047462855
1997,"male","TB_only_Male",68.1061930764543,96.2568575232977,80.7056229018471
1998,"female","HIV/TB_coinfection_Female",87.8342338637748,217.697336431163,144.808764373269
1998,"female","TB_only_Female",20.9015033981262,41.6388779529188,30.6478945653116
1998,"male","HIV/TB_coinfection_Male",61.5700414540051,156.939730484867,103.210621736088
1998,"male","TB_only_Male",77.7530039706435,111.054332213644,92.9036846584997
1999,"female","HIV/TB_coinfection_Female",107.431722025895,270.235124748769,177.944873477046
1999,"female","TB_only_Female",21.2938415080888,47.0607041729644,33.3999889229746
1999,"male","HIV/TB_coinfection_Male",75.5454065191203,194.75715156364,126.346040845009
1999,"male","TB_only_Male",75.2037819237519,112.779152012588,92.2192707073703
2000,"female","HIV/TB_coinfection_Female",128.263864856505,331.089959790284,215.371240977722
2000,"female","TB_only_Female",25.2084506391321,58.3122568061162,40.7977482742368
2000,"male","HIV/TB_coinfection_Male",89.5327544942848,237.54240328482,151.965089593694
2000,"male","TB_only_Male",79.5498609087499,125.641576520791,100.297226264208
2001,"female","HIV/TB_coinfection_Female",143.812470833893,387.168422995671,247.304031651267
2001,"female","TB_only_Female",24.3614360283422,63.2039862009291,42.4395508026366
2001,"male","HIV/TB_coinfection_Male",99.8550176988126,275.570950241435,173.397707445269
2001,"male","TB_only_Male",76.884993852197,129.818147691791,100.411357192045
2002,"female","HIV/TB_coinfection_Female",164.704007333842,443.203080804432,285.881042256395
2002,"female","TB_only_Female",27.8720843474383,73.7945388019477,49.2179926092413
2002,"male","HIV/TB_coinfection_Male",113.246699985658,311.866783053286,198.567469428738
2002,"male","TB_only_Male",81.1748278752086,139.4389403061,107.047352732708
2003,"female","HIV/TB_coinfection_Female",187.708134946694,497.445504457346,324.756708084845
2003,"female","TB_only_Female",31.4477320024933,85.2688339490651,56.3881493445082
2003,"male","HIV/TB_coinfection_Male",127.628778819428,348.006024954228,223.143182422197
2003,"male","TB_only_Male",86.1951214261844,149.95475280044,115.272902413046
2004,"female","HIV/TB_coinfection_Female",203.966329366354,537.719700688931,353.343752552661
2004,"female","TB_only_Female",33.0606474930774,93.4016484933726,60.6124420076555
2004,"male","HIV/TB_coinfection_Male",137.574033414669,370.50832850817,240.053877074167
2004,"male","TB_only_Male",88.28180464699,156.158800906485,119.0372757293
2005,"female","HIV/TB_coinfection_Female",213.610003205985,559.162974041657,370.00278300621
2005,"female","TB_only_Female",31.8301387831722,95.7468152248947,60.8354927874583
2005,"male","HIV/TB_coinfection_Male",142.939488505699,384.853703408236,250.221973221658
2005,"male","TB_only_Male",89.2967488803121,160.646837153175,121.460711981759
2006,"female","HIV/TB_coinfection_Female",218.312045406135,559.496714139007,374.268551946291
2006,"female","TB_only_Female",31.2055939786439,96.9206659138468,60.8892936271864
2006,"male","HIV/TB_coinfection_Male",146.804981941348,386.314282149142,254.095551482445
2006,"male","TB_only_Male",91.3877413642511,163.988987940604,124.205593326457
2007,"female","HIV/TB_coinfection_Female",205.971747466266,531.849793188302,356.64645797933
2007,"female","TB_only_Female",25.630694376386,87.2977101726652,53.6361314413676
2007,"male","HIV/TB_coinfection_Male",141.274696530527,374.144145522794,246.048351747219
2007,"male","TB_only_Male",86.3680427929309,155.610374728228,117.802895297346
2008,"female","HIV/TB_coinfection_Female",188.8936988065,489.50554357726,327.995123611624
2008,"female","TB_only_Female",22.3462091624893,80.9865803595435,49.1357283515837
2008,"male","HIV/TB_coinfection_Male",132.255012755467,351.177584646714,231.545252954181
2008,"male","TB_only_Male",81.9017775182238,147.417030472469,111.357380830776
2009,"female","HIV/TB_coinfection_Female",171.075921667854,440.893711461684,296.093132673169
2009,"female","TB_only_Female",19.5663341117154,73.2482457474667,44.3208867883553
2009,"male","HIV/TB_coinfection_Male",123.005238298609,325.734418966444,214.41080566622
2009,"male","TB_only_Male",75.7552055994677,135.634458234406,103.134153108046
2010,"female","HIV/TB_coinfection_Female",155.160783681608,397.30667223612,267.079281007373
2010,"female","TB_only_Female",17.1113287632937,65.7925468630394,39.5332036302591
2010,"male","HIV/TB_coinfection_Male",114.339887557464,300.525175827631,197.891351613074
2010,"male","TB_only_Male",68.4160777806104,121.773827738448,93.0310136350757
2011,"female","HIV/TB_coinfection_Female",132.610114849605,341.553631795531,229.748202750742
2011,"female","TB_only_Female",14.2127731539476,54.155123182021,32.2715851548192
2011,"male","HIV/TB_coinfection_Male",101.354325344854,268.830353975774,176.489647506217
2011,"male","TB_only_Male",59.6052855425002,105.640634195027,80.9018293923765
2012,"female","HIV/TB_coinfection_Female",111.953184727115,287.717623200012,193.37557195234
2012,"female","TB_only_Female",13.5649892725234,46.4833415552753,28.3170722099867
2012,"male","HIV/TB_coinfection_Male",90.0155705893994,238.696346885827,156.074529195304
2012,"male","TB_only_Male",54.5356390321286,93.7370102596213,72.8061342767749
2013,"female","HIV/TB_coinfection_Female",97.3944578238888,250.147436459096,167.897290976055
2013,"female","TB_only_Female",12.857537066214,41.4453296234665,25.6048744909798
2013,"male","HIV/TB_coinfection_Male",80.4012785869285,212.444786686452,138.869732929219
2013,"male","TB_only_Male",50.3828401472348,85.2402740043056,66.7664866495266
2014,"female","HIV/TB_coinfection_Female",89.6547466344582,230.65428682483,154.274483599668
2014,"female","TB_only_Female",12.7225360547469,37.8289712813026,23.7625738564005
2014,"male","HIV/TB_coinfection_Male",74.0294264035632,194.360061228289,127.514264218359
2014,"male","TB_only_Male",48.157960465786,79.7960356297136,63.041180568739
2015,"female","HIV/TB_coinfection_Female",85.5404271797606,221.259839420143,147.706995614273
2015,"female","TB_only_Female",11.21497086237,33.7638430399416,20.946501270389
2015,"male","HIV/TB_coinfection_Male",71.5932864862953,189.08998112343,123.781877585575
2015,"male","TB_only_Male",45.3456957479728,76.8011594775065,60.1035101174452
2016,"female","HIV/TB_coinfection_Female",81.6767448129192,217.859257537849,142.907140472011
2016,"female","TB_only_Female",9.79866006537056,30.6803939304883,18.3470855233592
2016,"male","HIV/TB_coinfection_Male",71.4350286019515,193.416549801944,125.038325837413
2016,"male","TB_only_Male",40.9345322921569,73.3837009561832,55.9854879931159
2017,"female","HIV/TB_coinfection_Female",75.4794418447235,207.253834049868,133.789060362003
2017,"female","TB_only_Female",9.05150112068179,28.1234783154114,17.0624152159512
2017,"male","HIV/TB_coinfection_Male",68.746793424228,190.631321311722,121.567281575368
2017,"male","TB_only_Male",39.4481809836384,71.7499054842398,54.2883988383835
