"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","b1_calib_id.x","b2_calib_id.x","mh2_calib_id.x","mh3_calib_id.x","mh4_calib_id.x","mtb_calib_id.x","mtbh2_calib_id.x","mtbh3_calib_id.x","mtbh4_calib_id.x","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank","b1_calib_id.y","b2_calib_id.y","mh2_calib_id.y","mh3_calib_id.y","mh4_calib_id.y","mtb_calib_id.y","mtbh2_calib_id.y","mtbh3_calib_id.y","mtbh4_calib_id.y"
961,6572.91717689232,23552.6228604376,78417.1425511564,94276.5578858635,202819.24047435,24463520.3755123,1219290126.02758,1243753646.40309,6.8,8.4,10,50,1.5,15,30,70,25,0.146958218021342,0.014278736032136,0.161236954053478,981,1905,2156,1542,1099,747,865,741,1,6.8,8.4,10,50,1.5,15,30,70,25
962,6576.64025667844,23584.6677467696,65488.0082139636,88037.9807483322,183687.296965744,24726338.4708272,1223679317.08165,1248405655.55248,6.8,8.4,10,50,1.5,15,30,70,20,0.15183551569786,0.0104182741961411,0.162253789894001,635,1914,2159,1459,688,814,1137,805,5,6.8,8.4,10,50,1.5,15,30,70,20
963,6580.59096309897,23618.7088406302,53659.0855332719,81634.7157309519,165493.101067953,25010333.9058149,1228234773.12285,1253245107.02866,6.8,8.4,10,50,1.5,15,30,70,15,0.156909333199596,0.0067470319687927,0.163656365168389,367,1927,2165,1388,284,894,1420,875,9,6.8,8.4,10,50,1.5,15,30,70,15
973,13508.3259291147,53684.262764848,88458.7090252471,109619.661908721,265270.959627931,24311994.8144129,1208219270.36239,1232531265.17681,6.8,8.4,10,50,1.5,10,30,70,25,0.135192356837005,0.0268803035768148,0.16207266041382,1623,3911,3965,1713,1330,597,708,599,4,6.8,8.4,10,50,1.5,10,30,70,25
974,13502.663486358,53664.2682634998,73622.0592089342,102686.815321812,243475.806280604,24543756.0788177,1211985614.51472,1236529370.59353,6.8,8.4,10,50,1.5,10,30,70,20,0.139384083386392,0.0224824567156651,0.161866540102057,1469,3909,3963,1630,980,649,954,644,2,6.8,8.4,10,50,1.5,10,30,70,20
975,13500.8300810604,53626.4224378463,60153.4932910023,95546.9262103657,222827.672020275,24846054.2879277,1217384260.99062,1242230315.27855,6.8,8.4,10,50,1.5,10,30,70,15,0.145361114680458,0.0183160564615224,0.16367717114198,1249,3907,3961,1567,512,726,1268,720,10,6.8,8.4,10,50,1.5,10,30,70,15
1549,14295.4279632571,57662.9222060873,70764.3904822401,84992.0706879878,227714.811339572,24484607.9243022,1215136903.1335,1239621511.0578,7.6,7.6,10,50,1.5,10,30,70,25,0.142625970712389,0.0193021881015647,0.161928158813953,1305,4041,4067,1417,875,693,893,689,3,7.6,7.6,10,50,1.5,10,30,70,25
1550,14291.3377611644,57630.7021335391,59263.1484524647,79300.7643184439,210485.952665612,24735127.7649419,1219423084.57632,1244158212.34126,7.6,7.6,10,50,1.5,10,30,70,20,0.147382376368169,0.0158257325413308,0.1632081089095,1097,4037,4065,1338,474,755,1143,743,6,7.6,7.6,10,50,1.5,10,30,70,20
2125,15086.6381134096,61733.1829264088,61190.5302766478,66325.7653230772,204336.116639543,24641001.1979182,1221098558.3228,1245739559.52071,8.4,6.8,10,50,1.5,10,30,70,25,0.149040305378289,0.0145848127536686,0.163625118131957,1007,4187,4211,1114,539,773,1054,772,8,8.4,6.8,10,50,1.5,10,30,70,25
3373,14310.1782009935,57851.7916149227,66483.0706144149,79639.9065697669,218284.947000098,24309750.6256974,1218512498.77557,1242822249.40127,10,6,10,50,1.5,10,30,70,25,0.145981715119686,0.0173994210677411,0.163381136187427,1201,4051,4071,1351,735,731,705,730,7,10,6,10,50,1.5,10,30,70,25
