"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id.x","b2_calib_id.x","mh2_calib_id.x","mh3_calib_id.x","mh4_calib_id.x","mtb_calib_id.x","mtbh2_calib_id.x","mtbh3_calib_id.x","mtbh4_calib_id.x","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank","b1_calib_id.y","b2_calib_id.y","mh2_calib_id.y","mh3_calib_id.y","mh4_calib_id.y","mtb_calib_id.y","mtbh2_calib_id.y","mtbh3_calib_id.y","mtbh4_calib_id.y"
3949,3557.31429935046,11798.8653880254,1350658.11686655,1011842.10065477,2377856.3972087,73205223.6159214,456064537.014137,529269760.630058,0.0226773749923373,0.0672444422276517,10,10.8,10,50,1.5,10,30,70,25,0.0157710069551492,0.708029262635492,0.723800269590641,4599,14,307,4571,4617,5,4698,5,2336,10,10.8,10,50,1.5,10,30,70,25
3950,3569.8244485654,11896.7542111109,1271608.61590502,983062.930735711,2270138.1253004,72594596.4208936,460912722.817873,533507319.238767,0.0226739879907041,0.0680655435059261,10,10.8,10,50,1.5,10,30,70,20,0.0239397552212044,0.687647429065036,0.71158718428624,4577,19,318,4555,4597,9,4697,8,2328,10,10.8,10,50,1.5,10,30,70,20
3973,3553.38097938274,11793.2338631433,1351076.87988301,1012741.00852922,2379164.50325476,72467517.4970917,461232967.19044,533700484.687531,0.0226736036806457,0.0680897011708813,10,10.8,10,50,1.2,10,30,70,25,0.0243113460397067,0.70827390571886,0.732585251758567,4601,13,301,4572,4618,10,4695,10,2338,10,10.8,10,50,1.2,10,30,70,25
4609,8106.55425709336,50510.687446176,1478540.50889171,1100865.09929025,2638022.84988523,72548314.4050689,455939605.782288,528487920.187356,0.0224786419824798,0.067074316224563,10.8,10.8,10,50,1.5,15,30,70,25,0.0142602830924301,0.755429604238146,0.769689887330576,4635,3774,2744,4609,4641,4,4696,4,2345,10.8,10.8,10,50,1.5,15,30,70,25
4621,3114.23189409787,11252.5649070013,1663285.62570023,1221600.31350857,2899252.7360099,76824975.8763084,444311335.553586,521136311.429894,0.0230221521878698,0.0664079956580801,10.8,10.8,10,50,1.5,10,30,70,25,0,0.800724913551836,0.800724913551836,4663,2,41,4643,4671,1,4704,1,2351,10.8,10.8,10,50,1.5,10,30,70,25
4622,3118.93345098008,11324.0552489823,1570513.72820805,1188708.14526702,2773664.86217504,75804519.8748869,451547764.349023,527352284.22391,0.0229882085818836,0.0673716221425633,10.8,10.8,10,50,1.5,10,30,70,20,0.0120639402947457,0.779215498716348,0.791279439011093,4649,4,44,4635,4657,3,4702,3,2349,10.8,10.8,10,50,1.5,10,30,70,20
4623,3129.89952396112,11442.1641393099,1483670.08340144,1155824.78841562,2654066.93548034,75032293.9888738,457104469.374667,532136763.363541,0.0229842643107421,0.0681929911230247,10.8,10.8,10,50,1.5,10,30,70,15,0.0213012936793994,0.758274454299934,0.779575747979333,4637,6,48,4624,4645,7,4700,7,2347,10.8,10.8,10,50,1.5,10,30,70,15
4633,8090.99775967666,50489.3198242363,1478982.15811932,1101824.66006325,2639387.13576649,71818900.0854338,461097477.152577,532916377.23801,0.0224748112033051,0.067917697938191,10.8,10.8,10,50,1.2,15,30,70,25,0.0228025469672481,0.755671847934978,0.778474394902226,4636,3771,2743,4611,4642,8,4691,9,2346,10.8,10.8,10,50,1.2,15,30,70,25
4645,3109.44422273871,11245.6864917119,1663737.92629481,1222591.41211824,2900684.4691275,76064111.520336,449382062.284596,525446173.804932,0.0230184161007243,0.0672481763128413,10.8,10.8,10,50,1.2,10,30,70,25,0.00837216180737312,0.800967411429917,0.80933957323729,4664,1,36,4644,4672,2,4703,2,2352,10.8,10.8,10,50,1.2,10,30,70,25
4646,3114.12625368438,11317.2349959749,1570736.97026961,1189506.56465929,2774674.89617856,75056260.6927606,456716423.039124,531772683.731884,0.0229843711835616,0.068217736279516,10.8,10.8,10,50,1.2,10,30,70,20,0.0205998317935215,0.779390407648061,0.799990239441583,4650,3,40,4636,4658,6,4701,6,2350,10.8,10.8,10,50,1.2,10,30,70,20
