"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
636,3718.09724982596,12570.526687123,27485.0161349169,30197.3617048633,73971.0017767292,334947549.609842,12985889.6189146,347933439.228757,0.0478636783119222,0.0123369367845672,6,10.8,10,35,1.5,15,22,50,15,0.0796380892204022,0,0.0796380892204022,1,778,739,533,190,756,783,137,4
660,3711.32791584477,12560.9001723332,27504.1611562958,30296.9131850637,74073.3024295375,332538535.675586,13511056.8665745,346049592.542161,0.0478243901002579,0.0128445509587874,6,10.8,10,35,1.2,15,22,50,15,0.0747191005489462,0.00019641526998717,0.0749155158189334,2,776,733,551,192,676,681,423,1
1212,3663.84873169777,12159.6965855309,37608.0964353443,25069.4151058634,78501.0568584364,332381498.063032,12844245.7315238,345225743.794556,0.0477184716812777,0.0122213748479545,6.8,10,10,35,1.5,15,22,50,15,0.0725637082615739,0.00857134460304231,0.0811350528646162,24,680,672,54,869,648,676,91,5
1235,3637.58729005435,12045.3362253215,37123.3168420202,27432.1686642808,80238.4090216767,331469029.699598,13040982.6005182,344510012.300116,0.0477051673379141,0.0125705619704203,6.8,10,10,35,1.2,15,22,50,20,0.0706890888543565,0.0117927440069565,0.082481832861313,49,645,647,221,829,615,636,159,8
1236,3657.95997359576,12151.3176664651,37617.3671979016,25147.3986528394,78574.0434908018,329976672.023088,13397775.1929665,343374447.216055,0.0476791090161889,0.0131697626294536,6.8,10,10,35,1.2,15,22,50,15,0.0677108555074468,0.00870738952418981,0.0764182450316366,25,675,666,57,871,570,577,345,2
1908,3633.68423223449,12394.0042732205,23327.6885430555,36748.0222151401,76103.3992636505,334602148.44204,13514698.3740934,348116846.816133,0.0479331706560966,0.0125552269674348,7.6,10,10,35,1.2,15,22,50,15,0.0801162800973517,0.00406647851947305,0.0841827586168247,6,727,643,1208,44,762,768,428,9
2460,3499.78682563051,11578.6265626902,31401.2411978656,29422.0784223366,75901.733008523,334256225.272818,13030223.7663437,347286449.039162,0.0478104025677692,0.0122790216373313,8.4,9.2,10,35,1.5,15,22,50,15,0.0779502116527392,0.00368436106823659,0.0816345727209758,3,501,461,436,451,727,748,157,7
2484,3493.24626394718,11568.8228377478,31415.3253174248,29510.1859468775,75987.5803659973,331847341.028829,13569949.1213104,345417290.15014,0.0477709475181381,0.0129960194673637,8.4,9.2,10,35,1.2,15,22,50,15,0.0730650702132993,0.00384708671568904,0.0769121569289884,4,496,447,446,452,655,645,475,3
3060,3474.05489822076,11382.8229158969,43201.3340812891,25351.0622514256,83409.2741468324,329813201.805883,13516379.3231016,343329581.128985,0.0476320878257203,0.0132993315026796,9.2,8.4,10,35,1.2,15,22,50,15,0.0675930846898184,0.0175835083533163,0.0851765930431347,104,439,417,70,1135,567,568,431,10
4308,3301.62016419377,10710.1568407323,35813.5739994525,29123.7162773082,78949.0672816868,331488944.12084,13589580.9622758,345078525.083116,0.0477300221806894,0.0130984665570035,10.8,7.6,10,35,1.2,15,22,50,15,0.0721782769190531,0.00940542847368709,0.0815837053927402,30,266,154,406,740,634,638,485,6
