sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,norm_hiv_prev_mse,norm_tb_mort_mse,norm_hiv_prev_tb_mort_mse,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female,hivprev_rank_total,hivprev_male,hivprev_female,hiv_tb_rank
657,3836.17186,10519.44207,30429.0334,24492.94158,69277.58891,181459872,34049123.62,215508995.6,0.037626171,0.024845633,6,11,8,35,1.5,14,22,40,17,0.019722065,0.013631626,0.033353691,147,1494,1523,543,892,410,441,2525,1
641,3829.236517,10511.72321,30448.20314,24576.38555,69365.54842,179984480.2,35885251.97,215869732.2,0.037607389,0.025818695,6,11,8,35,1.2,14,22,40,17,0.020478564,0.013753043,0.034231606,153,1486,1516,549,895,430,394,2669,2
4753,3431.4463,8681.063531,26904.19292,31653.05503,70669.75778,181514593.5,33620170.59,215134764.1,0.037707904,0.024867067,11,8,8,35,1.5,14,22,40,17,0.018936596,0.015544375,0.034480971,203,637,626,1342,586,383,442,2490,3
4737,3423.775052,8671.570341,26923.84556,31738.05848,70757.24943,180039934.8,35452934.12,215492868.9,0.037689552,0.025840333,11,8,8,35,1.2,14,22,40,17,0.019688231,0.015663951,0.035352182,206,630,612,1346,590,409,395,2633,4
2321,3682.15828,9561.329937,24243.49184,32712.23288,70199.21294,183015570.2,33263349.51,216278919.7,0.037767271,0.024582244,8,10,8,35,1.5,14,22,40,17,0.021335904,0.014900003,0.036235907,179,1123,1215,1405,334,450,488,2443,5
658,3824.137907,10474.63401,31229.5709,26184.93684,71713.27965,182046324.4,33334185.52,215380509.9,0.037634809,0.024469467,6,11,8,35,1.5,14,22,40,20,0.019452465,0.016965782,0.036418247,241,1459,1509,753,948,402,459,2453,6
3089,3612.997885,9777.236706,34617.27331,23907.37502,71914.88292,181089954.2,34251226.8,215341181,0.037601999,0.024965311,9,9,8,35,1.5,14,22,40,17,0.019369926,0.017239196,0.036609122,255,1217,1049,461,1180,400,431,2539,7
2305,3674.281802,9551.919736,24268.98362,32808.41505,70303.60021,181533434,35070032.87,216603466.9,0.037748652,0.025552823,8,10,8,35,1.2,14,22,40,17,0.022015328,0.015043138,0.037058466,190,1119,1199,1413,335,465,444,2605,8
642,3817.221828,10466.91825,31261.29769,26284.2021,71829.63986,180563164.1,35141977.47,215705141.5,0.03761603,0.02544072,6,11,8,35,1.2,14,22,40,20,0.02013348,0.017123636,0.037257116,248,1458,1500,762,951,418,421,2611,9
3073,3606.276508,9769.505731,34631.16955,23980.08406,71987.03585,179618074.5,36097980.48,215716054.9,0.037583313,0.025939572,9,9,8,35,1.2,14,22,40,17,0.020156365,0.017336956,0.037493322,257,1214,1034,470,1181,419,390,2681,10
