sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
513,4763.643364,15617.72365,59112.48744,15568.55448,95062.40894,219318124.9,10363138.49,229681263.4,0.039240657,0.017146817,6,10,8,35,1.2,14,22,40,17,287,589,517,2,450
514,4758.192459,15603.18423,60027.07586,16298.95624,96687.40878,219683372,10282531.92,229965903.9,0.039248526,0.017146817,6,10,8,35,1.2,14,22,40,20,297,587,513,8,456
521,4213.115197,10970.74327,67055.2,16431.08042,98670.13888,219308241,11042783.21,230351024.2,0.039131966,0.018199263,6,10,8,35,1.2,17,22,40,17,318,277,315,10,504
529,4766.298353,15619.53096,59080.59648,15506.62877,94973.05458,220384081.7,10146476.46,230530558.2,0.039266711,0.017146817,6,10,8,35,1.5,14,22,40,17,286,590,520,1,449
530,4760.839126,15604.98253,59984.47866,16230.37494,96580.67525,220752793.2,10074638.89,230827432.1,0.039274596,0.017146817,6,10,8,35,1.5,14,22,40,20,296,588,514,6,455
537,4217.967991,10975.20326,67028.88729,16376.03531,98598.09385,220372737.1,10824265.43,231197002.6,0.039158372,0.018199263,6,10,8,35,1.5,17,22,40,17,316,278,322,9,503
2177,4352.505008,13306.26442,47708.44929,16287.07797,81654.29669,222141072.5,11000849.52,233141922.1,0.039347703,0.018230519,8,9,8,35,1.2,14,22,40,17,169,467,386,7,357
2185,4224.743508,10498.1008,54418.02373,16041.30335,85182.17139,220836430.4,11070202.65,231906633,0.039249147,0.018291402,8,9,8,35,1.2,17,22,40,17,214,207,327,4,409
2193,4355.554571,13308.6447,47662.73262,16208.07336,81535.00525,223211671.9,10800485.03,234012156.9,0.03937404,0.018230519,8,9,8,35,1.5,14,22,40,17,166,468,387,5,356
2201,4230.178349,10503.45576,54378.87287,15970.28968,85082.79666,221904162.4,10862705.88,232766868.3,0.039275492,0.018291402,8,9,8,35,1.5,17,22,40,17,212,210,332,3,408
515,4831.097731,16419.14748,25283.81828,27083.70124,73617.76472,234858420.6,10691722.03,245550142.6,0.040468461,0.017189458,6,10,8,35,1.2,14,22,60,17,66,635,544,306,10
531,4833.457719,16420.60911,25185.57971,26941.87504,73381.52157,235963947.3,10613314.95,246577262.2,0.040511248,0.017189458,6,10,8,35,1.5,14,22,60,17,62,636,546,305,7
1287,5438.304797,20543.43125,25263.12551,30439.22911,81684.09067,245486457.4,11329791.48,256816248.9,0.041318567,0.017272206,7,9,8,35,1.2,14,30,60,17,170,783,673,351,9
1303,5439.971939,20543.959,25169.11436,30307.91422,81460.95952,246628879.3,11310876.01,257939755.3,0.041361582,0.017272206,7,9,8,35,1.5,14,30,60,17,165,784,674,349,6
3719,5386.01316,20744.3587,25236.82462,28870.22808,80237.42455,246068745.4,12145955.9,258214701.3,0.04124846,0.018381125,10,7,8,35,1.2,14,30,60,17,159,785,666,338,8
3735,5387.576402,20744.73829,25157.78412,28755.62807,80045.72688,247207898.5,12123493.35,259331391.9,0.041291256,0.018381125,10,7,8,35,1.5,14,30,60,17,157,787,668,333,5
4611,4234.487423,13599.93273,24999.13824,34065.18961,76898.74801,237128974.6,11314190.75,248443165.4,0.040563521,0.017933161,11,7,8,35,1.2,14,22,60,17,113,479,337,397,2
4619,3637.161795,8826.994395,25106.2671,28910.71057,66481.13385,235378701.6,11290147.08,246668848.7,0.040423014,0.018000099,11,7,8,35,1.2,17,22,60,17,9,21,27,339,4
4627,4237.113747,13601.87952,24895.69359,33915.34945,76650.03631,238240505.6,11241233.3,249481738.9,0.04060621,0.017933161,11,7,8,35,1.5,14,22,60,17,109,480,339,393,1
4635,3641.938606,8831.860081,25013.96698,28774.16757,66261.93323,236485688.6,11207716.55,247693405.2,0.040462974,0.018000099,11,7,8,35,1.5,17,22,60,17,7,23,29,335,3
4624,3491.287995,8692.113491,34791.24144,48254.13062,95228.77355,250305178.8,12417538.17,262722717,0.041624671,0.018066974,11,7,8,35,1.2,17,30,60,20,288,9,5,541,179
4640,3495.640782,8696.356497,34656.39785,48080.45247,94928.84761,251455469.6,12438489.56,263893959.1,0.041667239,0.018066974,11,7,8,35,1.5,17,30,60,20,285,10,7,537,174
5519,3845.325466,8685.529232,63278.54078,87093.1756,162902.5711,256321994.2,12776912.29,269098906.5,0.042154249,0.017498593,12,7,8,35,1.2,17,30,60,17,576,7,108,780,481
5520,3836.457825,8646.939438,68777.46311,89577.21108,170838.0715,256788614.6,12818932.76,269607547.3,0.042166372,0.017498593,12,7,8,35,1.2,17,30,60,20,596,5,103,793,516
5535,3850.998201,8691.576487,63095.14203,86853.71581,162491.4325,257485659.6,12840443.03,270326102.6,0.04219651,0.017498593,12,7,8,35,1.5,17,30,60,17,575,8,110,779,479
5536,3842.116384,8652.97879,68578.88972,89329.09467,170403.0796,257954299.2,12892449.36,270846748.6,0.042208649,0.017498593,12,7,8,35,1.5,17,30,60,20,594,6,106,790,515
5639,3678.76848,8393.05745,209244.7217,219892.1373,441208.6849,272586743.5,15764316.36,288351059.8,0.043344672,0.018250602,12,8,8,35,1.2,14,30,60,17,1072,3,46,1162,1028
5640,3668.867532,8356.627871,218714.0069,224002.7775,454742.2798,273039453.4,15820461.16,288859914.6,0.043357251,0.018250602,12,8,8,35,1.2,14,30,60,20,1084,1,35,1168,1050
5655,3683.549553,8397.764515,208915.625,219487.0659,440484.005,273778383.3,15931413.56,289709796.9,0.043385958,0.018250602,12,8,8,35,1.5,14,30,60,17,1071,4,48,1161,1027
5656,3673.641376,8361.332877,218363.5706,223585.2901,453983.8349,274235127.5,15996732.97,290231860.4,0.043398572,0.018250602,12,8,8,35,1.5,14,30,60,20,1083,2,41,1167,1049
4623,3499.416938,8718.579507,31359.94887,46638.48499,90216.43031,249969529.7,12418811.01,262388340.7,0.041613861,0.018066974,11,7,8,35,1.2,17,30,60,17,258,11,10,522,106
5387,3499.127727,9283.790047,30211.10737,22191.72023,65185.74537,232275465.9,11149846.51,243425312.4,0.040181435,0.018017968,12,6,8,35,1.2,17,22,60,17,6,54,9,202,84
5388,3492.027407,9261.727199,31882.36887,23152.53654,67788.66002,232592828.5,11110599.61,243703428.2,0.040187062,0.018017968,12,6,8,35,1.2,17,22,60,20,18,49,6,227,119
5391,3456.343284,9642.881104,25796.62458,32733.03589,71628.88486,245997723.2,11996403.93,257994127.2,0.04125347,0.01808358,12,6,8,35,1.2,17,30,60,17,45,101,3,385,15
5392,3449.917893,9624.453924,28179.36542,33915.15809,75168.89532,246309557.3,11985368.04,258294925.3,0.041263371,0.01808358,12,6,8,35,1.2,17,30,60,20,87,97,1,392,49
5404,3496.07446,9265.66481,31810.6587,23047.06652,67619.46448,233694924.1,11007562.74,244702486.8,0.040212937,0.018017968,12,6,8,35,1.5,17,22,60,20,17,51,8,224,118
5407,3460.021513,9646.24649,25709.63508,32608.45057,71424.35365,247138230.5,11979185.36,259117415.9,0.041296572,0.01808358,12,6,8,35,1.5,17,30,60,17,41,102,4,384,13
5408,3453.588433,9627.810773,28081.68657,33784.12866,74947.21444,247452946,11975214.97,259428161,0.041306493,0.01808358,12,6,8,35,1.5,17,30,60,20,81,98,2,391,46
523,3993.277049,10503.18562,26554.79605,23683.79844,64735.05716,234408639.7,11390123.06,245798762.7,0.040355492,0.018240828,6,10,8,35,1.2,17,22,60,17,4,209,212,240,25
539,3997.684477,10507.16971,26465.26457,23551.97992,64522.09868,235513267.9,11303495.65,246816763.5,0.040398414,0.018240828,6,10,8,35,1.5,17,22,60,17,3,213,217,237,21
2955,3724.43173,9807.254793,27649.59969,22323.22546,63504.51167,233764009,11416975.66,245180984.7,0.040266678,0.0183533,9,8,8,35,1.2,17,22,60,17,2,127,71,207,36
2956,3716.236952,9780.648905,29707.87443,23448.90198,66653.66227,234091870.6,11381353.44,245473224.1,0.040272617,0.0183533,9,8,8,35,1.2,17,22,60,20,10,119,64,234,77
2971,3728.66506,9811.250269,27575.34001,22208.75559,63324.01093,234867094.9,11320308.78,246187403.7,0.040301491,0.0183533,9,8,8,35,1.5,17,22,60,17,1,129,75,203,35
2972,3720.461479,9784.637909,29622.13767,23327.50011,66454.73718,235198036.5,11292333.65,246490370.2,0.040312576,0.0183533,9,8,8,35,1.5,17,22,60,20,8,122,68,231,74
5403,3503.18293,9287.735756,30150.06098,22092.76266,65033.74233,233374522.1,11039354.86,244413877,0.040207289,0.018017968,12,6,8,35,1.5,17,22,60,17,5,56,11,201,83
