"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
4719,3365.73063537781,8376.70173832444,26049.375783955,24164.6348638279,61956.4430214852,471721609.62553,87012708.8141251,558734318.439655,0.055258628166968,0.0270622260147753,11,7,10,40,1.2,17,30,60,17,28,35,6,962,87
4720,3357.7014158811,8346.80770131724,27611.6522176177,24829.574415267,64145.7357500831,472287599.851763,87450167.967491,559737767.819254,0.055282687458894,0.0271323302473319,11,7,10,40,1.2,17,30,60,20,47,29,1,1012,169
4735,3369.55601358988,8379.97138290241,25990.1744168206,24091.6730693978,61831.3748827106,473199017.498689,87953398.1437058,561152415.642394,0.0552957099151136,0.0271491624789443,11,7,10,40,1.5,17,30,60,17,24,36,8,957,83
4736,3361.51631354822,8350.07209643693,27543.4412949299,24751.7043337027,64006.7340386177,473765232.850944,88397600.2095903,562162833.060534,0.0553196051357845,0.0272188797455591,11,7,10,40,1.5,17,30,60,20,45,32,3,1001,166
5484,3388.51767176687,9099.26350690142,55213.7618480641,25609.5549512979,93311.0979780302,450758561.582176,75983099.5785588,526741661.160735,0.0540316483352709,0.0252974269987587,12,6,10,40,1.2,17,22,60,20,1011,173,9,1085,1629
5487,3364.59868088549,9604.01708536462,35376.9802383716,23352.5392214823,71698.1352261041,467363442.220666,84498213.5864681,551861655.807134,0.0549970749119837,0.0266560150219389,12,6,10,40,1.2,17,30,60,17,238,394,5,894,695
5488,3358.81258577338,9589.59697539046,36255.7140178003,23754.4462408927,72958.5698198568,467750293.503355,84739255.1623493,552489548.665705,0.0550047922128771,0.0266757880731271,12,6,10,40,1.2,17,30,60,20,283,387,2,935,768
5500,3392.07601058031,9102.2939310948,55193.6770202481,25579.4213831154,93267.4683450387,452204735.338454,76835968.7008003,529040704.039254,0.0540688411403601,0.025384593312637,12,6,10,40,1.5,17,22,60,20,1009,176,10,1080,1628
5503,3367.83710832641,9606.58571046865,35342.5452618061,23306.6204110015,71623.5884916028,468837522.83268,85421849.5271045,554259372.359784,0.0550344497641682,0.0267435923609397,12,6,10,40,1.5,17,30,60,17,234,396,7,886,691
5504,3362.04501778078,9592.15921278976,36213.5011566314,23704.1418057449,72871.8471929469,469226649.233205,85668996.9090779,554895646.142283,0.0550421869368486,0.0267634072683933,12,6,10,40,1.5,17,30,60,20,279,389,4,931,764
