"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
3952,3555.2328464328,8004.87210870816,26881.4122779389,30934.6194667829,69376.1366998627,476071223.232557,89696507.913437,565767731.145994,0.0555529224789742,0.0275678912006287,10,8,10,40,1.2,17,30,60,20,170,9,67,1422,133
3968,3559.66965607898,8008.80416843799,26783.817671877,30825.6866960872,69177.9781924812,477552255.064731,90664630.8834278,568216885.948159,0.055589545347193,0.0276539299802762,10,8,10,40,1.5,17,30,60,20,164,10,71,1417,123
5615,3662.95735116307,7799.89376601849,29235.1784090705,39188.9118445954,79886.9413708475,478148215.265677,90688834.3635513,568837049.629228,0.0556464156115743,0.0276715859450107,12,7,10,40,1.2,17,30,60,17,521,7,183,1780,260
5616,3653.17390595524,7766.44786302852,32359.1986214474,40463.6688626463,84242.4892530775,478608603.789632,90998235.8331319,569606839.622764,0.0556564021891073,0.0276970635678546,12,7,10,40,1.2,17,30,60,20,692,5,166,1844,491
5631,3667.9547567295,7804.64668152483,29130.2229667188,39065.6685593899,79668.492964363,479631036.938426,91661501.8740692,571292538.812496,0.0556833231677816,0.0277581182515855,12,7,10,40,1.5,17,30,60,17,512,8,190,1776,256
5632,3658.16415086332,7771.20133783086,32242.7561327928,40334.0876303424,84006.2092518294,480093763.135126,91977845.4581059,572071608.593232,0.055693321122007,0.0277836219740696,12,7,10,40,1.5,17,30,60,20,677,6,177,1841,479
5735,3551.56713361936,7721.59359629814,106211.602743814,111776.429663818,229261.193137549,494607069.871015,100587053.40957,595194123.280584,0.0565676698820744,0.0290614893550641,12,8,10,40,1.2,14,30,60,17,2919,3,63,3503,2805
5736,3542.31809516303,7690.6443728994,112680.636660283,114339.68921037,238253.288338716,495151583.105894,100950360.284902,596101943.390796,0.0565772561079618,0.0290856496749201,12,8,10,40,1.2,14,30,60,20,3001,1,58,3538,2898
5751,3555.79401465823,7725.26717311931,105996.614048797,111537.122901906,228814.79813848,496096894.177457,101621256.37196,597718150.549416,0.0566033694841086,0.0291458375031951,12,8,10,40,1.5,14,30,60,17,2915,4,68,3498,2795
5752,3546.53974393897,7694.31876148745,112449.197187695,114091.42665769,237781.482350812,496644772.076793,101992744.039798,598637516.116591,0.0566129892462942,0.0291700700188323,12,8,10,40,1.5,14,30,60,20,2992,2,60,3533,2895
