"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"1",1,14372.6924552826,67049.1207873815,493246.777595636,195297.424151004,769966.014989304,222884609.388058,12308999.7396309,235193609.127689,0.0392312916409291,0.0196710134938369,6,6,8,35,1.2,14,22,40,17
"2",2,13870.7998020579,64296.8810862997,445199.718612961,163122.207242936,686489.606744254,224084317.786322,12208603.0756203,236292920.861942,0.0393455715225687,0.019671039420394,6,6,8,35,1.2,14,22,40,20
"3",3,14146.8333641535,65918.7477898174,331333.439637036,117611.490184742,529010.510975748,232572689.128828,11898849.1747281,244471538.303556,0.0400664525775098,0.0196978087550517,6,6,8,35,1.2,14,22,60,17
"4",4,14147.8544404085,65929.8070350607,328639.188173123,116698.570295619,525415.419944211,232772768.047346,11864044.3782285,244636812.425575,0.0400747369111248,0.0196978087550517,6,6,8,35,1.2,14,22,60,20
"5",5,14149.5621980643,65873.5962992207,384402.597288592,133642.982230906,598068.738016783,232666023.748852,11821699.7027582,244487723.45161,0.0400797688295229,0.019603874491986,6,6,8,35,1.2,14,30,40,17
"6",6,14150.6355852507,65885.1262385065,381380.313274184,132577.867423009,593993.94252095,232874869.78931,11783686.203894,244658555.993204,0.0400887418441153,0.019603874491986,6,6,8,35,1.2,14,30,40,20
"7",7,14438.220511305,67533.3918475488,281622.164314187,94996.1238649473,458589.900537988,240777951.623245,11787600.6518753,252565552.27512,0.0407288365171181,0.0196305162445477,6,6,8,35,1.2,14,30,60,17
"8",8,14439.3009770008,67544.7004011261,279282.11924321,94235.1636282594,455501.284249597,240973938.681041,11762527.290731,252736465.971772,0.0407368511667562,0.0196305162445477,6,6,8,35,1.2,14,30,60,20
"9",9,10423.9815427221,48226.3947609834,462428.70314163,171344.595200368,692423.674645704,223518641.291136,12120400.2166917,235639041.507827,0.0392921893845115,0.0195791334732198,6,6,8,35,1.2,17,22,40,17
"10",10,10424.3787300367,48235.0249137691,458951.678361636,170070.683970952,687681.765976393,223727576.222806,12069908.7999722,235797485.022778,0.0393013742196727,0.0195791334732198,6,6,8,35,1.2,17,22,40,20
"11",11,10695.020251925,49825.9763944824,345950.380963392,124362.157514231,530833.53512403,231911381.252531,11746467.0255759,243657848.278107,0.0399671761270277,0.0196052978425676,6,6,8,35,1.2,17,22,60,17
"12",12,10695.5066998754,49834.835721515,343214.073201295,123425.09055939,527169.506182075,232108083.514614,11710848.227688,243818931.742302,0.0399753958097391,0.0196052978425676,6,6,8,35,1.2,17,22,60,20
"13",13,10693.8302498168,49782.9465265942,398567.961929217,140498.460029815,599543.198735443,231981177.381112,11704136.5574493,243685313.938561,0.0400212547359302,0.019511685754543,6,6,8,35,1.2,17,30,40,17
"14",14,10694.3327536031,49792.0827835896,395523.015919036,139415.958611981,595425.39006821,232185720.317021,11665731.6182838,243851451.935305,0.0400300438639691,0.019511685754543,6,6,8,35,1.2,17,30,40,20
"15",15,10967.2326206835,51379.5713694014,295478.260517206,101165.342667421,458990.407174712,240070006.176014,11642559.8823791,251712566.058393,0.040657493423287,0.0195377259311232,6,6,8,35,1.2,17,30,60,17
"16",16,10967.8092767694,51388.8310302891,293102.50925305,100381.777519137,455840.927079245,240261816.56912,11617140.3726754,251878956.941796,0.0406653456282941,0.0195377259311232,6,6,8,35,1.2,17,30,60,20
"17",17,13868.9186178444,64281.6258435203,448751.226442081,164464.507928453,691366.278831899,225115325.674219,11982829.7361867,237098155.410406,0.0393826327621958,0.019671039420394,6,6,8,35,1.5,14,22,40,17
"18",18,13869.9346445629,64292.9343241564,445280.306177745,163200.935200017,686644.110346482,225330234.713552,11936599.7455774,237266834.459129,0.0393919931018191,0.019671039420394,6,6,8,35,1.5,14,22,40,20
"19",19,14145.9170722341,65914.6059139138,331415.526446826,117684.032948003,529160.082380977,233835024.004229,11698188.9272734,245533212.931503,0.0401120917735923,0.0196978087550517,6,6,8,35,1.5,14,22,60,17
"20",20,14146.9358707577,65925.6560808675,328720.096200478,116769.825400361,525562.513552464,234036498.905019,11667812.3633174,245704311.268336,0.0401203604690964,0.0196978087550517,6,6,8,35,1.5,14,22,60,20
"21",21,14148.8516866016,65869.5053033244,384419.029951889,133681.502778947,598118.889720762,233710583.150663,11633507.1801038,245344090.330766,0.040125749381224,0.019603874491986,6,6,8,35,1.5,14,30,40,17
"22",22,14149.9228504843,65881.0201707416,381400.796056908,132617.117090794,594048.856168927,233920268.447679,11599647.7383398,245519916.186019,0.0401347064112771,0.019603874491986,6,6,8,35,1.5,14,30,40,20
"23",23,14437.2702184422,67529.1689965152,281697.296225734,95060.1961575011,458723.931598193,242068376.798845,11636397.1433394,253704773.942185,0.0407745955119341,0.0196305162445477,6,6,8,35,1.5,14,30,60,17
"24",24,14438.3484910018,67540.4685288438,279355.878427971,94297.861243711,455632.556691528,242265679.252296,11615574.6985481,253881253.950844,0.0407825951365274,0.0196305162445477,6,6,8,35,1.5,14,30,60,20
"25",25,10423.565939931,48223.2034086509,462510.06371928,171425.11881897,692581.951886831,224760779.332701,11841452.7120149,236602232.044716,0.0393386289829552,0.0195791334732198,6,6,8,35,1.5,17,22,40,17
"26",26,10423.9597860319,48231.8229426739,459032.727660107,170150.451257389,687838.961646202,224971241.673887,11795675.939431,236766917.613318,0.0393477971757775,0.0195791334732198,6,6,8,35,1.5,17,22,40,20
"27",27,10694.5287945634,49822.5669095534,346036.305701752,124437.965505533,530991.366911401,233178500.314502,11537202.0815829,244715702.396084,0.0400134884744217,0.0196052978425676,6,6,8,35,1.5,17,22,60,17
"28",28,10695.0122420279,49831.4145704476,343298.882397231,123499.677044194,527324.9862539,233376521.658676,11505968.3543354,244882490.013012,0.0400216926471532,0.0196052978425676,6,6,8,35,1.5,17,22,60,20
"29",29,10693.354570154,49779.6173207322,398643.328836061,140571.89126125,599688.191988197,233247439.503657,11482794.7471518,244730234.250808,0.0400672381121069,0.019511685754543,6,6,8,35,1.5,17,30,40,17
"30",30,10693.853873544,49788.743177352,395597.833267521,139488.518244879,595568.948563295,233453418.860105,11448886.9910321,244902305.851137,0.0400760115576888,0.019511685754543,6,6,8,35,1.5,17,30,40,20
"31",31,10966.6645808488,51375.9443925402,295554.717119295,101231.683044191,459129.009136875,241357272.085832,11486639.5279453,252843911.613777,0.0407032646591809,0.0195377259311232,6,6,8,35,1.5,17,30,60,17
