"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",1,14372.6924552826,67049.1207873815,493246.777595636,195297.424151004,769966.014989304,222884609.388058,12308999.7396309,235193609.127689,0.0392312916409291,0.0196710134938369,6,6,8,35,1.2,14,22,40,17,1296,1311,1313,1082,1371
"2",2,13870.7998020579,64296.8810862997,445199.718612961,163122.207242936,686489.606744254,224084317.786322,12208603.0756203,236292920.861942,0.0393455715225687,0.019671039420394,6,6,8,35,1.2,14,22,40,20,1267,1294,1294,1018,1348
"3",3,14146.8333641535,65918.7477898174,331333.439637036,117611.490184742,529010.510975748,232572689.128828,11898849.1747281,244471538.303556,0.0400664525775098,0.0196978087550517,6,6,8,35,1.2,14,22,60,17,1158,1308,1296,893,1267
"4",4,14147.8544404085,65929.8070350607,328639.188173123,116698.570295619,525415.419944211,232772768.047346,11864044.3782285,244636812.425575,0.0400747369111248,0.0196978087550517,6,6,8,35,1.2,14,22,60,20,1153,1310,1298,890,1265
"5",5,14149.5621980643,65873.5962992207,384402.597288592,133642.982230906,598068.738016783,232666023.748852,11821699.7027582,244487723.45161,0.0400797688295229,0.019603874491986,6,6,8,35,1.2,14,30,40,17,1215,1304,1300,943,1316
"6",6,14150.6355852507,65885.1262385065,381380.313274184,132577.867423009,593993.94252095,232874869.78931,11783686.203894,244658555.993204,0.0400887418441153,0.019603874491986,6,6,8,35,1.2,14,30,40,20,1209,1306,1302,933,1312
"7",7,14438.220511305,67533.3918475488,281622.164314187,94996.1238649473,458589.900537988,240777951.623245,11787600.6518753,252565552.27512,0.0407288365171181,0.0196305162445477,6,6,8,35,1.2,14,30,60,17,1095,1313,1317,807,1203
"8",8,14439.3009770008,67544.7004011261,279282.11924321,94235.1636282594,455501.284249597,240973938.681041,11762527.290731,252736465.971772,0.0407368511667562,0.0196305162445477,6,6,8,35,1.2,14,30,60,20,1091,1315,1319,804,1197
"9",9,10423.9815427221,48226.3947609834,462428.70314163,171344.595200368,692423.674645704,223518641.291136,12120400.2166917,235639041.507827,0.0392921893845115,0.0195791334732198,6,6,8,35,1.2,17,22,40,17,1274,1195,1184,1038,1361
"10",10,10424.3787300367,48235.0249137691,458951.678361636,170070.683970952,687681.765976393,223727576.222806,12069908.7999722,235797485.022778,0.0393013742196727,0.0195791334732198,6,6,8,35,1.2,17,22,40,20,1269,1197,1185,1032,1355
"11",11,10695.020251925,49825.9763944824,345950.380963392,124362.157514231,530833.53512403,231911381.252531,11746467.0255759,243657848.278107,0.0399671761270277,0.0196052978425676,6,6,8,35,1.2,17,22,60,17,1162,1219,1203,911,1285
"12",12,10695.5066998754,49834.835721515,343214.073201295,123425.09055939,527169.506182075,232108083.514614,11710848.227688,243818931.742302,0.0399753958097391,0.0196052978425676,6,6,8,35,1.2,17,22,60,20,1155,1221,1204,906,1283
"13",13,10693.8302498168,49782.9465265942,398567.961929217,140498.460029815,599543.198735443,231981177.381112,11704136.5574493,243685313.938561,0.0400212547359302,0.019511685754543,6,6,8,35,1.2,17,30,40,17,1217,1215,1198,961,1328
"14",14,10694.3327536031,49792.0827835896,395523.015919036,139415.958611981,595425.39006821,232185720.317021,11665731.6182838,243851451.935305,0.0400300438639691,0.019511685754543,6,6,8,35,1.2,17,30,40,20,1211,1217,1200,957,1326
"15",15,10967.2326206835,51379.5713694014,295478.260517206,101165.342667421,458990.407174712,240070006.176014,11642559.8823791,251712566.058393,0.040657493423287,0.0195377259311232,6,6,8,35,1.2,17,30,60,17,1097,1231,1211,834,1221
"16",16,10967.8092767694,51388.8310302891,293102.50925305,100381.777519137,455840.927079245,240261816.56912,11617140.3726754,251878956.941796,0.0406653456282941,0.0195377259311232,6,6,8,35,1.2,17,30,60,20,1093,1233,1213,831,1215
"17",17,13868.9186178444,64281.6258435203,448751.226442081,164464.507928453,691366.278831899,225115325.674219,11982829.7361867,237098155.410406,0.0393826327621958,0.019671039420394,6,6,8,35,1.5,14,22,40,17,1271,1292,1292,1025,1354
"18",18,13869.9346445629,64292.9343241564,445280.306177745,163200.935200017,686644.110346482,225330234.713552,11936599.7455774,237266834.459129,0.0393919931018191,0.019671039420394,6,6,8,35,1.5,14,22,40,20,1268,1293,1293,1019,1349
"19",19,14145.9170722341,65914.6059139138,331415.526446826,117684.032948003,529160.082380977,233835024.004229,11698188.9272734,245533212.931503,0.0401120917735923,0.0196978087550517,6,6,8,35,1.5,14,22,60,17,1160,1307,1295,894,1268
"20",20,14146.9358707577,65925.6560808675,328720.096200478,116769.825400361,525562.513552464,234036498.905019,11667812.3633174,245704311.268336,0.0401203604690964,0.0196978087550517,6,6,8,35,1.5,14,22,60,20,1154,1309,1297,892,1266
"21",21,14148.8516866016,65869.5053033244,384419.029951889,133681.502778947,598118.889720762,233710583.150663,11633507.1801038,245344090.330766,0.040125749381224,0.019603874491986,6,6,8,35,1.5,14,30,40,17,1216,1303,1299,944,1317
"22",22,14149.9228504843,65881.0201707416,381400.796056908,132617.117090794,594048.856168927,233920268.447679,11599647.7383398,245519916.186019,0.0401347064112771,0.019603874491986,6,6,8,35,1.5,14,30,40,20,1210,1305,1301,934,1313
"23",23,14437.2702184422,67529.1689965152,281697.296225734,95060.1961575011,458723.931598193,242068376.798845,11636397.1433394,253704773.942185,0.0407745955119341,0.0196305162445477,6,6,8,35,1.5,14,30,60,17,1096,1312,1316,808,1204
"24",24,14438.3484910018,67540.4685288438,279355.878427971,94297.861243711,455632.556691528,242265679.252296,11615574.6985481,253881253.950844,0.0407825951365274,0.0196305162445477,6,6,8,35,1.5,14,30,60,20,1092,1314,1318,805,1198
"25",25,10423.565939931,48223.2034086509,462510.06371928,171425.11881897,692581.951886831,224760779.332701,11841452.7120149,236602232.044716,0.0393386289829552,0.0195791334732198,6,6,8,35,1.5,17,22,40,17,1275,1194,1182,1039,1362
"26",26,10423.9597860319,48231.8229426739,459032.727660107,170150.451257389,687838.961646202,224971241.673887,11795675.939431,236766917.613318,0.0393477971757775,0.0195791334732198,6,6,8,35,1.5,17,22,40,20,1270,1196,1183,1033,1356
"27",27,10694.5287945634,49822.5669095534,346036.305701752,124437.965505533,530991.366911401,233178500.314502,11537202.0815829,244715702.396084,0.0400134884744217,0.0196052978425676,6,6,8,35,1.5,17,22,60,17,1163,1218,1201,912,1286
"28",28,10695.0122420279,49831.4145704476,343298.882397231,123499.677044194,527324.9862539,233376521.658676,11505968.3543354,244882490.013012,0.0400216926471532,0.0196052978425676,6,6,8,35,1.5,17,22,60,20,1156,1220,1202,907,1284
"29",29,10693.354570154,49779.6173207322,398643.328836061,140571.89126125,599688.191988197,233247439.503657,11482794.7471518,244730234.250808,0.0400672381121069,0.019511685754543,6,6,8,35,1.5,17,30,40,17,1218,1214,1197,962,1329
"30",30,10693.853873544,49788.743177352,395597.833267521,139488.518244879,595568.948563295,233453418.860105,11448886.9910321,244902305.851137,0.0400760115576888,0.019511685754543,6,6,8,35,1.5,17,30,40,20,1212,1216,1199,958,1327
"31",31,10966.6645808488,51375.9443925402,295554.717119295,101231.683044191,459129.009136875,241357272.085832,11486639.5279453,252843911.613777,0.0407032646591809,0.0195377259311232,6,6,8,35,1.5,17,30,60,17,1098,1230,1210,835,1222
"32",32,10967.2382380398,51385.1934535001,293177.727960561,100446.843607476,455977.003259577,241550376.177093,11465393.6066624,253015769.783756,0.04071110212826,0.0195377259311232,6,6,8,35,1.5,17,30,60,20,1094,1232,1212,832,1216
"33",129,10982.0377518402,49058.7662158738,327315.805313057,106083.206569886,493439.815850656,228395153.679446,11886732.7508135,240281886.430259,0.0396784405549566,0.0194177861087769,6,7,8,35,1.2,14,22,40,17,1131,1205,1215,854,1262
"34",130,10982.3889703708,49067.1362759676,324150.147248416,105045.929178941,489245.601673695,228654669.596685,11833940.3630572,240488609.959743,0.0396896923579124,0.0194177861087769,6,7,8,35,1.2,14,22,40,20,1123,1207,1217,849,1253
"35",131,11282.0900064502,50809.1474396167,214528.687436693,66170.1324255087,342790.057308268,238622254.411574,11721029.8199601,250343284.231534,0.0404984380464808,0.0194476695222731,6,7,8,35,1.2,14,22,60,17,968,1227,1234,662,1071
"36",132,11282.5564301389,50817.9413976569,212342.353501787,65559.5472319067,340002.398561489,238866125.674999,11689387.0898756,250555512.764874,0.0405084380733695,0.0194476695222731,6,7,8,35,1.2,14,22,60,20,959,1229,1237,653,1065
"37",133,11281.6144737329,50744.9708789764,264388.163297921,79040.5340374561,405455.282688086,237959730.136565,11580963.4557571,249540693.592322,0.0405411166499742,0.0192302840248626,6,7,8,35,1.2,14,30,40,17,1035,1223,1231,735,1175
"38",134,11282.0947056699,50754.0189491165,261803.725154363,78249.5284472288,402089.367256379,238213158.608113,11545204.0764472,249758362.684561,0.040551852748839,0.0192302840248626,6,7,8,35,1.2,14,30,40,20,1023,1225,1235,730,1165
"39",135,11588.6249083987,52522.232480147,169071.939394791,48740.3815904379,281923.178373774,247864329.893468,11810362.5089681,259674692.402436,0.0413087609443388,0.0192596850938182,6,7,8,35,1.2,14,30,60,17,855,1235,1239,542,961
"40",136,11589.2033845114,52531.5955372677,167345.754077936,48315.8063779778,279782.359377692,248102284.303903,11792693.9032053,259894978.207108,0.0413182900202545,0.0192596850938182,6,7,8,35,1.2,14,30,60,20,851,1237,1241,539,956
"41",137,7765.72428354245,34011.1379288752,340969.295384835,112423.304210805,495169.461808058,227537956.948141,11893505.4769599,239431462.425101,0.0396162655944948,0.0193967776535996,6,7,8,35,1.2,17,22,40,17,1133,1006,995,874,1280
"42",138,7764.8966047733,34013.7346627855,337761.374725334,111357.189158217,490897.19515111,227792160.676261,11840853.3847575,239633014.061019,0.0396272952200468,0.0193967776535996,6,7,8,35,1.2,17,22,40,20,1127,1008,993,868,1273
