"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",521,4178.84421997803,14260.6955410408,58722.2790461046,15351.3427405162,92513.1615476397,241814889.712653,11342125.0734327,253157014.786086,0.040880864634449,0.0192390743854577,6,10,8,35,1.2,17,22,40,17,265,337,367,2,492
"2",529,4676.33331783476,16319.3629246723,52893.6894485166,15755.0203416316,89644.4060326552,245379602.699148,11614581.317027,256994184.016175,0.0410406553953766,0.0194488164845493,6,10,8,35,1.5,14,22,40,17,244,490,540,3,453
"3",537,4183.62209662798,14267.6766381349,58700.756706516,15270.3215617234,92422.3770030023,243106996.252413,11229024.4105005,254336020.662913,0.0409258767351841,0.0192390743854577,6,10,8,35,1.5,17,22,40,17,264,340,370,1,491
"4",1297,4997.46393889873,17964.2226178511,71792.7871056639,15847.3369774119,110601.810639826,242398363.099757,11397443.5800111,253795806.679769,0.0408438871613781,0.0194668640889613,7,9,8,35,1.5,14,22,40,17,372,575,612,4,577
"5",2947,4531.08837901955,15913.0526263263,20693.3415660245,34519.83462603,75657.3171974003,259316957.220315,12355575.9721326,271672533.192447,0.0422359338434456,0.0188665250622976,9,8,8,35,1.2,14,22,60,17,71,461,490,415,2
"6",2963,4533.30859380273,15915.9619393214,20610.0457130984,34355.073762907,75414.3900091295,260649790.287234,12375291.1631323,273025081.450366,0.0422801721314644,0.0188665250622976,9,8,8,35,1.5,14,22,60,17,66,462,492,412,1
"7",4635,3537.35540174931,11395.5246730445,20830.0252974267,38757.438426675,74520.3437988955,262330757.224019,13152915.4511722,275483672.675191,0.0423251455854256,0.019614822578221,11,7,8,35,1.5,17,22,60,17,54,43,44,457,4
"8",5395,4366.64443718787,15343.7056083123,20773.8657532147,32423.331608559,72907.5474072738,261288029.185167,13101771.9931141,274389801.178281,0.0422190324360518,0.0197722061904679,12,6,8,35,1.5,14,22,60,17,38,416,441,387,3
"9",5391,3276.89811435429,10452.626719376,21937.3807659753,45146.0189260373,80812.9245257429,273366793.6266,14517321.4245793,287884115.05118,0.0432097023616749,0.0198239272144906,12,6,8,35,1.2,17,30,60,17,147,3,3,516,19
"10",5392,3270.79177814227,10423.8487824914,24213.3934678491,46656.5481468485,84564.5821753312,273744213.90026,14549996.2943892,288294210.194649,0.043223999557799,0.0198239272144906,12,6,8,35,1.2,17,30,60,20,196,1,1,532,55
"11",5407,3280.47878143381,10458.1006135797,21849.3204483023,44979.8469783925,80567.7468217082,274735990.255321,14613914.278105,289349904.533426,0.043257996914767,0.0198239272144906,12,6,8,35,1.5,17,30,60,17,142,4,4,515,16
"12",5408,3274.36392423649,10429.3099418171,24114.9390848378,46483.1022257151,84301.7151766064,275115621.93026,14653786.8755243,289769408.805784,0.0432784761859503,0.0198239272144906,12,6,8,35,1.5,17,30,60,20,190,2,2,531,54
"17",1291,3823.70688025912,12735.6100398813,26522.125813377,22476.2734470012,65557.7161805186,255317001.977639,12118824.4873654,267435826.465004,0.0419414426391161,0.0191832975503946,7,9,8,35,1.2,17,22,60,17,4,171,175,221,109
"18",1307,3827.36592719804,12740.8824232777,26465.8551110334,22347.3273271895,65381.4307886986,256642624.020306,12118579.5900478,268761203.610354,0.0419858879756713,0.0191832975503946,7,9,8,35,1.5,17,22,60,17,3,174,176,217,104
"19",5387,3339.03638540528,10632.6917797313,23172.5973309737,27533.0406336572,64677.3661297674,258039941.093525,12850355.0664887,270890296.160014,0.0420332012398572,0.0196654212381856,12,6,8,35,1.2,17,22,60,17,2,8,7,327,37
"20",5403,3342.97883286942,10638.8970644466,23113.5660621529,27399.7562634136,64495.1982228825,259366922.906207,12856604.6811506,272223527.587357,0.0420775356494883,0.0196654212381856,12,6,8,35,1.5,17,22,60,17,1,9,8,321,34
