year,sex_name,calibration_group,min_rate,max_rate,expected_rate,HIV_status,G_compartment
1990,female,HIV/TB_coinfection_Female,2.274949803,9.073621306,4.837272094,neg,2
1990,female,TB_only_Female,34.95772262,61.82399509,44.92395615,pos,2
1990,male,HIV/TB_coinfection_Male,1.441073712,6.490939312,3.346107171,neg,1
1990,male,TB_only_Male,56.14794439,89.96750434,71.66474367,pos,1
1991,female,HIV/TB_coinfection_Female,4.142927036,16.05332843,8.724429931,neg,2
1991,female,TB_only_Female,31.82159308,56.0867386,41.00347173,pos,2
1991,male,HIV/TB_coinfection_Male,2.633186427,11.42603849,6.010651877,neg,1
1991,male,TB_only_Male,57.4565669,90.46270246,72.38932177,pos,1
1992,female,HIV/TB_coinfection_Female,7.278180278,27.31567606,15.15151236,neg,2
1992,female,TB_only_Female,34.64784552,60.85164951,44.75351034,pos,2
1992,male,HIV/TB_coinfection_Male,4.714115983,19.21596155,10.525301,neg,1
1992,male,TB_only_Male,58.75931591,90.54902089,72.83941005,pos,1
1993,female,HIV/TB_coinfection_Female,12.4258876,42.92342579,25.05229861,neg,2
1993,female,TB_only_Female,27.07714221,47.1161702,34.76828284,pos,2
1993,male,HIV/TB_coinfection_Male,8.122152611,30.38204399,17.46629591,neg,1
1993,male,TB_only_Male,53.11817592,84.04644065,66.94524487,pos,1
1994,female,HIV/TB_coinfection_Female,20.39790445,64.05066863,39.34266616,neg,2
1994,female,TB_only_Female,27.43758449,46.64110356,34.93205454,pos,2
1994,male,HIV/TB_coinfection_Male,13.51946558,45.42508076,27.58857545,neg,1
1994,male,TB_only_Male,54.05275626,83.95116613,67.2832905,pos,1
1995,female,HIV/TB_coinfection_Female,31.88622978,89.59048581,57.54534489,neg,2
1995,female,TB_only_Female,20.77734686,37.33628396,27.59217827,pos,2
1995,male,HIV/TB_coinfection_Male,21.50355204,64.07218004,40.6255168,neg,1
1995,male,TB_only_Male,57.60376332,86.77680118,70.55136987,pos,1
1996,female,HIV/TB_coinfection_Female,46.34240589,119.3127478,78.99975239,neg,2
1996,female,TB_only_Female,16.73062626,32.32197966,23.44567551,pos,2
1996,male,HIV/TB_coinfection_Male,32.50120057,85.84337777,56.24759618,neg,1
1996,male,TB_only_Male,58.76369496,86.36268669,71.10052594,pos,1
1997,female,HIV/TB_coinfection_Female,65.66661019,165.1172277,109.8132397,neg,2
1997,female,TB_only_Female,20.24906119,37.81738046,28.26825284,pos,2
1997,male,HIV/TB_coinfection_Male,46.24605984,119.3882424,78.53304746,neg,1
1997,male,TB_only_Male,68.10619308,96.25685752,80.7056229,pos,1
1998,female,HIV/TB_coinfection_Female,87.83423386,217.6973364,144.8087644,neg,2
1998,female,TB_only_Female,20.9015034,41.63887795,30.64789457,pos,2
1998,male,HIV/TB_coinfection_Male,61.57004145,156.9397305,103.2106217,neg,1
1998,male,TB_only_Male,77.75300397,111.0543322,92.90368466,pos,1
1999,female,HIV/TB_coinfection_Female,107.431722,270.2351247,177.9448735,neg,2
1999,female,TB_only_Female,21.29384151,47.06070417,33.39998892,pos,2
1999,male,HIV/TB_coinfection_Male,75.54540652,194.7571516,126.3460408,neg,1
1999,male,TB_only_Male,75.20378192,112.779152,92.21927071,pos,1
2000,female,HIV/TB_coinfection_Female,128.2638649,331.0899598,215.371241,neg,2
2000,female,TB_only_Female,25.20845064,58.31225681,40.79774827,pos,2
2000,male,HIV/TB_coinfection_Male,89.53275449,237.5424033,151.9650896,neg,1
2000,male,TB_only_Male,79.54986091,125.6415765,100.2972263,pos,1
2001,female,HIV/TB_coinfection_Female,143.8124708,387.168423,247.3040317,neg,2
2001,female,TB_only_Female,24.36143603,63.2039862,42.4395508,pos,2
2001,male,HIV/TB_coinfection_Male,99.8550177,275.5709502,173.3977074,neg,1
2001,male,TB_only_Male,76.88499385,129.8181477,100.4113572,pos,1
2002,female,HIV/TB_coinfection_Female,164.7040073,443.2030808,285.8810423,neg,2
2002,female,TB_only_Female,27.87208435,73.7945388,49.21799261,pos,2
2002,male,HIV/TB_coinfection_Male,113.2467,311.8667831,198.5674694,neg,1
2002,male,TB_only_Male,81.17482788,139.4389403,107.0473527,pos,1
2003,female,HIV/TB_coinfection_Female,187.7081349,497.4455045,324.7567081,neg,2
2003,female,TB_only_Female,31.447732,85.26883395,56.38814934,pos,2
2003,male,HIV/TB_coinfection_Male,127.6287788,348.006025,223.1431824,neg,1
2003,male,TB_only_Male,86.19512143,149.9547528,115.2729024,pos,1
2004,female,HIV/TB_coinfection_Female,203.9663294,537.7197007,353.3437526,neg,2
2004,female,TB_only_Female,33.06064749,93.40164849,60.61244201,pos,2
2004,male,HIV/TB_coinfection_Male,137.5740334,370.5083285,240.0538771,neg,1
2004,male,TB_only_Male,88.28180465,156.1588009,119.0372757,pos,1
2005,female,HIV/TB_coinfection_Female,213.6100032,559.162974,370.002783,neg,2
2005,female,TB_only_Female,31.83013878,95.74681522,60.83549279,pos,2
2005,male,HIV/TB_coinfection_Male,142.9394885,384.8537034,250.2219732,neg,1
2005,male,TB_only_Male,89.29674888,160.6468372,121.460712,pos,1
2006,female,HIV/TB_coinfection_Female,218.3120454,559.4967141,374.2685519,neg,2
2006,female,TB_only_Female,31.20559398,96.92066591,60.88929363,pos,2
2006,male,HIV/TB_coinfection_Male,146.8049819,386.3142821,254.0955515,neg,1
2006,male,TB_only_Male,91.38774136,163.9889879,124.2055933,pos,1
2007,female,HIV/TB_coinfection_Female,205.9717475,531.8497932,356.646458,neg,2
2007,female,TB_only_Female,25.63069438,87.29771017,53.63613144,pos,2
2007,male,HIV/TB_coinfection_Male,141.2746965,374.1441455,246.0483517,neg,1
2007,male,TB_only_Male,86.36804279,155.6103747,117.8028953,pos,1
2008,female,HIV/TB_coinfection_Female,188.8936988,489.5055436,327.9951236,neg,2
2008,female,TB_only_Female,22.34620916,80.98658036,49.13572835,pos,2
2008,male,HIV/TB_coinfection_Male,132.2550128,351.1775846,231.545253,neg,1
2008,male,TB_only_Male,81.90177752,147.4170305,111.3573808,pos,1
2009,female,HIV/TB_coinfection_Female,171.0759217,440.8937115,296.0931327,neg,2
2009,female,TB_only_Female,19.56633411,73.24824575,44.32088679,pos,2
2009,male,HIV/TB_coinfection_Male,123.0052383,325.734419,214.4108057,neg,1
2009,male,TB_only_Male,75.7552056,135.6344582,103.1341531,pos,1
2010,female,HIV/TB_coinfection_Female,155.1607837,397.3066722,267.079281,neg,2
2010,female,TB_only_Female,17.11132876,65.79254686,39.53320363,pos,2
2010,male,HIV/TB_coinfection_Male,114.3398876,300.5251758,197.8913516,neg,1
2010,male,TB_only_Male,68.41607778,121.7738277,93.03101364,pos,1
2011,female,HIV/TB_coinfection_Female,132.6101148,341.5536318,229.7482028,neg,2
2011,female,TB_only_Female,14.21277315,54.15512318,32.27158515,pos,2
2011,male,HIV/TB_coinfection_Male,101.3543253,268.830354,176.4896475,neg,1
2011,male,TB_only_Male,59.60528554,105.6406342,80.90182939,pos,1
2012,female,HIV/TB_coinfection_Female,111.9531847,287.7176232,193.375572,neg,2
2012,female,TB_only_Female,13.56498927,46.48334156,28.31707221,pos,2
2012,male,HIV/TB_coinfection_Male,90.01557059,238.6963469,156.0745292,neg,1
2012,male,TB_only_Male,54.53563903,93.73701026,72.80613428,pos,1
2013,female,HIV/TB_coinfection_Female,97.39445782,250.1474365,167.897291,neg,2
2013,female,TB_only_Female,12.85753707,41.44532962,25.60487449,pos,2
2013,male,HIV/TB_coinfection_Male,80.40127859,212.4447867,138.8697329,neg,1
2013,male,TB_only_Male,50.38284015,85.240274,66.76648665,pos,1
2014,female,HIV/TB_coinfection_Female,89.65474663,230.6542868,154.2744836,neg,2
2014,female,TB_only_Female,12.72253605,37.82897128,23.76257386,pos,2
2014,male,HIV/TB_coinfection_Male,74.0294264,194.3600612,127.5142642,neg,1
2014,male,TB_only_Male,48.15796047,79.79603563,63.04118057,pos,1
2015,female,HIV/TB_coinfection_Female,85.54042718,221.2598394,147.7069956,neg,2
2015,female,TB_only_Female,11.21497086,33.76384304,20.94650127,pos,2
2015,male,HIV/TB_coinfection_Male,71.59328649,189.0899811,123.7818776,neg,1
2015,male,TB_only_Male,45.34569575,76.80115948,60.10351012,pos,1
2016,female,HIV/TB_coinfection_Female,81.67674481,217.8592575,142.9071405,neg,2
2016,female,TB_only_Female,9.798660065,30.68039393,18.34708552,pos,2
2016,male,HIV/TB_coinfection_Male,71.4350286,193.4165498,125.0383258,neg,1
2016,male,TB_only_Male,40.93453229,73.38370096,55.98548799,pos,1
2017,female,HIV/TB_coinfection_Female,75.47944184,207.253834,133.7890604,neg,2
2017,female,TB_only_Female,9.051501121,28.12347832,17.06241522,pos,2
2017,male,HIV/TB_coinfection_Male,68.74679342,190.6313213,121.5672816,neg,1
