variable,cost_desc,cost,duration_adj_desc
n_other_h2,outpatient_not_on_art,135,yearly
n_other_h3,outpatient_not_on_art,135,yearly
n_other_h4_facility,outpatient_on_art_facility,249,yearly
n_other_h4_community,outpatient_on_art_community,310,yearly
n_other_h2,inpatient_h2,34,yearly
n_other_h3,inpatient_h3,87,yearly
n_other_h4_facility,inpatient_h4,81,yearly
n_other_h4_community,inpatient_h4,81,yearly
n_ipt,ipt_cost,20,ipt_duration_adj
n_tb_r1_h1,tb_care_cost_r1,129,tb_active_duration_adj_h1
n_tb_r1_h2,tb_care_cost_r1,129,tb_active_duration_adj_h2
n_tb_r1_h3,tb_care_cost_r1,129,tb_active_duration_adj_h3
n_tb_r1_h4,tb_care_cost_r1,129,tb_active_duration_adj_h4
n_tb_r2_h1,tb_care_cost_r2,1889,tb_active_duration_adj_h1
n_tb_r2_h2,tb_care_cost_r2,1889,tb_active_duration_adj_h2
n_tb_r2_h3,tb_care_cost_r2,1889,tb_active_duration_adj_h3
n_tb_r2_h4,tb_care_cost_r2,1889,tb_active_duration_adj_h4
