cost_desc,sensitivity_desc,sensitivity_id,cost_desc_graph,cost_desc_graph_general
outpatient_not_on_art,high,1,"Annual outpatient HIV care cost, not on ART\n ($101-$169)","Annual outpatient HIV care cost, not on ART"
outpatient_on_art_facility,high,2,"Annual outpatient HIV care cost, on ART\n under facility-based ART (Program 1)\n ($187-$311)","Annual outpatient HIV care cost, on ART\n under facility-based ART (Program 1)"
outpatient_on_art_community,high,3,"Annual outpatient HIV care cost, on ART\n under community-based ART (Programs 2 and 3)\n ($233-$388)","Annual outpatient HIV care cost, on ART\n under community-based ART (Programs 2 and 3)"
inpatient_h2,high,4,"Annual inpatient HIV care costs, not on ART, CD4 > 200 \n ($47-$78)","Annual inpatient HIV care costs, not on ART, CD4 > 200 "
inpatient_h3,high,5,"Annual inpatient HIV care costs, not on ART, CD4  ≤ 200 \n ($122-$203)","Annual inpatient HIV care costs, not on ART, CD4  ≤ 200 "
inpatient_h4,high,6,"Annual inpatient HIV care cost, on ART \n ($113-$189)","Annual inpatient HIV care cost, on ART "
ipt_cost,high,7,6-month course of TPT with isonazid \n ($15-$25),6-month course of TPT with isonazid
tb_care_cost_r1,high,8,Cost for a course of TB treatment for people with DS-TB \n ($194-$324),Cost for a course of TB treatment for people with DS-TB 
tb_care_cost_r2,high,9,"Cost for a course of TB treatment for people with MDR-TB \n ($1,417-$2,361)",Cost for a course of TB treatment for people with MDR-TB 
hiv_test_cost,high,10,Cost per HIV diagnosis and ART initiation \n ($18 - $30),Cost per HIV diagnosis and ART initiation 
outpatient_not_on_art,low,11,"Annual outpatient HIV care cost, not on ART\n ($101-$169)","Annual outpatient HIV care cost, not on ART"
outpatient_on_art_facility,low,12,"Annual outpatient HIV care cost, on ART\n under facility-based ART (Program 1)\n ($187-$311)","Annual outpatient HIV care cost, on ART\n under facility-based ART (Program 1)"
outpatient_on_art_community,low,13,"Annual outpatient HIV care cost, on ART\n under community-based ART (Programs 2 and 3)\n ($233-$388)","Annual outpatient HIV care cost, on ART\n under community-based ART (Programs 2 and 3)"
inpatient_h2,low,14,"Annual inpatient HIV care costs, not on ART, CD4 > 200 \n ($47-$78)","Annual inpatient HIV care costs, not on ART, CD4 > 200 "
inpatient_h3,low,15,"Annual inpatient HIV care costs, not on ART, CD4  ≤ 200 \n ($122-$203)","Annual inpatient HIV care costs, not on ART, CD4  ≤ 200 "
inpatient_h4,low,16,"Annual inpatient HIV care cost, on ART \n ($113-$189)","Annual inpatient HIV care cost, on ART "
ipt_cost,low,17,6-month course of TPT with isonazid \n ($15-$25),6-month course of TPT with isonazid
tb_care_cost_r1,low,18,Cost for a course of TB treatment for people with DS-TB \n ($194-$324),Cost for a course of TB treatment for people with DS-TB 
tb_care_cost_r2,low,19,"Cost for a course of TB treatment for people with MDR-TB \n ($1,417-$2,361)",Cost for a course of TB treatment for people with MDR-TB 
hiv_test_cost,low,20,Cost per HIV diagnosis and ART initiation \n ($18 - $30),Cost per HIV diagnosis and ART initiation 
