TB_compartment,DR_compartment,HIV_compartment,G_compartment,compartment_id,weight_value
1,1,1,1,N_1_1_1_1,0
1,1,1,2,N_1_1_1_2,0
1,1,2,1,N_1_1_2_1,0.016
1,1,2,2,N_1_1_2_2,0.016
1,1,3,1,N_1_1_3_1,0.583
1,1,3,2,N_1_1_3_2,0.583
1,1,4,1,N_1_1_4_1,0.081
1,1,4,2,N_1_1_4_2,0.081
1,2,1,1,N_1_2_1_1,0
1,2,1,2,N_1_2_1_2,0
1,2,2,1,N_1_2_2_1,0.016
1,2,2,2,N_1_2_2_2,0.016
1,2,3,1,N_1_2_3_1,0.583
1,2,3,2,N_1_2_3_2,0.583
1,2,4,1,N_1_2_4_1,0.081
1,2,4,2,N_1_2_4_2,0.081
2,1,1,1,N_2_1_1_1,0
2,1,1,2,N_2_1_1_2,0
2,1,2,1,N_2_1_2_1,0.016
2,1,2,2,N_2_1_2_2,0.016
2,1,3,1,N_2_1_3_1,0.583
2,1,3,2,N_2_1_3_2,0.583
2,1,4,1,N_2_1_4_1,0.081
2,1,4,2,N_2_1_4_2,0.081
2,2,1,1,N_2_2_1_1,0
2,2,1,2,N_2_2_1_2,0
2,2,2,1,N_2_2_2_1,0.016
2,2,2,2,N_2_2_2_2,0.016
2,2,3,1,N_2_2_3_1,0.583
2,2,3,2,N_2_2_3_2,0.583
2,2,4,1,N_2_2_4_1,0.081
2,2,4,2,N_2_2_4_2,0.081
3,1,1,1,N_3_1_1_1,0
3,1,1,2,N_3_1_1_2,0
3,1,2,1,N_3_1_2_1,0.016
3,1,2,2,N_3_1_2_2,0.016
3,1,3,1,N_3_1_3_1,0.583
3,1,3,2,N_3_1_3_2,0.583
3,1,4,1,N_3_1_4_1,0.081
3,1,4,2,N_3_1_4_2,0.081
3,2,1,1,N_3_2_1_1,0
3,2,1,2,N_3_2_1_2,0
3,2,2,1,N_3_2_2_1,0.016
3,2,2,2,N_3_2_2_2,0.016
3,2,3,1,N_3_2_3_1,0.583
3,2,3,2,N_3_2_3_2,0.583
3,2,4,1,N_3_2_4_1,0.081
3,2,4,2,N_3_2_4_2,0.081
4,1,1,1,N_4_1_1_1,0
4,1,1,2,N_4_1_1_2,0
4,1,2,1,N_4_1_2_1,0.016
4,1,2,2,N_4_1_2_2,0.016
4,1,3,1,N_4_1_3_1,0.583
4,1,3,2,N_4_1_3_2,0.583
4,1,4,1,N_4_1_4_1,0.081
4,1,4,2,N_4_1_4_2,0.081
4,2,1,1,N_4_2_1_1,0
4,2,1,2,N_4_2_1_2,0
4,2,2,1,N_4_2_2_1,0.016
4,2,2,2,N_4_2_2_2,0.016
4,2,3,1,N_4_2_3_1,0.583
4,2,3,2,N_4_2_3_2,0.583
4,2,4,1,N_4_2_4_1,0.081
4,2,4,2,N_4_2_4_2,0.081
5,1,1,1,N_5_1_1_1,0
5,1,1,2,N_5_1_1_2,0
5,1,2,1,N_5_1_2_1,0.016
5,1,2,2,N_5_1_2_2,0.016
5,1,3,1,N_5_1_3_1,0.583
5,1,3,2,N_5_1_3_2,0.583
5,1,4,1,N_5_1_4_1,0.081
5,1,4,2,N_5_1_4_2,0.081
5,2,1,1,N_5_2_1_1,0
5,2,1,2,N_5_2_1_2,0
5,2,2,1,N_5_2_2_1,0.016
5,2,2,2,N_5_2_2_2,0.016
5,2,3,1,N_5_2_3_1,0.583
5,2,3,2,N_5_2_3_2,0.583
5,2,4,1,N_5_2_4_1,0.081
5,2,4,2,N_5_2_4_2,0.081
6,1,1,1,N_6_1_1_1,0.333
6,1,1,2,N_6_1_1_2,0.333
6,1,2,1,N_6_1_2_1,0.411
6,1,2,2,N_6_1_2_2,0.411
6,1,3,1,N_6_1_3_1,0.583
6,1,3,2,N_6_1_3_2,0.583
6,1,4,1,N_6_1_4_1,0.333
6,1,4,2,N_6_1_4_2,0.333
6,2,1,1,N_6_2_1_1,0.333
6,2,1,2,N_6_2_1_2,0.333
6,2,2,1,N_6_2_2_1,0.411
6,2,2,2,N_6_2_2_2,0.411
6,2,3,1,N_6_2_3_1,0.583
6,2,3,2,N_6_2_3_2,0.583
6,2,4,1,N_6_2_4_1,0.333
6,2,4,2,N_6_2_4_2,0.333
7,1,1,1,N_7_1_1_1,0
7,1,1,2,N_7_1_1_2,0
7,1,2,1,N_7_1_2_1,0.016
7,1,2,2,N_7_1_2_2,0.016
7,1,3,1,N_7_1_3_1,0.583
7,1,3,2,N_7_1_3_2,0.583
7,1,4,1,N_7_1_4_1,0.081
7,1,4,2,N_7_1_4_2,0.081
7,2,1,1,N_7_2_1_1,0
7,2,1,2,N_7_2_1_2,0
7,2,2,1,N_7_2_2_1,0.016
7,2,2,2,N_7_2_2_2,0.016
7,2,3,1,N_7_2_3_1,0.583
7,2,3,2,N_7_2_3_2,0.583
7,2,4,1,N_7_2_4_1,0.081
7,2,4,2,N_7_2_4_2,0.081
8,1,1,1,N_8_1_1_1,0
8,1,1,2,N_8_1_1_2,0
8,1,2,1,N_8_1_2_1,0.016
8,1,2,2,N_8_1_2_2,0.016
8,1,3,1,N_8_1_3_1,0.583
8,1,3,2,N_8_1_3_2,0.583
8,1,4,1,N_8_1_4_1,0.081
8,1,4,2,N_8_1_4_2,0.081
8,2,1,1,N_8_2_1_1,0
8,2,1,2,N_8_2_1_2,0
8,2,2,1,N_8_2_2_1,0.016
8,2,2,2,N_8_2_2_2,0.016
8,2,3,1,N_8_2_3_1,0.583
8,2,3,2,N_8_2_3_2,0.583
8,2,4,1,N_8_2_4_1,0.081
8,2,4,2,N_8_2_4_2,0.081
